auto_id,record_id,sample_id,investor_name_pred,investor_type_pred,pe_fund_filing_code_pred,fund_manager_gp_pred,gp_registration_code_pred,source_pages,name_found_in_precise_excerpt,candidate_status,method
AUTO-001,GOLD-MB001-001,MB001,中车泛海智能制造投资（天津）合伙企业（有限合伙）,PE基金,,,,53;55;72;99-101,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-002,GOLD-MB001-002,MB001,天津同历宏阳三号企业管理咨询中心（有限合伙）,PE基金,,,,53;55;72;101-104,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-003,GOLD-MB002-001,MB002,共青城泽升投资管理合伙企业（有限合伙）,员工持股平台,,金丽燕,,60,TRUE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-004,GOLD-MB002-002,MB002,深圳市达晨创联私募股权投资基金合伙企业（有限合伙）,PE基金,SR3967,深圳市达晨财智创业投资管理有限公司,P1000900,61;62;80;81,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-005,GOLD-MB002-003,MB002,,PE基金,SXW129,深圳市达晨财智创业投资管理有限公司,P1000900,64;80;81,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-006,GOLD-MB002-004,MB002,深圳市达晨创程私募股权投资基金企业（有限合伙）,PE基金,SVQ442,深圳市达晨财智创业投资管理有限公司,P1000900,65;80;81,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-007,GOLD-MB002-005,MB002,杭州达晨创程股权投资基金合伙企业（有限合伙）,PE基金,SVS108,深圳市达晨财智创业投资管理有限公司,P1000900,66;80;81,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-008,GOLD-MB002-006,MB002,深圳市财智创赢私募股权投资企业（有限合伙）,PE基金,SNA667,深圳市达晨财智创业投资管理有限公司,P1000900,69;80;81,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-009,GOLD-MB002-007,MB002,,PE基金,STZ754,深圳市达晨创业投资有限公司,P1070858,76;80;81,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-010,GOLD-MB002-008,MB002,,PE基金,SY1807,上海金浦智能科技投资管理有限公司,P1063908,70;72;80;81,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-011,GOLD-MB002-009,MB002,上海金浦科技创业股权投资基金合伙企业（有限合伙）,PE基金,SLZ239,上海金浦智能科技投资管理有限公司,P1063908,72;73;80;81,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-012,GOLD-MB002-010,MB002,,VC基金,SZA715,上海杉杉创晖创业投资管理有限公司,P1004400,77;80;81,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-013,GOLD-MB002-011,MB002,,VC基金,SVA072,上海杉杉创晖创业投资管理有限公司,P1004400,78;80;81,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-014,GOLD-GEM001-001,GEM001,黄山佳捷股权管理中心（有限合伙）,员工持股平台,,张俊武,,53;61,TRUE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-015,GOLD-GEM001-002,GEM001,机构股东整体,未知/未披露,,,,61,FALSE,exclude_not_pe,keyword_positioning_plus_markdown_excerpt_rules
AUTO-016,GOLD-GEM002-001,GEM002,,PE基金,SD1578,芜湖兴安创业投资基金管理有限公司,P1000762,96,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-017,GOLD-GEM002-002,GEM002,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE基金,SE1802,中国科技产业投资管理有限公司,P1000510,96,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-018,GOLD-GEM002-003,GEM002,,PE基金,SD4217,东方富海（上海）投资管理合伙企业（有限合伙）,P1001155,96,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-019,GOLD-GEM002-004,GEM002,,PE基金,SCR200,深圳市东方富海创业投资管理有限公司,P1020765,96,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-020,GOLD-GEM002-005,GEM002,厦门西堤源股权投资合伙企业（有限合伙）,PE基金,SLV344,厦门西堤源股权投资合伙企业（有限合伙）,P1069922,96,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-021,GOLD-GEM002-006,GEM002,,VC基金,,,P1000284,96,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-022,GOLD-GEM002-007,GEM002,,PE基金,SM7375,,,88;96,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-023,GOLD-GEM002-008,GEM002,中科贵银（贵州）产业投资基金（有限合伙）,PE基金,SD4760,中国科技产业投资管理有限公司,P1000510,97,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-024,GOLD-GEM002-009,GEM002,,PE基金,SCZ580,深圳市富海鑫湾股权投资基金管理企业（有限合伙）,P1020562,95;97,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-025,GOLD-GEM002-010,GEM002,,PE基金,SR5570,深圳市富海中小企业发展基金股权投资管理有限公司,P1031644,97,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-026,GOLD-GEM002-011,GEM002,珠海拓域股权投资中心（有限合伙）,PE基金,SX9127,珠海拓域股权投资中心（有限合伙）,P1062184,97,TRUE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-027,GOLD-GEM002-012,GEM002,,VC基金,S27635,江苏红土创业投资管理有限公司,P1009540,97,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
AUTO-028,GOLD-GEM002-013,GEM002,,VC基金,SD6432,昆山红土创业投资管理有限公司,P1013658,97,FALSE,candidate_keep,keyword_positioning_plus_markdown_excerpt_rules
