record_id,sample_id,investor_name,gold_investor_type,auto_investor_type,investor_type_match,gold_filing_code,auto_filing_code,filing_code_match,gold_gp,auto_gp,gp_match,gold_gp_registration_code,auto_gp_registration_code,gp_registration_code_match,source_pages,manual_check_status,blank_reason
GOLD-MB001-001,MB001,中车泛海智能制造投资（天津）合伙企业（有限合伙）,PE基金,PE基金,True,,,True,,,True,,,True,53;55;72;99-101,confirmed,PDF未披露备案编码和GP登记编号
GOLD-MB001-002,MB001,天津同历宏阳三号企业管理咨询中心（有限合伙）,PE基金,PE基金,True,,,True,,,True,,,True,53;55;72;101-104,confirmed,PDF未披露备案编码和GP登记编号
GOLD-MB002-001,MB002,共青城泽升投资管理合伙企业（有限合伙）,员工持股平台,员工持股平台,True,,,True,金丽燕,金丽燕,True,,,True,60,exclude_not_pe,不是PE基金
GOLD-MB002-002,MB002,深圳市达晨创联私募股权投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SR3967,SR3967,True,深圳市达晨财智创业投资管理有限公司,深圳市达晨财智创业投资管理有限公司,True,P1000900,P1000900,True,61;62;80;81,confirmed,
GOLD-MB002-003,MB002,江西省财投晨源股权投资中心（有限合伙）,PE基金,PE基金,True,SXW129,SXW129,True,深圳市达晨财智创业投资管理有限公司,深圳市达晨财智创业投资管理有限公司,True,P1000900,P1000900,True,64;80;81,confirmed,持股数量未在定位页直接披露
GOLD-MB002-004,MB002,深圳市达晨创程私募股权投资基金企业（有限合伙）,PE基金,PE基金,True,SVQ442,SVQ442,True,深圳市达晨财智创业投资管理有限公司,深圳市达晨财智创业投资管理有限公司,True,P1000900,P1000900,True,65;80;81,confirmed,
GOLD-MB002-005,MB002,杭州达晨创程股权投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SVS108,SVS108,True,深圳市达晨财智创业投资管理有限公司,深圳市达晨财智创业投资管理有限公司,True,P1000900,P1000900,True,66;80;81,confirmed,
GOLD-MB002-006,MB002,深圳市财智创赢私募股权投资企业（有限合伙）,PE基金,PE基金,True,SNA667,SNA667,True,深圳市达晨财智创业投资管理有限公司,深圳市达晨财智创业投资管理有限公司,True,P1000900,P1000900,True,69;80;81,confirmed,
GOLD-MB002-007,MB002,达晨财汇投资中心（有限合伙）,PE基金,PE基金,True,STZ754,STZ754,True,深圳市达晨创业投资有限公司,深圳市达晨创业投资有限公司,True,P1070858,P1070858,True,76;80;81,confirmed,
GOLD-MB002-008,MB002,上海金浦临港智能科技股权投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SY1807,SY1807,True,上海金浦智能科技投资管理有限公司,上海金浦智能科技投资管理有限公司,True,P1063908,P1063908,True,70;72;80;81,confirmed,
GOLD-MB002-009,MB002,上海金浦科技创业股权投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SLZ239,SLZ239,True,上海金浦智能科技投资管理有限公司,上海金浦智能科技投资管理有限公司,True,P1063908,P1063908,True,72;73;80;81,confirmed,
GOLD-MB002-010,MB002,上海杉晖创业投资合伙企业（有限合伙）,VC基金,VC基金,True,SZA715,SZA715,True,上海杉杉创晖创业投资管理有限公司,上海杉杉创晖创业投资管理有限公司,True,P1004400,P1004400,True,77;80;81,confirmed,
GOLD-MB002-011,MB002,上海杉创智至创业投资合伙企业（有限合伙）,VC基金,VC基金,True,SVA072,SVA072,True,上海杉杉创晖创业投资管理有限公司,上海杉杉创晖创业投资管理有限公司,True,P1004400,P1004400,True,78;80;81,confirmed,
GOLD-GEM001-001,GEM001,黄山佳捷股权管理中心（有限合伙）,员工持股平台,员工持股平台,True,,,True,张俊武,张俊武,True,,,True,53;61,exclude_not_pe,不是PE基金
GOLD-GEM001-002,GEM001,机构股东整体,未知/未披露,未知/未披露,True,,,True,,,True,,,True,61,confirmed_blank,PDF确认无PE/VC基金备案主体
GOLD-GEM002-001,GEM002,芜湖富海浩研创业投资基金（有限合伙）,PE基金,PE基金,True,SD1578,SD1578,True,芜湖兴安创业投资基金管理有限公司,芜湖兴安创业投资基金管理有限公司,True,P1000762,P1000762,True,96,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-002,GEM002,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE基金,PE基金,True,SE1802,SE1802,True,中国科技产业投资管理有限公司,中国科技产业投资管理有限公司,True,P1000510,P1000510,True,96,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-003,GEM002,上海东方富海创业投资企业（有限合伙）,PE基金,PE基金,True,SD4217,SD4217,True,东方富海（上海）投资管理合伙企业（有限合伙）,东方富海（上海）投资管理合伙企业（有限合伙）,True,P1001155,P1001155,True,96,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-004,GEM002,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SCR200,SCR200,True,深圳市东方富海创业投资管理有限公司,深圳市东方富海创业投资管理有限公司,True,P1020765,P1020765,True,96,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-005,GEM002,厦门西堤源股权投资合伙企业（有限合伙）,PE基金,PE基金,True,SLV344,SLV344,True,厦门西堤源股权投资合伙企业（有限合伙）,厦门西堤源股权投资合伙企业（有限合伙）,True,P1069922,P1069922,True,96,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-006,GEM002,深圳市创新投资集团有限公司,VC基金,VC基金,True,,,True,深圳市创新投资集团有限公司,,False,P1000284,P1000284,True,96,confirmed,基金产品备案编码不适用
GOLD-GEM002-007,GEM002,厦门市天健源达股权投资合伙企业（有限合伙）,PE基金,PE基金,True,SM7375,SM7375,True,厦门蜜呆资产管理合伙企业（有限合伙）,,False,P1060176,,False,88;96,confirmed,
GOLD-GEM002-008,GEM002,中科贵银（贵州）产业投资基金（有限合伙）,PE基金,PE基金,True,SD4760,SD4760,True,中国科技产业投资管理有限公司,中国科技产业投资管理有限公司,True,P1000510,P1000510,True,97,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-009,GEM002,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,PE基金,PE基金,True,SCZ580,SCZ580,True,深圳市富海鑫湾股权投资基金管理企业（有限合伙）,深圳市富海鑫湾股权投资基金管理企业（有限合伙）,True,P1020562,P1020562,True,95;97,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-010,GEM002,深圳市富海中小企业发展基金股权投资合伙企业（有限合伙）,PE基金,PE基金,True,SR5570,SR5570,True,深圳市富海中小企业发展基金股权投资管理有限公司,深圳市富海中小企业发展基金股权投资管理有限公司,True,P1031644,P1031644,True,97,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-011,GEM002,珠海拓域股权投资中心（有限合伙）,PE基金,PE基金,True,SX9127,SX9127,True,珠海拓域股权投资中心（有限合伙）,珠海拓域股权投资中心（有限合伙）,True,P1062184,P1062184,True,97,confirmed,持股数量和比例未在定位页直接披露
GOLD-GEM002-012,GEM002,镇江红土创业投资有限公司,VC基金,VC基金,True,S27635,S27635,True,江苏红土创业投资管理有限公司,江苏红土创业投资管理有限公司,True,P1009540,P1009540,True,97,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-013,GEM002,昆山红土高新创业投资有限公司,VC基金,VC基金,True,SD6432,SD6432,True,昆山红土创业投资管理有限公司,昆山红土创业投资管理有限公司,True,P1013658,P1013658,True,97,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-014,GEM002,深圳富海深湾创业投资基金企业（有限合伙）,PE基金,PE基金,True,SE6250,SE6250,True,东方富海（芜湖）股权投资基金管理企业（有限合伙）,东方富海（芜湖）股权投资基金管理企业（有限合伙）,True,P1001075,P1001075,True,97,confirmed,持股数量未在备案页直接披露
GOLD-GEM002-015,GEM002,湘裕君源股权投资合伙企业（有限合伙）,PE基金,PE基金,True,SJX381,SJX381,True,深圳东方君源资产管理有限公司,深圳东方君源资产管理有限公司,True,P1022337,P1022337,True,97;98,confirmed,持股数量和比例未在定位页直接披露
