var_left,var_right,n,pearson_corr,note
broad_pevc_record_share,broad_pevc_record_share,8,1.0,相关系数只用于探索变量方向
broad_pevc_record_share,distinct_investor_type_count,8,0.600629,相关系数只用于探索变量方向
broad_pevc_record_share,transfer_event_count,8,0.228156,相关系数只用于探索变量方向
broad_pevc_record_share,top1_ratio_pct,7,0.051403,相关系数只用于探索变量方向
broad_pevc_record_share,top3_ratio_pct,7,0.05022,相关系数只用于探索变量方向
broad_pevc_record_share,hhi,7,-0.012368,相关系数只用于探索变量方向
broad_pevc_record_share,effective_shareholder_count,7,-0.117702,相关系数只用于探索变量方向
broad_pevc_record_share,broad_pevc_holder_count,7,0.6848,相关系数只用于探索变量方向
broad_pevc_record_share,broad_pevc_ratio_sum_pct,7,0.804497,相关系数只用于探索变量方向
broad_pevc_record_share,pevc_strength_index,8,0.95336,相关系数只用于探索变量方向
broad_pevc_record_share,pre_ipo_dispersion_index,7,-0.117702,相关系数只用于探索变量方向
distinct_investor_type_count,broad_pevc_record_share,8,0.600629,相关系数只用于探索变量方向
distinct_investor_type_count,distinct_investor_type_count,8,1.0,相关系数只用于探索变量方向
distinct_investor_type_count,transfer_event_count,8,0.515711,相关系数只用于探索变量方向
distinct_investor_type_count,top1_ratio_pct,7,-0.656396,相关系数只用于探索变量方向
distinct_investor_type_count,top3_ratio_pct,7,-0.457914,相关系数只用于探索变量方向
distinct_investor_type_count,hhi,7,-0.656505,相关系数只用于探索变量方向
distinct_investor_type_count,effective_shareholder_count,7,0.492204,相关系数只用于探索变量方向
distinct_investor_type_count,broad_pevc_holder_count,7,0.690281,相关系数只用于探索变量方向
distinct_investor_type_count,broad_pevc_ratio_sum_pct,7,0.232233,相关系数只用于探索变量方向
distinct_investor_type_count,pevc_strength_index,8,0.685652,相关系数只用于探索变量方向
distinct_investor_type_count,pre_ipo_dispersion_index,7,0.492204,相关系数只用于探索变量方向
transfer_event_count,broad_pevc_record_share,8,0.228156,相关系数只用于探索变量方向
transfer_event_count,distinct_investor_type_count,8,0.515711,相关系数只用于探索变量方向
transfer_event_count,transfer_event_count,8,1.0,相关系数只用于探索变量方向
transfer_event_count,top1_ratio_pct,7,-0.326839,相关系数只用于探索变量方向
transfer_event_count,top3_ratio_pct,7,-0.331273,相关系数只用于探索变量方向
transfer_event_count,hhi,7,-0.439879,相关系数只用于探索变量方向
transfer_event_count,effective_shareholder_count,7,0.391328,相关系数只用于探索变量方向
transfer_event_count,broad_pevc_holder_count,7,0.177142,相关系数只用于探索变量方向
transfer_event_count,broad_pevc_ratio_sum_pct,7,0.19137,相关系数只用于探索变量方向
transfer_event_count,pevc_strength_index,8,0.256736,相关系数只用于探索变量方向
transfer_event_count,pre_ipo_dispersion_index,7,0.391328,相关系数只用于探索变量方向
top1_ratio_pct,broad_pevc_record_share,7,0.051403,相关系数只用于探索变量方向
top1_ratio_pct,distinct_investor_type_count,7,-0.656396,相关系数只用于探索变量方向
top1_ratio_pct,transfer_event_count,7,-0.326839,相关系数只用于探索变量方向
top1_ratio_pct,top1_ratio_pct,7,1.0,相关系数只用于探索变量方向
top1_ratio_pct,top3_ratio_pct,7,0.692273,相关系数只用于探索变量方向
top1_ratio_pct,hhi,7,0.932175,相关系数只用于探索变量方向
top1_ratio_pct,effective_shareholder_count,7,-0.817776,相关系数只用于探索变量方向
top1_ratio_pct,broad_pevc_holder_count,7,-0.143957,相关系数只用于探索变量方向
top1_ratio_pct,broad_pevc_ratio_sum_pct,7,0.211236,相关系数只用于探索变量方向
top1_ratio_pct,pevc_strength_index,7,-0.033352,相关系数只用于探索变量方向
top1_ratio_pct,pre_ipo_dispersion_index,7,-0.817776,相关系数只用于探索变量方向
top3_ratio_pct,broad_pevc_record_share,7,0.05022,相关系数只用于探索变量方向
top3_ratio_pct,distinct_investor_type_count,7,-0.457914,相关系数只用于探索变量方向
top3_ratio_pct,transfer_event_count,7,-0.331273,相关系数只用于探索变量方向
top3_ratio_pct,top1_ratio_pct,7,0.692273,相关系数只用于探索变量方向
top3_ratio_pct,top3_ratio_pct,7,1.0,相关系数只用于探索变量方向
top3_ratio_pct,hhi,7,0.892585,相关系数只用于探索变量方向
top3_ratio_pct,effective_shareholder_count,7,-0.968635,相关系数只用于探索变量方向
top3_ratio_pct,broad_pevc_holder_count,7,-0.424278,相关系数只用于探索变量方向
top3_ratio_pct,broad_pevc_ratio_sum_pct,7,0.358837,相关系数只用于探索变量方向
top3_ratio_pct,pevc_strength_index,7,-0.162117,相关系数只用于探索变量方向
top3_ratio_pct,pre_ipo_dispersion_index,7,-0.968635,相关系数只用于探索变量方向
hhi,broad_pevc_record_share,7,-0.012368,相关系数只用于探索变量方向
hhi,distinct_investor_type_count,7,-0.656505,相关系数只用于探索变量方向
hhi,transfer_event_count,7,-0.439879,相关系数只用于探索变量方向
hhi,top1_ratio_pct,7,0.932175,相关系数只用于探索变量方向
hhi,top3_ratio_pct,7,0.892585,相关系数只用于探索变量方向
hhi,hhi,7,1.0,相关系数只用于探索变量方向
hhi,effective_shareholder_count,7,-0.958336,相关系数只用于探索变量方向
hhi,broad_pevc_holder_count,7,-0.319801,相关系数只用于探索变量方向
hhi,broad_pevc_ratio_sum_pct,7,0.210384,相关系数只用于探索变量方向
hhi,pevc_strength_index,7,-0.153851,相关系数只用于探索变量方向
hhi,pre_ipo_dispersion_index,7,-0.958336,相关系数只用于探索变量方向
effective_shareholder_count,broad_pevc_record_share,7,-0.117702,相关系数只用于探索变量方向
effective_shareholder_count,distinct_investor_type_count,7,0.492204,相关系数只用于探索变量方向
effective_shareholder_count,transfer_event_count,7,0.391328,相关系数只用于探索变量方向
effective_shareholder_count,top1_ratio_pct,7,-0.817776,相关系数只用于探索变量方向
effective_shareholder_count,top3_ratio_pct,7,-0.968635,相关系数只用于探索变量方向
effective_shareholder_count,hhi,7,-0.958336,相关系数只用于探索变量方向
effective_shareholder_count,effective_shareholder_count,7,1.0,相关系数只用于探索变量方向
effective_shareholder_count,broad_pevc_holder_count,7,0.328393,相关系数只用于探索变量方向
effective_shareholder_count,broad_pevc_ratio_sum_pct,7,-0.360218,相关系数只用于探索变量方向
effective_shareholder_count,pevc_strength_index,7,0.075797,相关系数只用于探索变量方向
effective_shareholder_count,pre_ipo_dispersion_index,7,1.0,相关系数只用于探索变量方向
broad_pevc_holder_count,broad_pevc_record_share,7,0.6848,相关系数只用于探索变量方向
broad_pevc_holder_count,distinct_investor_type_count,7,0.690281,相关系数只用于探索变量方向
broad_pevc_holder_count,transfer_event_count,7,0.177142,相关系数只用于探索变量方向
broad_pevc_holder_count,top1_ratio_pct,7,-0.143957,相关系数只用于探索变量方向
broad_pevc_holder_count,top3_ratio_pct,7,-0.424278,相关系数只用于探索变量方向
broad_pevc_holder_count,hhi,7,-0.319801,相关系数只用于探索变量方向
broad_pevc_holder_count,effective_shareholder_count,7,0.328393,相关系数只用于探索变量方向
broad_pevc_holder_count,broad_pevc_holder_count,7,1.0,相关系数只用于探索变量方向
broad_pevc_holder_count,broad_pevc_ratio_sum_pct,7,0.165228,相关系数只用于探索变量方向
broad_pevc_holder_count,pevc_strength_index,7,0.888285,相关系数只用于探索变量方向
broad_pevc_holder_count,pre_ipo_dispersion_index,7,0.328393,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,broad_pevc_record_share,7,0.804497,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,distinct_investor_type_count,7,0.232233,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,transfer_event_count,7,0.19137,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,top1_ratio_pct,7,0.211236,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,top3_ratio_pct,7,0.358837,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,hhi,7,0.210384,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,effective_shareholder_count,7,-0.360218,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,broad_pevc_holder_count,7,0.165228,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,broad_pevc_ratio_sum_pct,7,1.0,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,pevc_strength_index,7,0.582503,相关系数只用于探索变量方向
broad_pevc_ratio_sum_pct,pre_ipo_dispersion_index,7,-0.360218,相关系数只用于探索变量方向
pevc_strength_index,broad_pevc_record_share,8,0.95336,相关系数只用于探索变量方向
pevc_strength_index,distinct_investor_type_count,8,0.685652,相关系数只用于探索变量方向
pevc_strength_index,transfer_event_count,8,0.256736,相关系数只用于探索变量方向
pevc_strength_index,top1_ratio_pct,7,-0.033352,相关系数只用于探索变量方向
pevc_strength_index,top3_ratio_pct,7,-0.162117,相关系数只用于探索变量方向
pevc_strength_index,hhi,7,-0.153851,相关系数只用于探索变量方向
pevc_strength_index,effective_shareholder_count,7,0.075797,相关系数只用于探索变量方向
pevc_strength_index,broad_pevc_holder_count,7,0.888285,相关系数只用于探索变量方向
pevc_strength_index,broad_pevc_ratio_sum_pct,7,0.582503,相关系数只用于探索变量方向
pevc_strength_index,pevc_strength_index,8,1.0,相关系数只用于探索变量方向
pevc_strength_index,pre_ipo_dispersion_index,7,0.075797,相关系数只用于探索变量方向
pre_ipo_dispersion_index,broad_pevc_record_share,7,-0.117702,相关系数只用于探索变量方向
pre_ipo_dispersion_index,distinct_investor_type_count,7,0.492204,相关系数只用于探索变量方向
pre_ipo_dispersion_index,transfer_event_count,7,0.391328,相关系数只用于探索变量方向
pre_ipo_dispersion_index,top1_ratio_pct,7,-0.817776,相关系数只用于探索变量方向
pre_ipo_dispersion_index,top3_ratio_pct,7,-0.968635,相关系数只用于探索变量方向
pre_ipo_dispersion_index,hhi,7,-0.958336,相关系数只用于探索变量方向
pre_ipo_dispersion_index,effective_shareholder_count,7,1.0,相关系数只用于探索变量方向
pre_ipo_dispersion_index,broad_pevc_holder_count,7,0.328393,相关系数只用于探索变量方向
pre_ipo_dispersion_index,broad_pevc_ratio_sum_pct,7,-0.360218,相关系数只用于探索变量方向
pre_ipo_dispersion_index,pevc_strength_index,7,0.075797,相关系数只用于探索变量方向
pre_ipo_dispersion_index,pre_ipo_dispersion_index,7,1.0,相关系数只用于探索变量方向
