check_type,stock_code,record_id,status,metric,detail
subscription_price,001282,AUTO-SUB-001282-013,PASS,0,"金额/股数=4.5000, PDF单价=4.5"
subscription_price,301563,AUTO-SUB-301563-001,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-002,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-003,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-004,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-018,INFO,27.8009,PDF未直接披露单价
subscription_price,301563,AUTO-SUB-301563-023,PASS,0.0038,"金额/股数=29.1262, PDF单价=29.13"
subscription_price,301563,AUTO-SUB-301563-024,PASS,0.0038,"金额/股数=29.1262, PDF单价=29.13"
subscription_price,301563,AUTO-SUB-301563-025,PASS,0.0038,"金额/股数=29.1262, PDF单价=29.13"
subscription_price,301563,AUTO-SUB-301563-026,PASS,0.0038,"金额/股数=29.1262, PDF单价=29.13"
subscription_price,301563,AUTO-SUB-301563-027,PASS,0.0038,"金额/股数=29.1262, PDF单价=29.13"
subscription_price,301563,AUTO-SUB-301563-028,PASS,0.0038,"金额/股数=29.1262, PDF单价=29.13"
subscription_price,301563,AUTO-SUB-301563-029,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-030,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-031,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-032,PASS,0,"金额/股数=1.0000, PDF单价=1.0"
subscription_price,301563,AUTO-SUB-301563-033,PASS,0.0013,"金额/股数=44.2287, PDF单价=44.23"
subscription_price,301563,AUTO-SUB-301563-034,PASS,0.0001,"金额/股数=51.6001, PDF单价=51.6"
subscription_price,301563,AUTO-SUB-301563-035,PASS,0.0001,"金额/股数=51.6001, PDF单价=51.6"
subscription_price,301581,AUTO-SUB-301581-003,PASS,0,"金额/股数=23.5500, PDF单价=23.55"
subscription_price,603418,AUTO-SUB-603418-001,PASS,0,"金额/股数=8.3333, PDF单价=8.3333"
subscription_price,603418,AUTO-SUB-603418-002,PASS,0,"金额/股数=8.3333, PDF单价=8.3333"
