record_id,sample_id,board,stock_code,company_short,company_full,investor_name,investor_type,is_pe_vc,disclosure_status,holding_shares_10k,holding_ratio_pct,investment_event_type,investment_date,investment_amount_10k_yuan,investment_price_yuan_per_share,pe_fund_filing_code,fund_manager_gp,gp_registration_code,lp_structure,lp_count,source_pages,source_section,evidence_text,manual_check_status,blank_reason
GOLD-MB001-001,MB001,主板,603072,天和磁材,包头天和磁材科技股份有限公司,中车泛海智能制造投资（天津）合伙企业（有限合伙）,PE基金,TRUE,partially_disclosed,561,2.83,增资,2020.1,,5.35,,,,PDF披露为私募基金股东但未披露LP明细,,53;55;72;99-101,历史沿革/股东适格性/对赌协议,2020年1月中车泛海与同历宏阳以5.35元每注册资本增资；PDF称中车泛海已办理私募基金备案,confirmed,PDF未披露备案编码和GP登记编号
GOLD-MB001-002,MB001,主板,603072,天和磁材,包头天和磁材科技股份有限公司,天津同历宏阳三号企业管理咨询中心（有限合伙）,PE基金,TRUE,partially_disclosed,560,2.83,增资,2020.1,,5.35,,,,PDF披露为私募基金股东但未披露LP明细,,53;55;72;101-104,历史沿革/股东适格性/对赌协议,2020年1月同历宏阳与中车泛海以5.35元每注册资本增资；PDF称同历宏阳已办理私募基金备案,confirmed,PDF未披露备案编码和GP登记编号
GOLD-MB002-001,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,共青城泽升投资管理合伙企业（有限合伙）,员工持股平台,FALSE,not_pe,1020,7.04,发行前持股,,,,,金丽燕,,LP为发行人董事高管和员工等,31,60,其他持股5%以上主要股东,共青城泽升主营业务披露为发行人员工持股平台；不作为PE/VC基金,exclude_not_pe,不是PE基金
GOLD-MB002-002,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,深圳市达晨创联私募股权投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,1800,12.43,发行前持股,,,,SR3967,深圳市达晨财智创业投资管理有限公司,P1000900,Markdown表格披露LP结构,,61;62;80;81,股东私募投资基金备案情况,备案表披露达晨创联基金编号SR3967；管理人为达晨财智,confirmed,
GOLD-MB002-003,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,江西省财投晨源股权投资中心（有限合伙）,PE基金,TRUE,disclosed,,0.62,发行前持股,,,,SXW129,深圳市达晨财智创业投资管理有限公司,P1000900,Markdown表格披露LP结构,,64;80;81,股东私募投资基金备案情况,备案表披露财投晨源基金编号SXW129；管理人为达晨财智,confirmed,持股数量未在定位页直接披露
GOLD-MB002-004,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,深圳市达晨创程私募股权投资基金企业（有限合伙）,PE基金,TRUE,disclosed,86.5984,0.6,发行前持股,,,,SVQ442,深圳市达晨财智创业投资管理有限公司,P1000900,Markdown表格披露LP结构,,65;80;81,股东私募投资基金备案情况,备案表披露深圳达晨创程基金编号SVQ442；管理人为达晨财智,confirmed,
GOLD-MB002-005,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,杭州达晨创程股权投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,51.959,0.36,发行前持股,,,,SVS108,深圳市达晨财智创业投资管理有限公司,P1000900,Markdown表格披露LP结构,,66;80;81,股东私募投资基金备案情况,备案表披露杭州达晨创程基金编号SVS108；管理人为达晨财智,confirmed,
GOLD-MB002-006,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,深圳市财智创赢私募股权投资企业（有限合伙）,PE基金,TRUE,disclosed,10.1093,0.07,发行前持股,,,,SNA667,深圳市达晨财智创业投资管理有限公司,P1000900,Markdown表格披露LP结构,,69;80;81,股东私募投资基金备案情况,备案表披露财智创赢基金编号SNA667；管理人为达晨财智,confirmed,
GOLD-MB002-007,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,达晨财汇投资中心（有限合伙）,PE基金,TRUE,disclosed,29.7333,0.21,发行前持股,,,,STZ754,深圳市达晨创业投资有限公司,P1070858,Markdown表格披露LP结构,,76;80;81,股东私募投资基金备案情况,备案表披露达晨财汇基金编号STZ754；管理人为深圳市达晨创业投资有限公司,confirmed,
GOLD-MB002-008,MB002,主板,603418,友升股份,上海友升铝业股份有限公司,上海金浦临港智能科技股权投资基金合伙企业（有限合伙）,PE基金,TRUE,disclosed,840,5.8,发行前持股,,,,SY1807,上海金浦智能科技投资管理有限公司,P1063908,Markdown表格披露LP结构,,70;72;80;81,股东私募投资基金备案情况,备案表披露金浦临港基金编号SY1807；管理人为上海金浦智能科技投资管理有限公司,confirmed,
