record_id,stock_code,company_short,source_file,source_record_no,pdf_page,time_point,equity_structure_scope,shareholder_name,investor_type_auto,shares_held_wan,capital_contribution_wan,shareholding_ratio_pct,total_shares_wan,total_capital_wan,source_evidence,auto_flags
AUTO-SNAP-001282-001,001282,三联锻造,001282_三联锻造.jsonl,14,30,2004-06-18设立后,有限公司注册资本,孙国奉,自然人/其他,,175.0,35.0,,500.0,三联有限设立时出资结构如下：孙国奉，注册资本175.00万元，出资比例35.00%，出资方式实物（机器设备），出资状态实缴出资；孙国敏，注册资本162.50万元（货币52.50万元+实物100.00万元+债权10.00万元），出资比例32.50%；张松满，注册资本162.50万元（货币57.50万元+实物105.00万元），出资比例32.50%。合计500.00万元。,
AUTO-SNAP-001282-002,001282,三联锻造,001282_三联锻造.jsonl,15,30,2004-06-18设立后,有限公司注册资本,孙国敏,自然人/其他,,162.5,32.5,,500.0,三联有限设立时出资结构如下：孙国奉，注册资本175.00万元，出资比例35.00%，出资方式实物（机器设备），出资状态实缴出资；孙国敏，注册资本162.50万元（货币52.50万元+实物100.00万元+债权10.00万元），出资比例32.50%；张松满，注册资本162.50万元（货币57.50万元+实物105.00万元），出资比例32.50%。合计500.00万元。,
AUTO-SNAP-001282-003,001282,三联锻造,001282_三联锻造.jsonl,16,30,2004-06-18设立后,有限公司注册资本,张松满,自然人/其他,,162.5,32.5,,500.0,三联有限设立时出资结构如下：孙国奉，注册资本175.00万元，出资比例35.00%，出资方式实物（机器设备），出资状态实缴出资；孙国敏，注册资本162.50万元（货币52.50万元+实物100.00万元+债权10.00万元），出资比例32.50%；张松满，注册资本162.50万元（货币57.50万元+实物105.00万元），出资比例32.50%。合计500.00万元。,
AUTO-SNAP-001282-004,001282,三联锻造,001282_三联锻造.jsonl,17,33,2007-12增资后,有限公司注册资本,温州三联锻造有限公司,产业资本/法人股东,,620.0,31.0,,2000.0,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。股权结构：温州三联31.00%，张爱连20.00%，孙娟丽19.00%，孙国奉13.75%，孙国敏8.13%，张松满8.13%。",
AUTO-SNAP-001282-005,001282,三联锻造,001282_三联锻造.jsonl,18,33,2007-12增资后,有限公司注册资本,张爱连,自然人/其他,,400.0,20.0,,2000.0,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。股权结构：温州三联31.00%，张爱连20.00%，孙娟丽19.00%，孙国奉13.75%，孙国敏8.13%，张松满8.13%。",
AUTO-SNAP-001282-006,001282,三联锻造,001282_三联锻造.jsonl,19,33,2007-12增资后,有限公司注册资本,孙娟丽,自然人/其他,,380.0,19.0,,2000.0,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。股权结构：温州三联31.00%，张爱连20.00%，孙娟丽19.00%，孙国奉13.75%，孙国敏8.13%，张松满8.13%。",
AUTO-SNAP-001282-007,001282,三联锻造,001282_三联锻造.jsonl,20,33,2007-12增资后,有限公司注册资本,孙国奉,自然人/其他,,275.0,13.75,,2000.0,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。股权结构：温州三联31.00%，张爱连20.00%，孙娟丽19.00%，孙国奉13.75%，孙国敏8.13%，张松满8.13%。",
AUTO-SNAP-001282-008,001282,三联锻造,001282_三联锻造.jsonl,21,33,2007-12增资后,有限公司注册资本,孙国敏,自然人/其他,,162.5,8.13,,2000.0,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。股权结构：温州三联31.00%，张爱连20.00%，孙娟丽19.00%，孙国奉13.75%，孙国敏8.13%，张松满8.13%。",
AUTO-SNAP-001282-009,001282,三联锻造,001282_三联锻造.jsonl,22,33,2007-12增资后,有限公司注册资本,张松满,自然人/其他,,162.5,8.13,,2000.0,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。股权结构：温州三联31.00%，张爱连20.00%，孙娟丽19.00%，孙国奉13.75%，孙国敏8.13%，张松满8.13%。",
AUTO-SNAP-001282-010,001282,三联锻造,001282_三联锻造.jsonl,23,33,2014-05增资后,有限公司注册资本,孙国奉,自然人/其他,,3325.0,66.5,,5000.0,"三联有限增资3,000万元，其中由孙国奉出资1,995万元，张松满出资1,005万元。2014年5月，三联有限第二次增资，注册资本：5,000万元。股权结构：孙国奉66.50%，张松满33.50%。",
