company_name,stock_code,candidate_text_path,model_name,prompt_version,json_path,status,event_count,investor_count,error_message
北京海博思创科技股份有限公司,688411,outputs\week2_sample_outputs\candidate_texts\W2-STAR001_688411_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR001_688411.json,success,5,11,
湖北兴福电子材料股份有限公司,688545,outputs\week2_sample_outputs\candidate_texts\W2-STAR002_688545_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR002_688545.json,success,5,33,
思看科技(杭州)股份有限公司,688583,outputs\week2_sample_outputs\candidate_texts\W2-STAR003_688583_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR003_688583.json,success,4,10,
厦门恒坤新材料科技股份有限公司,688727,outputs\week2_sample_outputs\candidate_texts\W2-STAR004_688727_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR004_688727.json,success,5,10,
北京屹唐半导体科技股份有限公司,688729,outputs\week2_sample_outputs\candidate_texts\W2-STAR005_688729_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR005_688729.json,success,5,12,
江苏汉邦科技股份有限公司,688755,outputs\week2_sample_outputs\candidate_texts\W2-STAR006_688755_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR006_688755.json,success,5,10,
胜科纳米(苏州)股份有限公司,688757,outputs\week2_sample_outputs\candidate_texts\W2-STAR007_688757_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR007_688757.json,success,5,11,
苏州赛分科技股份有限公司,688758,outputs\week2_sample_outputs\candidate_texts\W2-STAR008_688758_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR008_688758.json,success,5,7,
广州必贝特医药股份有限公司,688759,outputs\week2_sample_outputs\candidate_texts\W2-STAR009_688759_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR009_688759.json,success,5,11,
武汉禾元生物科技股份有限公司,688765,outputs\week2_sample_outputs\candidate_texts\W2-STAR010_688765_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR010_688765.json,success,5,0,
影石创新科技股份有限公司,688775,outputs\week2_sample_outputs\candidate_texts\W2-STAR011_688775_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR011_688775.json,success,5,28,
西安奕斯伟材料科技股份有限公司,688783,outputs\week2_sample_outputs\candidate_texts\W2-STAR012_688783_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR012_688783.json,success,5,32,
北京昂瑞微电子技术股份有限公司,688790,outputs\week2_sample_outputs\candidate_texts\W2-STAR013_688790_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR013_688790.json,success,5,8,
摩尔线程智能科技(北京)股份有限公司,688795,outputs\week2_sample_outputs\candidate_texts\W2-STAR014_688795_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR014_688795.json,success,5,37,
百奥赛图(北京)医药科技股份有限公司,688796,outputs\week2_sample_outputs\candidate_texts\W2-STAR015_688796_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR015_688796.json,success,5,21,
沐曦集成电路(上海)股份有限公司,688802,outputs\week2_sample_outputs\candidate_texts\W2-STAR016_688802_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR016_688802.json,success,5,14,
宁波健信超导科技股份有限公司,688805,outputs\week2_sample_outputs\candidate_texts\W2-STAR017_688805_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR017_688805.json,success,5,14,
厦门优迅芯片股份有限公司,688807,outputs\week2_sample_outputs\candidate_texts\W2-STAR018_688807_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR018_688807.json,success,5,3,
强一半导体(苏州)股份有限公司,688809,outputs\week2_sample_outputs\candidate_texts\W2-STAR019_688809_candidates.txt,rule_based_extractor,week2_v1_market_batch,outputs\week2_sample_outputs\sample_json\W2-STAR019_688809.json,success,5,6,
