table_name,field_name,record_count,observed_count,missing_count,missing_rate,week10_action
认缴/增资表,event_date,97,97,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
认缴/增资表,subscriber_name,97,97,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
认缴/增资表,subscription_amount_wan,97,84,13,0.134,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
认缴/增资表,subscription_ratio_pct,97,3,94,0.9691,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
认缴/增资表,pdf_page,97,97,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
认缴/增资表,source_evidence,97,97,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
认缴/增资表,investor_type_final,97,97,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权快照表,time_point,634,634,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权快照表,shareholder_name,634,634,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权快照表,shareholding_ratio_pct,634,407,227,0.358,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权快照表,pdf_page,634,634,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权快照表,source_evidence,634,634,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权快照表,investor_type_final,634,634,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,transfer_date,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,transferor_name,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,transferee_name,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,transfer_amount_wan,4,3,1,0.25,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,pdf_page,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,source_evidence,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,transferor_type_final,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
股权转让表,transferee_type_final,4,4,0,0.0,PDF未披露则保留空值；若为关键研究变量，下周人工抽样核验
