table_name,field,records,missing_count,missing_rate,week8_principle
transfer,transfer_price_yuan,4,4,100.0,PDF未披露留空；不把空值改写为0
subscription,subscription_ratio_pct,97,94,96.91,PDF未披露留空；不把空值改写为0
transfer,transferred_shares_wan,4,3,75.0,PDF未披露留空；不把空值改写为0
equity_snapshot,total_shares_wan,634,332,52.37,PDF未披露留空；不把空值改写为0
equity_snapshot,total_capital_wan,634,280,44.16,PDF未披露留空；不把空值改写为0
equity_snapshot,capital_contribution_wan,634,263,41.48,PDF未披露留空；不把空值改写为0
equity_snapshot,shareholding_ratio_pct,634,227,35.8,PDF未披露留空；不把空值改写为0
subscription,subscription_price_yuan,97,34,35.05,PDF未披露留空；不把空值改写为0
equity_snapshot,shares_held_wan,634,195,30.76,PDF未披露留空；不把空值改写为0
transfer,transfer_amount_wan,4,1,25.0,PDF未披露留空；不把空值改写为0
transfer,transfer_ratio_pct,4,1,25.0,PDF未披露留空；不把空值改写为0
subscription,subscription_amount_wan,97,13,13.4,PDF未披露留空；不把空值改写为0
subscription,subscription_shares_wan,97,12,12.37,PDF未披露留空；不把空值改写为0
equity_snapshot,investor_type_final,634,0,0.0,PDF未披露留空；不把空值改写为0
equity_snapshot,pdf_page,634,0,0.0,PDF未披露留空；不把空值改写为0
equity_snapshot,shareholder_name,634,0,0.0,PDF未披露留空；不把空值改写为0
equity_snapshot,source_evidence,634,0,0.0,PDF未披露留空；不把空值改写为0
subscription,investor_type_final,97,0,0.0,PDF未披露留空；不把空值改写为0
subscription,pdf_page,97,0,0.0,PDF未披露留空；不把空值改写为0
subscription,source_evidence,97,0,0.0,PDF未披露留空；不把空值改写为0
subscription,subscriber_name,97,0,0.0,PDF未披露留空；不把空值改写为0
transfer,pdf_page,4,0,0.0,PDF未披露留空；不把空值改写为0
transfer,source_evidence,4,0,0.0,PDF未披露留空；不把空值改写为0
transfer,transferee_name,4,0,0.0,PDF未披露留空；不把空值改写为0
transfer,transferee_type_final,4,0,0.0,PDF未披露留空；不把空值改写为0
transfer,transferor_name,4,0,0.0,PDF未披露留空；不把空值改写为0
transfer,transferor_type_final,4,0,0.0,PDF未披露留空；不把空值改写为0
