investor_name,investor_type_final,manual_priority,company_count,companies,markets,source_tables,pdf_pages_observed,amac_record_code,gp_name,lp_structure,disclosure_status,next_action,week10_principle
芜湖富海浩研创业投资基金（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,55；56；57；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
东方富海（上海）创业投资企业（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,55；56；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
昆山红土高新创业投资有限公司,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
镇江红土创业投资有限公司,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
中科贵银（贵州）产业投资基金（有限合伙）,PE,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照；认缴/增资,59；61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
安徽高新同华创业投资基金（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,三联锻造,主板,股权快照；认缴/增资,33；34；37,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,VC,P1-优先补备案编码/GP/LP,1,云汉芯城,创业板,股权快照,61；62；63；65,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
达晨创联基金,PE,P1-优先补备案编码/GP/LP,1,友升股份,主板,股权快照,43；44；45,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
金浦临港基金,PE,P1-优先补备案编码/GP/LP,1,友升股份,主板,股权快照；认缴/增资,44；45,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
金浦科创基金,PE,P1-优先补备案编码/GP/LP,1,友升股份,主板,股权快照；认缴/增资,44；45,,,,三表未直接披露备案编码/GP/LP，暂不推断,优先回PDF章节核验；若仍未披露，再查基金业协会或工商信息,PDF未披露就留空；外部补充必须另列来源
