market,investor_type,table_role,record_count,is_broad_pevc
主板,PE,股权快照,10,1
主板,PE,认缴/增资,4,1
主板,VC,股权快照,3,1
主板,VC,认缴/增资,1,1
主板,产业资本/CVC/法人股东,股权快照,1,1
主板,产业资本/CVC/法人股东,认缴/增资,1,1
主板,其他投资平台,股权快照,1,1
主板,其他投资平台,认缴/增资,1,1
主板,员工持股平台,股权快照,8,0
主板,自然人,股权快照,32,0
主板,自然人,认缴/增资,19,0
创业板,PE,股权快照,10,1
创业板,PE,认缴/增资,4,1
创业板,VC,股权快照,38,1
创业板,VC,认缴/增资,11,1
创业板,产业资本/CVC/法人股东,股权快照,20,1
创业板,产业资本/CVC/法人股东,认缴/增资,6,1
创业板,产业资本/CVC/法人股东,转让方,1,1
创业板,其他投资平台,股权快照,8,1
创业板,其他投资平台,认缴/增资,2,1
创业板,自然人,受让方,1,0
创业板,自然人,股权快照,74,0
创业板,自然人,认缴/增资,15,0
北交所,VC,股权快照,2,1
北交所,VC,认缴/增资,2,1
北交所,产业资本/CVC/法人股东,股权快照,3,1
北交所,产业资本/CVC/法人股东,认缴/增资,1,1
北交所,其他投资平台,股权快照,2,1
北交所,其他投资平台,认缴/增资,1,1
北交所,员工持股平台,股权快照,4,0
北交所,员工持股平台,认缴/增资,2,0
北交所,自然人,受让方,2,0
北交所,自然人,股权快照,21,0
北交所,自然人,认缴/增资,17,0
北交所,自然人,转让方,2,0
科创板,PE,股权快照,25,1
科创板,其他/待人工复核,转让方,1,0
科创板,员工持股平台,股权快照,33,0
科创板,自然人,受让方,1,0
科创板,自然人,股权快照,339,0
科创板,自然人,认缴/增资,10,0
