sample_id,pdf_name,page,keyword,snippet
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,34,执行事务合伙人,1-1-34年2月，任常州三协自动化科技有限公司监事；2012年3月至2021年9月，任常州罗伊泰克电机有限公司执行董事兼总经理；2019年1月至2023年11月，任常州九合至鼎投资合伙企业（有限合伙）执行事务合伙人；2022年11月至今，任晟亿电气董事长；2023年5月至今，任香港三协董事；2023年11月至今，任三协设备执行董事；2023年11月至今，任新时代动力总经理；2024年8月至今，任美国三协经理。朱绶青：中国国籍，无境外永久居留权，女，1972年10月出生，大专学历，身份证号码为3204051972********。1992年8月至今，在常州市第二十四中学工作，任教师；2018年9月至2023年10月，任三协电机董事。盛月瑶，中国国籍，无境外永久居留权，女，1969年11月出生，大专学历。1988年8月至1998年1月，任江苏靖江邮电局报房员工；1998年1月至2019年11月，任中国联合网络通信有限公司靖江市分公司集团部员工；2020年1月至2022年11月，任晟亿电气（上海）有限公司董事长；2011年7月至今历任常州三协电机股份有限公司（含常州市三协电机电器有限公司、常州市三协电机电器股份有限公司）人力资源部经理、顾问，2018年9月至2022年12月，任常州三协电机股份有限公司董事。（二）持有发行人5%以上股份的其他主要股东截至本招股说明书签署日，持有公司5%以上股份的主要股东为盛祎、朱绶青及稳正景明。
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,35,私募基金,"1-1-35熊强波有限合伙人1.9412%深圳市稳正资产管理有限公司普通合伙人0.0196%稳正景明为私募基金，于2020年11月16日在中国证券投资基金业协会备案，备案编码为SNG030。稳正景明基金管理人为深圳市稳正资产管理有限公司。深圳市稳正资产管理有限公司成立于2013年11月11日，注册资本2,000万元人民币，法定代表人为熊强波。深圳市稳正资产管理有限公司于2014年6月4日完成私募基金管理人备案登记，登记编号P1003586。（三）发行人的股份存在涉诉、质押、冻结或其他有争议的情况截至本招股说明书签署日，发行人的股份不存在涉诉、质押、冻结或其他有争议的情况。（四）控股股东、实际控制人所控制的其他企业情况截至本招股说明书签署日，除发行人及子公司外，盛祎、朱绶青无其他控制的企业。五、发行人股本情况（一）本次发行前后的股本结构情况本次发行前，公司总股本为5,310.93万股，本次发行上市预计向公众发行不超过1,800.00万股（含本数，不考虑公司本次发行的超额配售选择权），或不超过2,070.00万股（含本数，全额行使公司本次发行的超额配售选择权），发行后公众股东持股比例占发行后总股本的比例不低于25%。在不考虑公司本次发行的超额配售选择权的情况下，本次发行前后的股本情况如下表：序号股东姓名发行前发行后股数（股）持股"
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,37,私募基金,"0.94合计-5,310.935,310.92100.00注：现有其他股东中，张雯华持股数为138股，为无限售股，张雯华为通过集合竞价方式持有发行人股票的股东。（三）主要股东间关联关系的具体情况序号关联方股东名称关联关系描述1盛祎、朱绶青盛祎、朱绶青为夫妻关系2盛祎、盛月瑶盛月瑶为盛祎的姐姐3稳正景明、长泽创投稳正景明、长泽创投的普通合伙人、执行事务合伙人、私募基金管理人均为深圳市稳正资产管理有限公司（四）其他披露事项1、申报前12个月新增股东情况公司申报前12个月的新增股东均系2023年通过认购公司定向发行股份方式成为新股东。截至本招股说明书签署日，发行人新增股东自取得股份之日起均已满12个月，期间未发生过股份转让情形。具体情况如下：（1）新增股东基本情况、入股原因、入股价格及定价依据①新增股东基本情况公司申报前12个月新增股东的基本情况具体如下：序号股东姓名居民身份证号码有无境外永久居留权持有发行人股份比例（%）目前在发行人处的任职情况1盛月瑶321024196911******无1.0134人力资源顾问2盛松321282197708******无0.3898董事、销售总监"
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,38,新增股东,利342425198506******无0.1299制造部经理11董雪强320483198411******无0.0780工程主管12文涛612301197510******无0.0780工艺工程师13付荷庆320722198704******无0.0780技术主管14陈韵320402198807******无0.0260技术主管②入股原因公司申报前12个月新增股东均系通过认购发行人2023年定向发行股票方式入股发行人，入股原因系看好发行人发展前景，提升荣誉感、增强团队凝聚力，激励员工为公司发展做出更大贡献，实现公司快速发展，满足公司战略发展的资金需要，扩大资本实力的同时进一步提升员工努力推动公司发展的获得感。③入股价格及定价依据公司新增股东的入股价格为5.41元/股，入股价格系在充分考虑公司每股净资产及每股收益、公司所处行业及成长性、定向发行股票报告期的权益分派情况等多种因素后确定。（2）新增股东与发行人其他股东、董事、监事、高级管理人员的关联关系截至本招股说明书签署日，新增股东中，盛月瑶系盛祎的姐姐，盛祎与朱绶青系夫妻，盛月瑶系盛祎和朱绶青的一致行动人。除上述情况外，新增股东与发行人其他股东、董事、监事、高级管理人员不存在其他关联关系。（3）新增股东与本次发行的中介机构及其相关人员的关联关系截至本招股说明书签署日，新增股东与本次发行的中介机构及其负责人、高级管理人员、经办人员不存在关联关系。（4）新增股东及其持股主体、其他股东之间是否存在股份代持情形截至本招股说明书签署日，新增股东及其持股主体、其他股东之间不存在股份代持情形。（5）新增股东间以及新增股东的直接或间接控制主体
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,39,私募投资基金,1-1-39截至本招股说明书签署日，公司新增股东间以及新增股东的直接或间接控制主体间不存在一致行动关系。（6）新增股东是否属于战略投资者公司新增股东不属于战略投资者。2、直接持有发行人股份的私募投资基金纳入监管情况直接持有发行人的股东中，稳正景明和长泽创投为私募基金。稳正景明于2020年11月16日在中国证券投资基金业协会备案，备案编码为SNG030；长泽创投于2022年6月27日在中国证券投资基金业协会备案，备案编码为SVU935。稳正景明和长泽创投的基金管理人为深圳市稳正资产管理有限公司，已于2014年6月4日完成私募基金管理人备案登记，登记编号P1003586。3、其他披露情况发行人历史沿革中存在股权代持情况，具体情况参见公司挂牌时于全国股转系统披露的《常州三协电机股份有限公司公开转让说明书》。2021年3月，上述股权代持已解除，涉及代持各方不存在纠纷或潜在纠纷，上述股权代持情况不影响发行人股权有效性，不构成本次发行的实质性法律障碍。截至本招股说明书签署日，公司不存在股权代持的情况。六、股权激励等可能导致发行人股权结构变化的事项截至本招股说明书签署日，公司实施并完成过一次股权激励，不存在其他已经制定或正在实施的股权激励计划及相关安排，已完成的一次股权激励详见本招股说明书“第四节发行人基本情况”之“二、发行人挂牌期间的基本情况”之“（八）报告期内发行融资情况”之“2、2023年股票发行”。除上述股权激励事项
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,56,执行事务合伙人,"诺企业管理有限公司50,000.00100.00%（四）其他披露事项1、董事、监事、高级管理人员的兼职情况及所兼职单位与公司的关联关系截至本招股说明书签署日，公司董事、监事、高级管理人员在除公司及控股公司之外的其他单位的任职/兼职情况如下：姓名职务兼职单位兼职职务兼职单位与本公司关系盛祎董事长、总经理晟亿电气董事长关联方王进董事深圳市帝成投资中心（有限合伙）执行事务合伙人委派代表关联方深圳市稳正瑞丰投资中心（有限合伙）执行事务合伙人委派代表关联方深圳市稳正君拓创业投资企业（有限合伙）执行事务合伙人委派代表关联方深圳市稳正长兴创业投资企业（有限合伙）执行事务合伙人委派代表关联方深圳市稳正瑞和创业投资企业（有限合伙）执行事务合伙人委派代表关联方深圳市稳正君成创业投资企业（有限合伙）执行事务合伙人委派代表关联方深圳市稳正君杨创业投资企业（有限合伙）执行事务合伙人委派代表关联方深圳市德之产投资中心（有限合伙）执行事务合伙人关联方深圳市稳正睿享投资中心（有限合伙）执行事务合伙人委派代表关联方深圳市君正创业企业（有限合伙）执行事务合伙人委派代表关联方深圳市稳正长华创业投资企业（有限合伙）执行事务合伙人委派代表关联方深圳市稳正投资有限公司监事-深圳市稳正资产管理有限公司监事-武汉奥森迪科智能科技股份有限公司董事关联方深圳市优易控软件有限公司监事-深圳市稳正长富创业投资企业（有限合伙）执行事务合伙人委派代表关联方夏卫军独立董事江苏恒太照明股份有限公司董事、董事会秘书关联方谢肖琳独立董事江苏中企华中天资产评估有限公司董事长关联方江苏恒太照明股份有限公司独立董事关联方"
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,151,执行事务合伙人,处离职（5）前述关联人士关系密切的家庭成员发行人上述关联自然人关系密切的家庭成员，包括配偶、年满18周岁的子女及其配偶、父母及配偶的父母、兄弟姐妹及其配偶、配偶的兄弟姐妹、子女配偶的父母。2、关联法人（1）持有发行人5%以上股份的法人或其他组织序号关联方名称关联关系1稳正景明直接持有发行人9.16%的股份2长泽创投直接持有发行人4.61%的股份，与稳正景明的执行事务合伙人均为稳正资产，系同一控制，合计持股超5%3雷赛智能雷赛智能持有稳正景明98.0392%的出资份额，间接持有发行人8.98%的股份（2）发行人的子公司、参股公司、孙公司截至本招股说明书签署日，发行人共有6家控股子公司、1家参股公司、2家孙公司。发行人控股子公司为三协机电、三合融创、香港三协、摩迩特、三正驱动、美国三协，参股公司为晟亿电气，孙公司为深圳三协、新时代动力。序号关联方名称关联关系1三协设备发行人持股100%2三合融创发行人持股100%3香港三协发行人持股100%4摩迩特发行人持股70%5三正驱动发行人持股60%6晟亿电气发行人全资子公司三合融创持股40%、发行人实际控制人盛祎担任董事长7深圳三协2022年11月，发行人全资子公司三合融创首次持有深圳三协32.50%股权；2023年4月，深圳三协增资，三合融创持股比例变为29.54%；2023年8月，三合融创受让朱南保所持深圳三协21.46%的股份，持股比例变为51.00%；2024年6月，深圳三协减资，三合融创持股比例变为56.10%；2025年7月，深圳三协减资，三合融创的持股比例变为60.65%。
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,152,执行事务合伙人,股100%9美国三协发行人持股100%（3）在报告期内控股股东、实际控制人、持股5%以上的股东、董事、监事、高级管理人员直接或者间接控制的，或者担任董事、高级管理人员的，或者能够施加重大影响的，除公司及其控股子公司以外的法人或者其他组织，是公司的关联方。主要如下：序号关联方名称关联关系1深圳市德之产投资中心（有限合伙）发行人董事王进持股22.5166%且担任执行事务合伙人2武汉奥森迪科智能科技股份有限公司发行人董事王进担任该公司董事3深圳市帝成投资中心（有限合伙）发行人董事王进担任执行事务合伙人委派代表4深圳市稳正瑞丰投资中心（有限合伙）发行人董事王进担任执行事务合伙人委派代表5深圳市稳正君拓创业投资企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表6深圳市稳正长兴创业投资企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表7深圳市稳正瑞和创业投资企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表8深圳市稳正君成创业投资企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表9深圳市稳正君杨创业投资企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表10深圳市稳正睿享投资中心（有限合伙）发行人董事王进担任执行事务合伙人委派代表11深圳市君正创业企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表12深圳市稳正长华创业投资企业（有限合伙）发行人董事王进担任执行事务合伙人委派代表13江苏恒太照明股份有限公司发行人独立董事夏卫军担任董事、董事会秘书，发行人独立董事谢肖琳担任独立董事14江苏中企华中天资产评估有限公司发行人独立董事谢肖琳担任董事长15常高新集团有
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,153,执行事务合伙人,工程有限公司发行人原董事盛月瑶配偶之侄持股100%且担任执行董事（5）其他关联法人序号关联方名称关联关系1无锡新知培训有限公司李华持有该公司40%股权，李华配偶苏芳持有该公司60%股权2无锡汇才人力资源服务有限公司李华配偶苏芳持有该公司66%股权3昊基人力资源服务无锡有限公司李华配偶苏芳担任该公司董事长兼总经理4深圳市稳正资产管理有限公司稳正景明、长泽创投的执行事务合伙人5上海市雷智电机有限公司雷赛智能持股100%6深圳市灵犀自动化技术有限公司雷赛智能持股70%7深圳市德智高新有限公司朱南保持股95.75%并担任执行董事、总经理8深圳市德研机电有限公司朱南保持股90%并担任总经理9诸暨市荣义电脑袜机维修部发行人前员工张荣义设立的个体工商户3、公司曾经的主要关联方序号关联方名称关联关系1常州通驰电驱技术有限公司发行人曾持股25%、吴俊华曾持股5%，已于2023年12月21日注销2常州三协自动化科技有限公司盛祎曾持股90.9091%且担任监事，已于2023年2月9日注销3常州罗伊泰克电机有限公司盛祎曾持股65%且担任执行董事兼总经理，已于2021年9月14日注销4常州九合至鼎投资合伙企业（有限合伙）盛祎曾持股90%且担任执行事务合伙人，薛小丽持股10%，已于2023年11月13日注销5稳进（珠海）资产管理有限公司王进曾担任执行董事，已于2022年6月21日注销6深圳市聚稳壹号投资中心（有限合伙）王进曾担任执行事务合伙人委派代表，已于2023年3月16日注销7深圳市雷赛自动化系统有限公司王进曾担任董事，于2022年6月卸任8腾龙两江（重庆）数据科技集团有限公司王进曾担任董事，于202
BSE001,BSE001_920100_常州三协电机股份有限公司_招股说明书.pdf,154,执行事务合伙人,于美国成立的公司，无实际经营，已于2023年12月办理完成注销手续13无锡市弗兰德工程设备有限公司实际控制人盛祎的父亲陈亮持股51%且担任公司执行董事兼总经理，该公司于2008年12月吊销，2024年3月办理完成注销手续14龙利得智能科技股份有限公司独立董事谢肖琳曾担任独立董事，已于2024年5月卸任15深圳市稳正长信创业投资企业（有限合伙）董事王进曾经担任执行事务合伙人委派代表，已于2024年8月23日注销16深圳市稳正长瀚创业投资企业（有限合伙）发行人董事王进曾经担任执行事务合伙人委派代表，已于2024年8月26日注销17深圳市稳正长旭创业投资企业（有限合伙）发行人董事王进曾经担任执行事务合伙人委派代表，已于2024年9月6日注销18深圳昆仑稳正二期投资企业（有限合伙）发行人董事王进曾经担任执行事务合伙人委派代表，已于2024年9月24日注销19深圳市稳正长恒创业投资企业（有限合伙）发行人董事王进曾经担任执行事务合伙人委派代表，已于2024年9月14日注销20深圳市稳正长青投资中心（有限合伙）发行人董事王进曾担任执行事务合伙人委派代表，已于2024年12月31日注销21无锡格林司通自动化设备股份有限公司发行人独立董事夏卫军曾担任独立董事，已于2025年1月卸任22江苏北辰互邦电力股份有限公司发行人独立董事夏卫军曾担任独立董事，已于2025年4月卸任（二）关联交易1、经常性关联交易（1）销售商品、提供劳务的关联交易报告期内，三协电机向关联方销售的具体情况如下：单位：万元、%关联方关联交易内容2024年2023年2022年金额占当期营业收入比例金额占当期营业收入比例金额占当期营
