model_id,sample_scope,dependent_variable,independent_variable,n,intercept,coef_x,std_error_x,t_stat_x,r_squared,model_note
全样本:effective_shareholder_count~broad_pevc_record_share,全样本,effective_shareholder_count,broad_pevc_record_share,7,4.554517,-0.013265,0.050052,-0.265032,0.013854,探索性OLS，n=8或更小，不能解释为因果关系
剔除谨慎样本:effective_shareholder_count~broad_pevc_record_share,剔除谨慎样本,effective_shareholder_count,broad_pevc_record_share,6,4.328021,0.001822,0.061795,0.029479,0.000217,探索性OLS，n=8或更小，不能解释为因果关系
全样本:top1_ratio_pct~broad_pevc_record_share,全样本,top1_ratio_pct,broad_pevc_record_share,7,43.492151,0.041449,0.360134,0.115092,0.002642,探索性OLS，n=8或更小，不能解释为因果关系
剔除谨慎样本:top1_ratio_pct~broad_pevc_record_share,剔除谨慎样本,top1_ratio_pct,broad_pevc_record_share,6,44.88514,-0.05134,0.448488,-0.114473,0.003265,探索性OLS，n=8或更小，不能解释为因果关系
全样本:hhi~broad_pevc_record_share,全样本,hhi,broad_pevc_record_share,7,0.293465,-8.1e-05,0.002927,-0.027658,0.000153,探索性OLS，n=8或更小，不能解释为因果关系
剔除谨慎样本:hhi~broad_pevc_record_share,剔除谨慎样本,hhi,broad_pevc_record_share,6,0.3066,-0.000956,0.003616,-0.264349,0.01717,探索性OLS，n=8或更小，不能解释为因果关系
全样本:effective_shareholder_count~pevc_strength_index,全样本,effective_shareholder_count,pevc_strength_index,7,3.926744,0.007692,0.045251,0.169976,0.005745,探索性OLS，n=8或更小，不能解释为因果关系
剔除谨慎样本:effective_shareholder_count~pevc_strength_index,剔除谨慎样本,effective_shareholder_count,pevc_strength_index,6,3.93803,0.015402,0.049789,0.309335,0.023363,探索性OLS，n=8或更小，不能解释为因果关系
全样本:top1_ratio_pct~pevc_strength_index,全样本,top1_ratio_pct,pevc_strength_index,7,45.459165,-0.024214,0.324506,-0.074619,0.001112,探索性OLS，n=8或更小，不能解释为因果关系
剔除谨慎样本:top1_ratio_pct~pevc_strength_index,剔除谨慎样本,top1_ratio_pct,pevc_strength_index,6,45.398575,-0.065607,0.36474,-0.179873,0.008024,探索性OLS，n=8或更小，不能解释为因果关系
