check_id,stock_code,company_short,time_point,row_count,ratio_observed_rows,ratio_sum_pct,status,note
SNAP-001282-001,001282,三联锻造,2004-06-18设立后,3,3,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-001282-002,001282,三联锻造,2007-12增资后,6,6,100.01,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-001282-003,001282,三联锻造,2014-05增资后,2,2,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-001282-004,001282,三联锻造,2017-02增资后,3,3,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-001282-005,001282,三联锻造,2017-11增资后,3,3,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-001282-006,001282,三联锻造,t0/报告期初,6,6,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301563-007,301563,云汉芯城,2018年4月第一次股权转让后,11,11,99.99,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301563-008,301563,云汉芯城,2018年7月C轮增资及第二次股权转让后,24,24,99.99,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301563-009,301563,云汉芯城,2019年8月第三次股权转让后,24,24,99.98,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301563-010,301563,云汉芯城,2020年5月D轮增资后,25,25,99.99,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301563-011,301563,云汉芯城,2020年9月D+轮增资及第四次股权转让后（IPO前最终结构）,34,34,99.97,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301563-012,301563,云汉芯城,t0/整体变更设立股份公司（2015-12-03）,11,11,99.99,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301581-013,301581,黄山谷捷,t0/报告期初,1,1,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301581-014,301581,黄山谷捷,吸收合并后,3,3,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301581-015,301581,黄山谷捷,整体变更为股份公司后,6,6,100.01,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301581-016,301581,黄山谷捷,第一次增资后,5,5,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-301581-017,301581,黄山谷捷,第二次增资后,6,6,100.01,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-603418-018,603418,友升股份,2020-09-09整体变更后,4,4,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-603418-019,603418,友升股份,2020-09-30增资后,7,7,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-603418-020,603418,友升股份,2022-12-19增资后,17,17,100.01,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-603418-021,603418,友升股份,t0/报告期初,4,4,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-688758-022,688758,赛分科技,t0/报告期初,316,89,670.6317,REVIEW,比例合计明显异常，优先进入人工复核。
SNAP-688775-023,688775,影石创新,t0/报告期初,27,27,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-688775-024,688775,影石创新,t1/股份公司设立时,27,27,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-688775-025,688775,影石创新,t2/2023年3月股权转让后,26,26,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-688775-026,688775,影石创新,t_m1/深圳岚锋设立时,1,1,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-920100-027,920100,三协电机,发行前（截至招股说明书签署日）,19,19,100.01,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-920116-028,920116,星图测控,t0-公司设立日,3,3,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-920116-029,920116,星图测控,代持解除后,3,3,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
SNAP-920116-030,920116,星图测控,发行前-招股说明书签署日,7,7,100.0,PASS,比例合计接近100%，可作为结构化结果使用。
