stock_code,company_short,market,time_point,row_count,ratio_observed_rows,ratio_sum_pct,week9_ratio_validity
001282,三联锻造,主板,2004-06-18设立后,3,3,100.0,可用于比例分析
001282,三联锻造,主板,2007-12增资后,6,6,100.01,可用于比例分析
001282,三联锻造,主板,2014-05增资后,2,2,100.0,可用于比例分析
001282,三联锻造,主板,2017-02增资后,3,3,100.0,可用于比例分析
001282,三联锻造,主板,2017-11增资后,3,3,100.0,可用于比例分析
001282,三联锻造,主板,t0/报告期初,6,6,100.0,可用于比例分析
301563,云汉芯城,创业板,2018年4月第一次股权转让后,11,11,99.99,可用于比例分析
301563,云汉芯城,创业板,2018年7月C轮增资及第二次股权转让后,24,24,99.99,可用于比例分析
301563,云汉芯城,创业板,2019年8月第三次股权转让后,24,24,99.98,可用于比例分析
301563,云汉芯城,创业板,2020年5月D轮增资后,25,25,99.99,可用于比例分析
301563,云汉芯城,创业板,2020年9月D+轮增资及第四次股权转让后（IPO前最终结构）,34,34,99.97,可用于比例分析
301563,云汉芯城,创业板,t0/整体变更设立股份公司（2015-12-03）,11,11,99.99,可用于比例分析
301581,黄山谷捷,创业板,t0/报告期初,1,1,100.0,披露不足或不可求和
301581,黄山谷捷,创业板,吸收合并后,3,3,100.0,可用于比例分析
301581,黄山谷捷,创业板,整体变更为股份公司后,6,6,100.01,可用于比例分析
301581,黄山谷捷,创业板,第一次增资后,5,5,100.0,可用于比例分析
301581,黄山谷捷,创业板,第二次增资后,6,6,100.01,可用于比例分析
603418,友升股份,主板,2020-09-09整体变更后,4,4,100.0,可用于比例分析
603418,友升股份,主板,2020-09-30增资后,7,7,100.0,可用于比例分析
603418,友升股份,主板,2022-12-19增资后,17,17,100.01,可用于比例分析
603418,友升股份,主板,t0/报告期初,4,4,100.0,可用于比例分析
688758,赛分科技,科创板,t0/报告期初,316,89,670.6317,比例合计异常-分析剔除
688775,影石创新,科创板,t0/报告期初,27,27,100.0,可用于比例分析
688775,影石创新,科创板,t1/股份公司设立时,27,27,100.0,可用于比例分析
688775,影石创新,科创板,t2/2023年3月股权转让后,26,26,100.0,可用于比例分析
688775,影石创新,科创板,t_m1/深圳岚锋设立时,1,1,100.0,披露不足或不可求和
920100,三协电机,北交所,发行前（截至招股说明书签署日）,19,19,100.01,可用于比例分析
920116,星图测控,北交所,t0-公司设立日,3,3,100.0,可用于比例分析
920116,星图测控,北交所,代持解除后,3,3,100.0,可用于比例分析
920116,星图测控,北交所,发行前-招股说明书签署日,7,7,100.0,可用于比例分析
