record_id,stock_code,company_short,source_file,source_record_no,pdf_page,event_date,batch_label,subscriber_name,investor_type_auto,subscription_shares_wan,subscription_amount_wan,subscription_price_yuan,computed_price_yuan,entity_type,subscription_ratio_pct,paid_in_amount_wan,currency,source_evidence,auto_flags
AUTO-SUB-001282-001,001282,三联锻造,001282_三联锻造.jsonl,1,30,2004/6/18,第1批,孙国奉,自然人/其他,,175,,,,,,人民币,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。2004年6月18日，三联有限设立经芜湖市工商行政管理局核准，并取得注册号为3402012102584的《营业执照》。,认购/新增股份未披露，保留空值
AUTO-SUB-001282-002,001282,三联锻造,001282_三联锻造.jsonl,2,30,2004/6/18,第1批,孙国敏,自然人/其他,,162.5,,,,,,人民币,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。,认购/新增股份未披露，保留空值
AUTO-SUB-001282-003,001282,三联锻造,001282_三联锻造.jsonl,3,30,2004/6/18,第1批,张松满,自然人/其他,,162.5,,,,,,人民币,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，约定三联有限的注册资本500万元，由孙国奉以机器设备出资175万元，占注册资本35%；孙国敏以货币和机器设备出资162.5万元，占注册资本32.5%；张松满以货币和机器设备出资162.5万元，占注册资本32.5%。,认购/新增股份未披露，保留空值
AUTO-SUB-001282-004,001282,三联锻造,001282_三联锻造.jsonl,4,33,2007/12/31,第2批,温州三联锻造有限公司,产业资本/法人股东,,620,,,,,,人民币,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-005,001282,三联锻造,001282_三联锻造.jsonl,5,33,2007/12/31,第2批,张爱连,自然人/其他,,400,,,,,,人民币,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-006,001282,三联锻造,001282_三联锻造.jsonl,6,33,2007/12/31,第2批,孙娟丽,自然人/其他,,380,,,,,,人民币,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-007,001282,三联锻造,001282_三联锻造.jsonl,7,33,2007/12/31,第2批,孙国奉,自然人/其他,,100,,,,,,人民币,"三联有限增资1,500万元，其中由温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。2007年12月，三联有限第一次增资，注册资本：2,000万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-008,001282,三联锻造,001282_三联锻造.jsonl,8,33,2014/5/31,第3批,孙国奉,自然人/其他,,1995,,,,,,人民币,"三联有限增资3,000万元，其中由孙国奉出资1,995万元，张松满出资1,005万元。2014年5月，三联有限第二次增资，注册资本：5,000万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-009,001282,三联锻造,001282_三联锻造.jsonl,9,33,2014/5/31,第3批,张松满,自然人/其他,,1005,,,,,,人民币,"三联有限增资3,000万元，其中由孙国奉出资1,995万元，张松满出资1,005万元。2014年5月，三联有限第二次增资，注册资本：5,000万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-010,001282,三联锻造,001282_三联锻造.jsonl,10,33,2017/2/28,第4批,安徽高新同华创业投资基金（有限合伙）,PE/VC或私募基金,,1150,,,,,,人民币,"三联有限增资1,150万元，由高新同华出资1,150万元。2017年2月，三联有限第三次增资，注册资本：6,150万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-011,001282,三联锻造,001282_三联锻造.jsonl,11,34,2017/11/30,第5批,孙国奉,自然人/其他,,1330,,,,,,人民币,"三联有限增资2,000万元，三联有限将未分配利润2,000万元向孙国奉、张松满定向转增注册资本，其中孙国奉定向转增1,330万元，张松满定向转增670万元。2017年11月，三联有限第四次增资，注册资本：8,150万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-012,001282,三联锻造,001282_三联锻造.jsonl,12,34,2017/11/30,第5批,张松满,自然人/其他,,670,,,,,,人民币,"三联有限增资2,000万元，三联有限将未分配利润2,000万元向孙国奉、张松满定向转增注册资本，其中孙国奉定向转增1,330万元，张松满定向转增670万元。2017年11月，三联有限第四次增资，注册资本：8,150万元。",认购/新增股份未披露，保留空值
AUTO-SUB-001282-013,001282,三联锻造,001282_三联锻造.jsonl,13,35,2019/12/4,第6批,芜湖三联控股合伙企业（有限合伙）,合伙企业-待复核,348,1566,4.5,4.5,,,,人民币,"2019年12月4日，公司召开2019年第二次临时股东大会，审议通过了《关于公司增资扩股的议案》，议案决定拟将公司的注册资本由8,150万元增加至8,498万元。新增注册资本由新股东三联合伙以每股4.50元的价格认购，其中348万元计入注册资本，剩余1,218万元计入资本公积。2019年12月17日，三联锻造本次增资经芜湖市市场监督管理局核准。",
AUTO-SUB-301563-001,301563,云汉芯城,301563_云汉芯城.jsonl,1,55,2008/5/7,有限公司设立,深圳市云汉电子有限公司,产业资本/法人股东,25,25,1,1,,,,人民币,2008年5月，有限公司设立，注册资本50万元。由深圳市云汉电子有限公司和刘云锋共同出资设立，持股比例分别为50%、50%。序号1：深圳市云汉电子有限公司，注册资本25.00万元，持股比例50.00%。,
AUTO-SUB-301563-002,301563,云汉芯城,301563_云汉芯城.jsonl,2,55,2008/5/7,有限公司设立,刘云锋,自然人/其他,25,25,1,1,,,,人民币,2008年5月，有限公司设立，注册资本50万元。由深圳市云汉电子有限公司和刘云锋共同出资设立，持股比例分别为50%、50%。序号2：刘云锋，注册资本25.00万元，持股比例50.00%。,
AUTO-SUB-301563-003,301563,云汉芯城,301563_云汉芯城.jsonl,3,56,2009/12/1,有限公司第一次增资,曾烨,自然人/其他,25,25,1,1,,,,人民币,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。深圳市云汉电子有限公司将其持有的有限公司50%股权转让给曾烨，曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万。,
AUTO-SUB-301563-004,301563,云汉芯城,301563_云汉芯城.jsonl,4,56,2009/12/1,有限公司第一次增资,刘云锋,自然人/其他,25,25,1,1,,,,人民币,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万。,
AUTO-SUB-301563-005,301563,云汉芯城,301563_云汉芯城.jsonl,5,56,2014/8/1,有限公司第二次增资（A轮第一批）,武汉力源信息技术股份有限公司,产业资本/法人股东,14.1,,,,,,,人民币,2014年8月，有限公司第二次增资，注册资本增至128.205万元。力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。,投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-006,301563,云汉芯城,301563_云汉芯城.jsonl,6,56,2014/8/1,有限公司第二次增资（A轮第一批）,东方富海（上海）创业投资企业（有限合伙）,PE/VC或私募基金,7.05,,,,,,,人民币,2014年8月，有限公司第二次增资，注册资本增至128.205万元。力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。,投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-007,301563,云汉芯城,301563_云汉芯城.jsonl,7,56,2014/8/1,有限公司第二次增资（A轮第一批）,芜湖富海浩研创业投资基金（有限合伙）,PE/VC或私募基金,7.05,,,,,,,人民币,2014年8月，有限公司第二次增资，注册资本增至128.205万元。力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。,投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-008,301563,云汉芯城,301563_云汉芯城.jsonl,8,56,2015/1/1,有限公司第三次增资（A轮第二批）,武汉力源信息技术股份有限公司,产业资本/法人股东,4.39,,,,,,,人民币,2015年1月，有限公司第三次增资，注册资本增至136.9864万元。力源信息、东方富海及芜湖富海共同增资8.78714万元，注册资本增至136.9864万元。,投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-009,301563,云汉芯城,301563_云汉芯城.jsonl,9,56,2015/1/1,有限公司第三次增资（A轮第二批）,东方富海（上海）创业投资企业（有限合伙）,PE/VC或私募基金,2.2,,,,,,,人民币,2015年1月，有限公司第三次增资，注册资本增至136.9864万元。力源信息、东方富海及芜湖富海共同增资8.78714万元，注册资本增至136.9864万元。,投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-010,301563,云汉芯城,301563_云汉芯城.jsonl,10,56,2015/1/1,有限公司第三次增资（A轮第二批）,芜湖富海浩研创业投资基金（有限合伙）,PE/VC或私募基金,2.2,,,,,,,人民币,2015年1月，有限公司第三次增资，注册资本增至136.9864万元。力源信息、东方富海及芜湖富海共同增资8.78714万元，注册资本增至136.9864万元。,投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-011,301563,云汉芯城,301563_云汉芯城.jsonl,11,56,2015/3/1,有限公司第四次增资（资本公积转增）,曾烨,自然人/其他,894.18,0,0,,,,,人民币,"2015年3月，有限公司第四次增资，注册资本增至2,000万元。新增注册资本由各股东按照其持股比例以资本公积转增，注册资本增至2,000万元。",
AUTO-SUB-301563-012,301563,云汉芯城,301563_云汉芯城.jsonl,12,56,2015/3/1,有限公司第四次增资（资本公积转增）,刘云锋,自然人/其他,372.6,0,0,,,,,人民币,"2015年3月，有限公司第四次增资，注册资本增至2,000万元。新增注册资本由各股东按照其持股比例以资本公积转增，注册资本增至2,000万元。",
AUTO-SUB-301563-013,301563,云汉芯城,301563_云汉芯城.jsonl,13,56,2015/3/1,有限公司第四次增资（资本公积转增）,上海为赛投资管理中心（有限合伙）,合伙企业-待复核,93.15,0,0,,,,,人民币,"2015年3月，有限公司第四次增资，注册资本增至2,000万元。新增注册资本由各股东按照其持股比例以资本公积转增，注册资本增至2,000万元。",
AUTO-SUB-301563-014,301563,云汉芯城,301563_云汉芯城.jsonl,14,56,2015/3/1,有限公司第四次增资（资本公积转增）,武汉力源信息技术股份有限公司,产业资本/法人股东,251.7,0,0,,,,,人民币,"2015年3月，有限公司第四次增资，注册资本增至2,000万元。新增注册资本由各股东按照其持股比例以资本公积转增，注册资本增至2,000万元。",
AUTO-SUB-301563-015,301563,云汉芯城,301563_云汉芯城.jsonl,15,56,2015/3/1,有限公司第四次增资（资本公积转增）,东方富海（上海）创业投资企业（有限合伙）,PE/VC或私募基金,125.85,0,0,,,,,人民币,"2015年3月，有限公司第四次增资，注册资本增至2,000万元。新增注册资本由各股东按照其持股比例以资本公积转增，注册资本增至2,000万元。",
AUTO-SUB-301563-016,301563,云汉芯城,301563_云汉芯城.jsonl,16,56,2015/3/1,有限公司第四次增资（资本公积转增）,芜湖富海浩研创业投资基金（有限合伙）,PE/VC或私募基金,125.52,0,0,,,,,人民币,"2015年3月，有限公司第四次增资，注册资本增至2,000万元。新增注册资本由各股东按照其持股比例以资本公积转增，注册资本增至2,000万元。",
AUTO-SUB-301563-017,301563,云汉芯城,301563_云汉芯城.jsonl,17,57,2015/8/1,有限公司第五次增资（B轮）,深圳市创新投资集团有限公司,产业资本/法人股东,50.37,,,,,,,人民币,"2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元。深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。",投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-018,301563,云汉芯城,301563_云汉芯城.jsonl,18,57,2015/8/1,有限公司第五次增资（B轮）,丰利财富（北京）国际资本管理股份有限公司,产业资本/法人股东,35.97,1000,,27.8009,,,,人民币,"2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元。深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元。转让价格系按照丰利财富2015年入股云汉有限时的投资总额1,000万元确定（PDF第58页）。",PDF未直接披露单价，按金额/股份计算
AUTO-SUB-301563-019,301563,云汉芯城,301563_云汉芯城.jsonl,19,57,2015/8/1,有限公司第五次增资（B轮）,镇江红土创业投资有限公司,PE/VC或私募基金,17.99,,,,,,,人民币,"2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元。深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元。",投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-020,301563,云汉芯城,301563_云汉芯城.jsonl,20,57,2015/8/1,有限公司第五次增资（B轮）,昆山红土高新创业投资有限公司,PE/VC或私募基金,17.99,,,,,,,人民币,"2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元。深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元。",投资金额未披露或非现金出资，保留空值
AUTO-SUB-301563-021,301563,云汉芯城,301563_云汉芯城.jsonl,21,57,2015/8/1,有限公司第五次增资（B轮）,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,PE/VC或私募基金,17.99,,,,,,,人民币,"2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元。深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元。",投资金额未披露或非现金出资，保留空值
