check_id,record_id,stock_code,company_short,subscriber_name,subscription_amount_wan,subscription_shares_wan,disclosed_price_yuan,computed_price_yuan,abs_diff,status,note
SUB-001282-001,AUTO-SUB-001282-001,001282,三联锻造,孙国奉,175,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-002,AUTO-SUB-001282-002,001282,三联锻造,孙国敏,162.5,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-003,AUTO-SUB-001282-003,001282,三联锻造,张松满,162.5,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-004,AUTO-SUB-001282-004,001282,三联锻造,温州三联锻造有限公司,620,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-005,AUTO-SUB-001282-005,001282,三联锻造,张爱连,400,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-006,AUTO-SUB-001282-006,001282,三联锻造,孙娟丽,380,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-007,AUTO-SUB-001282-007,001282,三联锻造,孙国奉,100,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-008,AUTO-SUB-001282-008,001282,三联锻造,孙国奉,1995,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-009,AUTO-SUB-001282-009,001282,三联锻造,张松满,1005,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-010,AUTO-SUB-001282-010,001282,三联锻造,安徽高新同华创业投资基金（有限合伙）,1150,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-011,AUTO-SUB-001282-011,001282,三联锻造,孙国奉,1330,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-012,AUTO-SUB-001282-012,001282,三联锻造,张松满,670,,,,,INFO,金额或股份数未披露，单价不计算。
SUB-001282-013,AUTO-SUB-001282-013,001282,三联锻造,芜湖三联控股合伙企业（有限合伙）,1566,348,4.5,4.5,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-014,AUTO-SUB-301563-001,301563,云汉芯城,深圳市云汉电子有限公司,25,25,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-015,AUTO-SUB-301563-002,301563,云汉芯城,刘云锋,25,25,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-016,AUTO-SUB-301563-003,301563,云汉芯城,曾烨,25,25,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-017,AUTO-SUB-301563-004,301563,云汉芯城,刘云锋,25,25,1,1.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-018,AUTO-SUB-301563-005,301563,云汉芯城,武汉力源信息技术股份有限公司,,14.1,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-019,AUTO-SUB-301563-006,301563,云汉芯城,东方富海（上海）创业投资企业（有限合伙）,,7.05,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-020,AUTO-SUB-301563-007,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,,7.05,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-021,AUTO-SUB-301563-008,301563,云汉芯城,武汉力源信息技术股份有限公司,,4.39,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-022,AUTO-SUB-301563-009,301563,云汉芯城,东方富海（上海）创业投资企业（有限合伙）,,2.2,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-023,AUTO-SUB-301563-010,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,,2.2,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-024,AUTO-SUB-301563-011,301563,云汉芯城,曾烨,0,894.18,0,0.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-025,AUTO-SUB-301563-012,301563,云汉芯城,刘云锋,0,372.6,0,0.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-026,AUTO-SUB-301563-013,301563,云汉芯城,上海为赛投资管理中心（有限合伙）,0,93.15,0,0.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-027,AUTO-SUB-301563-014,301563,云汉芯城,武汉力源信息技术股份有限公司,0,251.7,0,0.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-028,AUTO-SUB-301563-015,301563,云汉芯城,东方富海（上海）创业投资企业（有限合伙）,0,125.85,0,0.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-029,AUTO-SUB-301563-016,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,0,125.52,0,0.0,0.0,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-030,AUTO-SUB-301563-017,301563,云汉芯城,深圳市创新投资集团有限公司,,50.37,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-031,AUTO-SUB-301563-018,301563,云汉芯城,丰利财富（北京）国际资本管理股份有限公司,1000,35.97,,27.8009,,INFO,PDF未直接披露单价，脚本仅生成可复核计算值。
SUB-301563-032,AUTO-SUB-301563-019,301563,云汉芯城,镇江红土创业投资有限公司,,17.99,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-033,AUTO-SUB-301563-020,301563,云汉芯城,昆山红土高新创业投资有限公司,,17.99,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-034,AUTO-SUB-301563-021,301563,云汉芯城,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,,17.99,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-035,AUTO-SUB-301563-022,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,,18.01,,,,INFO,金额或股份数未披露，单价不计算。
SUB-301563-036,AUTO-SUB-301563-023,301563,云汉芯城,北京国科瑞华战略性新兴产业投资基金（有限合伙）,7412,254.4787,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-037,AUTO-SUB-301563-024,301563,云汉芯城,CASREV FUND II-USD L.P.,1800,61.8,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-038,AUTO-SUB-301563-025,301563,云汉芯城,中科贵银（贵州）产业投资基金（有限合伙）,1584,54.384,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-039,AUTO-SUB-301563-026,301563,云汉芯城,夏东,204,7.004,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
SUB-301563-040,AUTO-SUB-301563-027,301563,云汉芯城,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,3000,103,29.13,29.1262,0.0038,PASS,披露单价与金额/股份数计算值一致。
