sample_id,stock_code,company_short,pdf_name,page,section_hint,hit_keywords,snippet
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,7,toc,目录,包头天和磁材科技股份有限公司招股说明书1-1-6目录发行人声明.......................................................................................................1致投资者的声明................................................................................................2一、发行人上市的目的..............................................................................2二、发行人现代企业制度的建立健全情况.................................................2三、发行人本次融资的必要性及募集资金使用规划...................................3四、发行人持续经营能力及未来发展规划.................................................3本次发行概况................
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,8,special_terms,持有发行人;对赌;清理情况,磁材科技股份有限公司招股说明书1-1-7四、公司股权结构...................................................................................55五、发行人控股公司及参股公司的简要情况............................................55六、持有发行人5%以上股份的主要股东及实际控制人的基本情况.........59七、发行人特别表决权股份的情况..........................................................70八、发行人协议控制架构情况.................................................................71九、控股股东、实际控制人报告期内的重大违法行为.............................71十、发行人股本情况...............................................................................71十一、董事、监事、高级管理人员与其他核心人员.................................74十二、董事、监事、高级管理人员与其他核心人员近三年的变动情况....83十三、董事、监事、高级管理人员与其他核心人员对外投资情况............84十四、董事、监事、高级管理人员与其他核心人员最近一年薪酬情况....85十五、本次公开发行申报前
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,11,special_terms,回购,........................510一、关于股份锁定、持股及减持意向的承诺函......................................510二、稳定股价的措施和承诺...................................................................517三、欺诈发行上市股份回购的承诺........................................................525四、摊薄即期回报填补措施的承诺函....................................................526五、上市后利润分配政策的承诺............................................................529六、依法承担赔偿责任的承诺...............................................................531七、控股股东避免新增同业竞争的承诺.................................................533八、关于业绩下滑情形相关的承诺........................................................535九、其他承诺事项..............................................................................
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,14,toc,目录,结钕铁硼永磁材料、粘结钕铁硼永磁材料、热压钕铁硼永磁材料等，业内亦称钕铁硼永磁体烧结钕铁硼、烧结钕铁硼永磁材料指采用粉末冶金工艺制造的钕铁硼永磁材料，制造流程主要包括：合金熔炼、破碎制粉、模压成型、烧结致密化、时效热处理等。根据应用要求，还可以进行必要的机械加工、表面处理等，业内亦称烧结钕铁硼永磁体或烧结钕铁硼磁体高性能钕铁硼永磁材料指根据《中国高新技术产品目录（2006）》，高性能钕铁硼永磁材料的标准为：以速凝甩带法制成，内禀矫顽力（Hcj）和最大磁能积（（BH）max）之和大于60，用于制作中、小、微型特殊用途的永磁电机、传感器、磁共振仪、高级音像设备等的烧结钕铁硼永磁材料
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,30,toc,目录,"行业代表性。（五）发行人生产经营符合国家产业政策发行人系国内先进的高性能稀土永磁材料提供商，重点围绕下游新能源汽车及汽车零部件、风力发电、节能家电、3C消费电子等终端领域的能源绿色化、用能高效化、装备轻量化、器件小型化需求，基于自有核心技术开展配方研制、工艺开发、毛坯生产、成品加工和表面处理，为客户提供烧结钕铁硼、烧结钐钴等关键功能材料，在《产业结构调整指导目录（2024年本）》中被列为鼓励类产业项目。公司还依托多元成分调控技术、晶粒细化技术、高效绿色加工技术等核心技术，实现材料制备过程中的重稀土元素减量、高丰度稀土替代、能耗控制、循环利用等，相继获评工信部全国绿色工厂（2020年）、2020年内蒙古自治区绿色制造示范单位等荣誉。综上所述，发行人生产经营符合国家产业政策。六、发行人主要财务数据及财务指标根据信永中和会计师事务所（特殊普通合伙）出具的《审计报告》（XYZH/2024BJAA8B0259），包头天和磁材科技股份有限公司报告期内的主要财务数据及主要财务指标如下：项目2024年6月30日/2024年1-6月2023年12月31日/2023年度2022年12月31日/2022年度2021年12月31日/2021年度资产总额（万元）300,031.39299,285.19258,277.37195,864.83"
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,47,gp_lp,出资比例,"2008年5月21日，高新会计师出具“包高新所验S字（2008）第78号”《验资报告》。经审验，截至2008年5月21日，天和有限（筹）已收到股东天津天和以货币方式出资缴纳的注册资本合计2,000万元。2008年5月22日，天和有限取得包头市工商行政管理局颁发的营业执照，注册号为150208000006688，公司成立时股权结构如下：序号出资人出资额（万元）出资比例（%）出资方式1天津天和2,000.00100.00货币合计2,000.00100.00-（二）股份有限公司设立情况发行人系由天和有限整体变更设立的股份公司。2019年1月14日，信永中和会计师事务所（特殊普通合伙）出具了XYZH/2019BJA80002号《审计报告》，确认天和有限截至审计基准日2018年11月30日的净资产为人民币37,503.92万元。2019年1月15日，公司全体股东签署《包头天和磁材科技股份有限公司发起人协议》，同意将原有限公司依法整体变更为股份有限公司，变更基准日为2018年11月30日，并以公司经审计的净资产37,503.92万元出资，按1：0.4746比例折合股本17,800万元股。股份公司成立时注册资本为17,800万元，前述经审计净资产超出部分19,703.92万元则计入股份公司资本公积，由全体股东享有。各股东以其持有的公司股权所对应的净资产认购股份公司股份，持股比例不变。2019年1月30日，信永中和出具了XYZH/2019BJA80086号《验资报告》，对天和有限整体变更为股份有限公司出资情况进行了审验，确认截至2019年1月30日，发行人已收到全体出资者以其拥有的天和有限净资"
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,52,history,股权转让,21年9月3日，汇誉中证出具《债转股追溯资产评估报告》，确认债权评估值与相关债权金额相同，相关债权不存在高估或低估作价的情形。另外，包头市市场监督管理局亦于2021年11月9日出具《证明》，确认发行人“从2018年1月1日至2021年11月8日期间，无包头市市场监督管理局查处的违法、违规记录”，故上述债转股出资真实，不存在出资不实或虚假出资的情形。（三）历次股权转让、增资的背景和原因，转让及增资价格确定的依据及合理性、所履行的法律程序，2019年3月与2019年12月股东增资入股价格存在较大差异的原因，相关价款支付情况，股东资金来源及其合法性，是否存在委托持股、利益输送或其他利益安排，是否为股东的真实意思表示，是否存在纠纷或潜在纠纷1、历次股权转让、增资的背景和原因，转让及增资价格确定的依据及合理性、所履行的法律程序，相关价款支付情况，股东资金来源及其合法性发行人历次股权转让、增资的具体情况如下表所示：序号股东姓名/名称入股背景、原因入股时间入股形式入股价格（元/注册资本）定价依据及合理性价款支付情况资金来源及合法性履行的法律程序1天津天和公司设立2008.5公司设立1注册资本账面值已支付自有资金，合法股东决定、验资、工商设立登记2天津天和扩大公司生产经营规模2009.9增资1原股东增资已支付自有资金，合法股东决定、验资、工商变更登记3天津天和扩大公司生产经营规模2009.11增资1原股东增资已支付自有资金，合法股东决定、验资、工商变更登记4天津天和、袁易扩大公司生产经营规模2010.3增资1原股东以及实控人增资已支付自有资金，合法股东会决议、验资、工商变更登记
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,53,history,股权转让;新增股东;员工持股平台,"资人看好公司未来发展前景2019.3增资2.57参考上一年末每股净资产2.11元以及2018年实现净利润经协商确定已支付自有资金、自筹资金，合法股东大会决议、验资、工商变更登记12中车泛海、同历宏阳外部投资人看好公司未来发展前景2020.1增资5.35参考2019年盈利情况并经协商确定已支付自有资金，合法股东大会决议、验资、工商变更登记由上表可知，发行人历次股权转让、增资定价依据合理、定价公允、价款均已支付、资金来源合法，并已履行了必要的法律程序。2、2019年3月与2019年12月股东增资入股价格存在较大差异的原因（1）2019年3月公司增资的定价系依据公司2018年扣除非经常性损益后归属于母公司所有者的净利润3,580.18万元（本次发行调整为3,401.80万元，系公司研发费用调整所致），按照PE倍数约13.42倍并参考上一年末每股净资产2.11元协商确定。（2）2019年12月公司增资的定价系依据管理层测算的2019年扣除非经常性损益后归属于母公司所有者的净利润约8,000万元，按照PE倍数约13倍协商确定。综上，2019年3月与2019年12月股东增资入股价格存在较大差异的原因系两次增资估值依据的净利润基础不同，增资价格存在较大差异。但两次增资的"
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,54,history,发行人股东;历次增资;股权转让;员工持股平台;核心员工,有股东是否为适格股东，与发行人其他股东、董事、监事、高级管理人员、本次发行中介机构及其负责人、签字人员之间是否存在亲属关系、关联关系、委托持股等特殊协议或安排，是否存在纠纷或潜在争议1、发行人现有股东是否为适格股东截至招股说明书签署日，发行人共有17名股东，包括9名自然人股东，1名企业法人股东，7名合伙企业股东。其中，9名自然人股东均在发行人处任职，具备成为发行人股东的民事权利能力及行为能力；寰盈投资、科曼咨询作为发行人的员工持股平台，为依法有效存续的有限合伙企业，不存在根据法律、法规或者其合伙协议需要终止或解散的情形，其合伙人均为发行人及其全资子公司的员工；天津天和、朗润园、元龙智能、星火咨询、中车泛海、同历宏阳为依法有效
MB001,603072,天和磁材,MB001_603072_包头天和磁材科技股份有限公司_招股说明书.pdf,55,pe_fund,私募基金;基金管理人,包头天和磁材科技股份有限公司招股说明书1-1-54存续的有限责任公司或有限合伙企业，不存在根据法律、法规或者其章程/合伙协议需要终止或解散的情形。同时，发行人私募基金股东中车泛海、同历宏阳已办理私募基金备案，其基金管理人亦办理了登记手续。截至本招股说明书签署日，发行人现有股东均为适格股东。截至本招股说明书签署日，发行人现有股东均为适格股东。2、发行人现有股东与发行人其他股东、董事、监事、高级管理人员、本次发行中介机构及其负责人、签字人员之间是否存在亲属关系、关联关系、委托持股等特殊协议或安排，是否存在纠纷或潜在争议截至本招股说明书签署日，发行人现有股东与发行人其他股东、直接股东、董事、监事、高级管理人员之间的关联关系如下：序号股东姓名/名称直接持股情况间接持股情况在发行人处任职情况关联关系1袁文杰13.74%持有天津天和14%股权董事长袁文杰系袁擘和袁易之父，袁擘系袁易之兄；袁文杰、袁擘、陈雅、翟勇、范跃林、沈强、周拴柱为天津天和董事2袁擘1.38%持有天津天和36%股权、寰盈投资4.57%合伙权益审计法务部部长3袁易9.14%持有天津天和18%股权董事、副总经理4翟勇0.62%持有天津天和4%股权天之和总经理5范跃林0.62%持有天津天和4%股权烧结一分厂厂长6沈强0.62%持有天津天和4%股权机械加工分厂厂长7周拴柱0.28%持有天津天和2%股权销售市场部职工8天津天和45.
