record_id,stock_code,company_short,source_file,source_record_no,pdf_page,transfer_date,batch_label,transferor_name,transferee_name,transferred_shares_wan,,transfer_price_yuan,transfer_ratio_pct,source_evidence
AUTO-TR-301563-001,301563,云汉芯城,301563_云汉芯城.jsonl,3,56,2009年12月,有限公司第一次增资,深圳市云汉电子有限公司,曾烨,,,,50,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。深圳市云汉电子有限公司将其持有的有限公司50%股权转让给曾烨，曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万。
AUTO-TR-301563-002,301563,云汉芯城,301563_云汉芯城.jsonl,4,56,2009年12月,有限公司第一次增资,,,,,,,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万。
AUTO-TR-301563-003,301563,云汉芯城,301563_云汉芯城.jsonl,18,57,2015年8月,有限公司第五次增资（B轮）,,,,,,,"2015年8月，有限公司第五次增资，注册资本增至2,158.2733万元。深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元。转让价格系按照丰利财富2015年入股云汉有限时的投资总额1,000万元确定（PDF第58页）。"
AUTO-TR-301563-004,301563,云汉芯城,301563_云汉芯城.jsonl,23,59,,股份公司第一次增资（C轮-外部投资人）,,,,,,,"国科瑞华以现金7,412万元认缴新增注册资本254.4787万元。上述增资和股权转让的每股价格约为29.13元，对应发行人整体投后估值约为13.5亿元。"
AUTO-TR-301563-005,301563,云汉芯城,301563_云汉芯城.jsonl,24,59,,股份公司第一次增资（C轮-外部投资人）,,,,,,,"CASREV FUND以现金1,800万元的等值美元认缴新增注册资本61.8万元。上述增资和股权转让的每股价格约为29.13元。"
AUTO-TR-301563-006,301563,云汉芯城,301563_云汉芯城.jsonl,25,59,,股份公司第一次增资（C轮-外部投资人）,,,,,,,"中科贵银以现金1,584万元认缴新增注册资本54.384万元。上述增资和股权转让的每股价格约为29.13元。"
AUTO-TR-301563-007,301563,云汉芯城,301563_云汉芯城.jsonl,26,59,,股份公司第一次增资（C轮-外部投资人）,,,,,,,夏东以现金204万元认缴新增注册资本7.004万元。上述增资和股权转让的每股价格约为29.13元。
AUTO-TR-301563-008,301563,云汉芯城,301563_云汉芯城.jsonl,27,59,,股份公司第一次增资（C轮-外部投资人）,,,,,,,"南山富海以现金3,000万元认缴新增注册资本103万元。上述增资和股权转让的每股价格约为29.13元。"
AUTO-TR-301563-009,301563,云汉芯城,301563_云汉芯城.jsonl,28,59,,股份公司第一次增资（C轮-外部投资人）,,,,,,,"珠海拓域以现金1,000万元认缴新增注册资本34.3333万元。上述增资和股权转让的每股价格约为29.13元。"
AUTO-TR-301563-010,301563,云汉芯城,301563_云汉芯城.jsonl,34,63,2020年9月23日,股份公司第三次增资（D+轮）,,,96.899,,,,"厦门西堤以5,000.00万元认购公司新增股份96.899万股，96.899万元计入股本，剩余部分计入资本公积。此次增资及股权转让的每股价格约为51.6元，对应发行人整体投后估值约为25.2亿。"
AUTO-TR-301563-011,301563,云汉芯城,301563_云汉芯城.jsonl,35,63,2020年9月23日,股份公司第三次增资（D+轮）,,,38.7596,,,,"中小企业基金以2,000.00万元认购新增股份38.7596万股，38.7596万元计入股本，剩余部分计入资本公积。此次增资及股权转让的每股价格约为51.6元。"
AUTO-TR-688758-001,688758,赛分科技,688758_赛分科技.jsonl,35,54,,,,,,,,,"苏州赛分科技股份有限公司 首次公开发行股票并在科创板上市招股说明书 认缴出资额 实缴出资额 出资比例 序号 股东姓名/名称 出资方式 （万元） （万元） （%） 1 黄学英 883.39 883.39 36.69 货币 2 周金清 280.00 280.00 11.63 货币 3 陆民 257.40 257.40 10.69 货币 4 高新同华 248.00 248.00 10.30 货币 5 华泰大健康一号 175.19 175.19 7.28 货币 6 苏州贤达 134.15 134.15 5.57 货币 7 苏州博达 114.94 114.94 4.77 货币 8 苏州杰贤 69.48 69.48 2.89 货币 9 潘鼎 63.20 63.20 2.62 货币 10 海佳同康 47.40 47.40 1.97 货币 11 苏州敦行 40.00 40.00 1.66 货币 12 陈志华 30.04 30.04 1.25 货币 13 耿卫东 30.00 30.00 1.25 货币 14 骏耀投资 20.00 20.00 0.83 货币 15 华泰大健康二号 12.00 12.00 0.50 货币 16 道兴投资 2.81 2.81 0.12 货币 合计 2,408.00 2,408.00 100.00 / 报告期内，公司进行了 3 次增资、2 次股权转让、1 次资本公积转增股本"
