record_id,investor_name,investor_type_final,investor_type_basis,stock_code,company_short,market,manual_priority,source_tables,pdf_pages_observed,amac_record_code,gp_name,lp_structure,pdf_direct_disclosure,needs_amac_check,needs_gp_lp_check,verification_priority,source_priority,week11_status,manual_instruction,engineering_rule
FQ001,芜湖富海浩研创业投资基金（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,55；56；57；59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ002,东方富海（上海）创业投资企业（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,55；56；59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ003,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ004,昆山红土高新创业投资有限公司,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ005,镇江红土创业投资有限公司,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,55；57；59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ006,中科贵银（贵州）产业投资基金（有限合伙）,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ007,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ008,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,59；61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ009,安徽高新同华创业投资基金（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,001282,三联锻造,主板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,33；34；37,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ010,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,VC,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,301563,云汉芯城,创业板,P1-优先补备案编码/GP/LP,股权快照,61；62；63；65,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ011,达晨创联基金,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,603418,友升股份,主板,P1-优先补备案编码/GP/LP,股权快照,43；44；45,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
FQ012,金浦临港基金,PE,由第十周 investor_type_final 承接；名称含创投/基金/私募时人工复核优先,603418,友升股份,主板,P1-优先补备案编码/GP/LP,股权快照；认缴/增资,44；45,,,,否,是,是,高,1.PDF原文；2.基金业协会；3.工商资料；4.人工备注,待人工/外部核验,先回PDF页码核对；PDF未披露时字段保留空值，并把外部核验来源另列。,PDF未披露就留空；不得由基金名称反推备案编码、GP或LP结构。
