file,rows,role,source
data/derived/week11_database_migration_plan.csv,5,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_persistent_db_readiness.csv,3,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_fund_deep_enrichment_queue.csv,32,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_manual_verification_template.csv,96,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_research_design_matrix.csv,3,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_variable_dictionary.csv,11,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_sample_expansion_plan.csv,4,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_quality_dashboard.csv,11,week11 derived output,generated by code/week11_pipeline.py
data/derived/week11_completion_checklist.csv,8,week11 derived output,generated by code/week11_pipeline.py
outputs/week11_summary_workbook.xlsx,,Excel汇总表,generated/updated in Week11 package
report/霍泓锟_第十一周任务报告.docx,,Word报告,generated/updated in Week11 package
report/霍泓锟_第十一周任务报告.pdf,,PDF报告,generated/updated in Week11 package
database/schema_postgresql_week11.sql,,PostgreSQL schema,generated/updated in Week11 package
database/import_week11_tables.sql,,PostgreSQL import script,generated/updated in Week11 package
