record_id,stock_code,company_short,investor_name,investor_type_final,verify_item,current_value,evidence_location,manual_rule,suggested_action,check_result,reviewer,update_target
FQ001,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,VC,备案编码,,55；56；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ001,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,VC,基金管理人/GP,,55；56；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ001,301563,云汉芯城,芜湖富海浩研创业投资基金（有限合伙）,VC,LP结构,,55；56；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ002,301563,云汉芯城,东方富海（上海）创业投资企业（有限合伙）,VC,备案编码,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ002,301563,云汉芯城,东方富海（上海）创业投资企业（有限合伙）,VC,基金管理人/GP,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ002,301563,云汉芯城,东方富海（上海）创业投资企业（有限合伙）,VC,LP结构,,55；56；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ003,301563,云汉芯城,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,VC,备案编码,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ003,301563,云汉芯城,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,VC,基金管理人/GP,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ003,301563,云汉芯城,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,VC,LP结构,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ004,301563,云汉芯城,昆山红土高新创业投资有限公司,VC,备案编码,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ004,301563,云汉芯城,昆山红土高新创业投资有限公司,VC,基金管理人/GP,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ004,301563,云汉芯城,昆山红土高新创业投资有限公司,VC,LP结构,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ005,301563,云汉芯城,镇江红土创业投资有限公司,VC,备案编码,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ005,301563,云汉芯城,镇江红土创业投资有限公司,VC,基金管理人/GP,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ005,301563,云汉芯城,镇江红土创业投资有限公司,VC,LP结构,,55；57；59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ006,301563,云汉芯城,中科贵银（贵州）产业投资基金（有限合伙）,PE,备案编码,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ006,301563,云汉芯城,中科贵银（贵州）产业投资基金（有限合伙）,PE,基金管理人/GP,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ006,301563,云汉芯城,中科贵银（贵州）产业投资基金（有限合伙）,PE,LP结构,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ007,301563,云汉芯城,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE,备案编码,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ007,301563,云汉芯城,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE,基金管理人/GP,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ007,301563,云汉芯城,北京国科瑞华战略性新兴产业投资基金（有限合伙）,PE,LP结构,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ008,301563,云汉芯城,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,VC,备案编码,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ008,301563,云汉芯城,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,VC,基金管理人/GP,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ008,301563,云汉芯城,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,VC,LP结构,,59；61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ009,001282,三联锻造,安徽高新同华创业投资基金（有限合伙）,VC,备案编码,,33；34；37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ009,001282,三联锻造,安徽高新同华创业投资基金（有限合伙）,VC,基金管理人/GP,,33；34；37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ009,001282,三联锻造,安徽高新同华创业投资基金（有限合伙）,VC,LP结构,,33；34；37,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ010,301563,云汉芯城,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,VC,备案编码,,61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ010,301563,云汉芯城,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,VC,基金管理人/GP,,61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ010,301563,云汉芯城,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,VC,LP结构,,61；62；63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ011,603418,友升股份,达晨创联基金,PE,备案编码,,43；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ011,603418,友升股份,达晨创联基金,PE,基金管理人/GP,,43；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ011,603418,友升股份,达晨创联基金,PE,LP结构,,43；44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ012,603418,友升股份,金浦临港基金,PE,备案编码,,44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ012,603418,友升股份,金浦临港基金,PE,基金管理人/GP,,44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ012,603418,友升股份,金浦临港基金,PE,LP结构,,44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ013,603418,友升股份,金浦科创基金,PE,备案编码,,44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ013,603418,友升股份,金浦科创基金,PE,基金管理人/GP,,44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ013,603418,友升股份,金浦科创基金,PE,LP结构,,44；45,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ014,301563,云汉芯城,中小企业发展基金（深圳南山有限合伙）,PE,备案编码,,63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ014,301563,云汉芯城,中小企业发展基金（深圳南山有限合伙）,PE,基金管理人/GP,,63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ014,301563,云汉芯城,中小企业发展基金（深圳南山有限合伙）,PE,LP结构,,63；65,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ015,301563,云汉芯城,丰利财富（北京）国际资本管理股份有限公司,PE,备案编码,,55；57,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
FQ015,301563,云汉芯城,丰利财富（北京）国际资本管理股份有限公司,PE,基金管理人/GP,,55；57,能在PDF或外部来源逐字确认才填写；无法确认则留空。,回看PDF页码并截图；如PDF无披露，再检索基金业协会或工商来源。,待核验,霍泓锟,final/基金深度字段表
