company_key,source_group,sample_id,stock_code,company_name,company_short,exchange,board,listing_date,ipo_year,prospectus_date,source_platform,source_page_url,prospectus_url,local_pdf_path,local_text_path,source_status,source_level,page_count,file_size_mb,keyword_hit_count,keyword_hit_summary,week12_role,recommended_action
BASE-603072,week1_public_baseline,MB001,603072,包头天和磁材科技股份有限公司,包头天和磁材科技股份有限公司,SSE,主板,2025-01-03,2025,2024-12-26,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=603072&id=10671447,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-26/10671447.PDF,,team-star/outputs/week1_parsed_texts/MB001_603072.txt,已在前期完成抽取,A-URL+解析文本+前期Final,564,,151,创业投资:6；私募:2；增资:77；股权转让:21；备案:45,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-603418,week1_public_baseline,MB002,603418,上海友升铝业股份有限公司,上海友升铝业股份有限公司,SSE,主板,2025-09-23,2025,2025-09-18,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=603418&id=11465918,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-9/2025-09-18/11465918.PDF,,team-star/outputs/week1_parsed_texts/MB002_603418.txt,已在前期完成抽取,A-URL+解析文本+前期Final,398,,147,创业投资:57；私募:31；增资:20；股权转让:8；备案:31,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-301581,week1_public_baseline,GEM001,301581,黄山谷捷股份有限公司,黄山谷捷股份有限公司,SZSE,创业板,2025-01-03,2025,2024-12-19,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=301581&id=10657969,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-19/10657969.PDF,,team-star/outputs/week1_parsed_texts/GEM001_301581.txt,已在前期完成抽取,A-URL+解析文本+前期Final,343,,106,创业投资:2；私募:8；增资:60；股权转让:22；备案:14,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-301563,week1_public_baseline,GEM002,301563,云汉芯城（上海）互联网科技股份有限公司,云汉芯城（上海）互联网科技股份有限公司,SZSE,创业板,2025-09-30,2025,2025-09-25,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=301563&id=11479032,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-9/2025-09-25/11479032.PDF,,team-star/outputs/week1_parsed_texts/GEM002_301563.txt,已在前期完成抽取,A-URL+解析文本+前期Final,443,,351,创业投资:45；私募:133；增资:22；股权转让:12；备案:139,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-688758,week1_public_baseline,STAR001,688758,苏州赛分科技股份有限公司,苏州赛分科技股份有限公司,SSE,科创板,2025-01-10,2025,2025-01-06,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688758&id=10694381,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-1/2025-01-06/10694381.PDF,,team-star/outputs/week1_parsed_texts/STAR001_688758.txt,已在前期完成抽取,A-URL+解析文本+前期Final,468,,149,创业投资:13；私募:11；增资:31；股权转让:16；备案:78,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-688775,week1_public_baseline,STAR002,688775,影石创新科技股份有限公司,影石创新科技股份有限公司,SSE,科创板,2025-06-11,2025,2025-06-06,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688775&id=11164575,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-6/2025-06-06/11164575.PDF,,team-star/outputs/week1_parsed_texts/STAR002_688775.txt,已在前期完成抽取,A-URL+解析文本+前期Final,555,,181,创业投资:53；私募:45；增资:10；股权转让:20；备案:53,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-920100,week1_public_baseline,BSE001,920100,常州三协电机股份有限公司,常州三协电机股份有限公司,BSE,北交所,2025-09-08,2025,2025-08-22,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=920100&id=11341298,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSEBJ_STOCK/2025/2025-8/2025-08-22/11341298.PDF,,team-star/outputs/week1_parsed_texts/BSE001_920100.txt,已在前期完成抽取,A-URL+解析文本+前期Final,382,,96,创业投资:23；私募:6；增资:8；股权转让:34；备案:25,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BASE-920091,week1_public_baseline,BSE002,920091,哈尔滨岛田大鹏工业股份有限公司,哈尔滨岛田大鹏工业股份有限公司,BSE,北交所,2025-11-21,2025,2025-11-03,新浪财经公告库,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=920091&id=11582676,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSEBJ_STOCK/2025/2025-11/2025-11-03/11582676.PDF,,team-star/outputs/week1_parsed_texts/BSE002_920091.txt,已在前期完成抽取,A-URL+解析文本+前期Final,391,,36,创业投资:2；增资:3；股权转让:20；备案:11,基线样本复用,承接第十一周Final/数据库结果，继续补基金AMAC/GP/LP来源。
BSE-920690,bse_week3_extended_text,W3-2024-BSE001,920690,捷众科技,捷众科技,BSE,北交所,2024-01-05,2024,2023-12-22,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920690,https://www.bse.cn/disclosure/2023/2023-12-22/1703230612_357298.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE001_920690.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,4,创业投资:1；增资:1；备案:2,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920806,bse_week3_extended_text,W3-2024-BSE002,920806,云星宇,云星宇,BSE,北交所,2024-01-11,2024,2023-12-28,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920806,https://www.bse.cn/disclosure/2023/2023-12-28/1703750060_680484.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE002_920806.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,23,创业投资:2；增资:8；股权转让:9；备案:4,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920403,bse_week3_extended_text,W3-2024-BSE003,920403,康农种业,康农种业,BSE,北交所,2024-01-18,2024,2024-01-04,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920403,https://www.bse.cn/disclosure/2024/2024-01-04/1704358458_753829.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE003_920403.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,23,创业投资:9；私募:1；股权转让:4；备案:9,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920496,bse_week3_extended_text,W3-2024-BSE004,920496,许昌智能,许昌智能,BSE,北交所,2024-01-26,2024,2024-01-15,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920496,https://www.bse.cn/disclosure/2024/2024-01-15/1705306344_537463.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE004_920496.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,11,创业投资:1；私募:1；股权转让:2；备案:7,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920656,bse_week3_extended_text,W3-2024-BSE005,920656,海昇药业,海昇药业,BSE,北交所,2024-02-02,2024,2024-01-22,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920656,https://www.bse.cn/disclosure/2024/2024-01-22/1705908668_541758.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE005_920656.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,23,创业投资:1；私募:4；增资:2；备案:16,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920706,bse_week3_extended_text,W3-2024-BSE006,920706,铁拓机械,铁拓机械,BSE,北交所,2024-03-08,2024,2024-02-26,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920706,https://www.bse.cn/disclosure/2024/2024-02-26/1708939688_889260.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE006_920706.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,20,创业投资:1；增资:2；股权转让:8；备案:9,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920438,bse_week3_extended_text,W3-2024-BSE007,920438,戈碧迦,戈碧迦,BSE,北交所,2024-03-25,2024,2024-03-11,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920438,https://www.bse.cn/disclosure/2024/2024-03-11/1710153861_037009.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE007_920438.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,34,创业投资:19；备案:15,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920123,bse_week3_extended_text,W3-2024-BSE008,920123,芭薇股份,芭薇股份,BSE,北交所,2024-03-29,2024,2024-03-18,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920123,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE008_920123.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,101,创业投资:4；私募:10；增资:23；股权转让:5；备案:59,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920931,bse_week3_extended_text,W3-2024-BSE009,920931,无锡鼎邦,无锡鼎邦,BSE,北交所,2024-04-08,2024,2024-03-25,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920931,https://www.bse.cn/disclosure/2024/2024-03-25/1711358661_224661.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE009_920931.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,4,备案:4,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920002,bse_week3_extended_text,W3-2024-BSE010,920002,万达轴承,万达轴承,BSE,北交所,2024-05-30,2024,2024-05-17,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920002,https://www.bse.cn/disclosure/2024/2024-05-17/1715934142_513244.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE010_920002.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,4,增资:1；备案:3,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920118,bse_week3_extended_text,W3-2024-BSE011,920118,太湖远大,太湖远大,BSE,北交所,2024-08-22,2024,2024-08-09,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920118,https://www.bse.cn/disclosure/2024/2024-08-09/1723199304_455800.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE011_920118.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,39,创业投资:24；私募:6；增资:4；股权转让:1；备案:4,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920008,bse_week3_extended_text,W3-2024-BSE012,920008,成电光信,成电光信,BSE,北交所,2024-08-29,2024,2024-08-16,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920008,https://www.bse.cn/disclosure/2024/2024-08-16/1723796660_838279.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE012_920008.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,26,创业投资:4；股权转让:6；备案:16,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920016,bse_week3_extended_text,W3-2024-BSE013,920016,中草香料,中草香料,BSE,北交所,2024-09-13,2024,2024-08-30,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920016,https://www.bse.cn/disclosure/2024/2024-08-30/1725017664_266165.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE013_920016.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,32,创业投资:5；私募:14；增资:2；股权转让:5；备案:6,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920099,bse_week3_extended_text,W3-2024-BSE014,920099,瑞华技术,瑞华技术,BSE,北交所,2024-09-25,2024,2024-09-06,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920099,https://www.bse.cn/disclosure/2024/2024-09-06/1725619244_825140.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE014_920099.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,39,创业投资:15；私募:9；股权转让:7；备案:8,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920019,bse_week3_extended_text,W3-2024-BSE015,920019,铜冠矿建,铜冠矿建,BSE,北交所,2024-10-11,2024,2024-09-12,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920019,https://www.bse.cn/disclosure/2024/2024-09-12/1726140978_749903.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE015_920019.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,7,私募:1；增资:1；备案:5,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920088,bse_week3_extended_text,W3-2024-BSE016,920088,科力股份,科力股份,BSE,北交所,2024-10-29,2024,2024-10-16,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920088,https://www.bse.cn/disclosure/2024/2024-10-16/1729073664_569671.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE016_920088.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,13,股权转让:4；备案:9,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920066,bse_week3_extended_text,W3-2024-BSE017,920066,科拜尔,科拜尔,BSE,北交所,2024-10-31,2024,2024-10-18,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920066,https://www.bse.cn/disclosure/2024/2024-10-18/1729245991_542173.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE017_920066.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,65,创业投资:2；私募:2；增资:18；股权转让:28；备案:15,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
BSE-920111,bse_week3_extended_text,W3-2024-BSE018,920111,聚星科技,聚星科技,BSE,北交所,2024-11-11,2024,2024-10-25,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920111,https://www.bse.cn/disclosure/2024/2024-10-25/1729850545_432948.pdf,,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE018_920111.txt,已有页码化解析文本,A-官方URL+页码化文本,180,,1,备案:1,北交所优先扩样,直接从页码化文本定位历史沿革、股本形成和股东情况章节。
