candidate_id,stock_code,company_short,event_code,event_type,source_page,matched_term,term_hit_count,date_text,amount_text,shares_text,ratio_text,investor_candidate_count,confidence,auto_status,exclusion_reason,evidence_excerpt,source_url,local_text_file,gold_final_value,review_note
W13-920123-001,920123,芭薇股份,capital_increase,增资认缴,57,定向发行,5,2018 年 1 月 9 日,,,8%,0,中,保留为Auto候选,,1-1-56 （二）特殊投资约定等可能导致股权结构变化的事项 1、2018 年第一次股票定向发行中涉及的特殊投资条款 （1）特殊投资条款情况 2018 年 1 月 9 日，冷群英、刘瑞学、冷智刚（合称为“乙方”/“回购方”）与杭 州叩问、南海同赢、卢跃华（合称为“甲方”）签署了《广东芭薇生物科技股份有限公 司股票认购协议之补充协议》（以下简称“《补充协议》”），涉及股份回购等特殊投资条 款的主要内容如下： 条款编号 条款具体内容 4.1 上市承诺 若公司未能在 2022 年 12 月 31 日前在中国境内完成首次公开发行股票并上 市，甲方有权行使售股权。 4.3 回购安排 甲方行使售股权而应收取的回购价=甲方缴付的增资价款×（1+8%× T）-M。 T 为交割日始至甲方收妥全部回购价款项之日止的连续期间的具体公历日天数 除以固定数额 365 所得出之累计年份数，不足一年的按时间比例计算。 M 为自交割日始至甲方收妥全部回购价款之日止的连续期间内，甲方实际收到 的因本次增资拥有的股份而收到的任何现金收益。 （2）特殊投资条款的执行及解除情况 因公司 2022 年 12 月 31 日前未实现公开发行上市，触发了上市回购义务，杭州叩 问、南海同赢向乙方主张回购（卢跃华未曾主张回购方对其所持有的公司,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-002,920123,芭薇股份,capital_increase,增资认缴,58,认购,3,2021 年 10 月 25 日,,,8%,0,中,保留为Auto候选,,1-1-57 权利条款等）均自始无效，不存在其他已触发但尚未履行的条款（包括但不限于对赌 条款、回购条款、甲方特别权利条款等） 。各方对于《股票认购协议书》 《补充协议》 的履行、终止，不存在争议、纠纷或潜在纠纷。除《股票认购协议书》 《补充协议》及 解除协议外，各方就目标公司股份未达成其他任何特殊权利义务的安排及约定。 上述回购事宜未对公司控制权及经营稳定性产生重大不利影响，现 特殊投资条款 已终止，不存在任何现实或潜在的纠纷或争议，不会因此给公司造成不良影响。 2、2021 年第二次股票定向发行中涉及的特殊投资条款 （1）与云美产投签订的补充协议涉及的特殊投资条款 1）特殊投资条款情况 2021 年 10 月 25 日，冷群英、刘瑞学（合称为“乙方”）与云美产投（简称“甲 方”）签署了《关于 <广东芭薇生物科技股份有限公司 >之补充协议》 （以下简称 “《补充协议》”） ，涉及股份回购等特殊投资条款的主要内容如下： 条款编号 条款具体内容 第一条项目退出 乙方承诺公司在 2025 年 12 月 31 日前完成 IPO 合格上市，如未在 前述时间实现合格 IPO 或出现其他回购情形，甲方有权要求乙方回 购甲方持有公司的股份并支付完毕所有回购款项，回购价格按照甲 方实际投资总额与年化 8%（单利）的投资收益率计算之和扣除甲 方投资期间甲方所得的分红收,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-003,920123,芭薇股份,capital_increase,增资认缴,36,定向发行,16,2021 年 7 月 7 日,"3,855,957.00 元","1,285,319 股",,1,高,保留为Auto候选,,"1-1-35 2021 年 7 月 7 日，芭薇股份收到中国证监会核发的《关于核准广东芭薇生物科技 股份有限公司定向发行股票的批复》（证监许可〔2021〕2323 号），核准公司定向发行 不超过 1,285,319 股新股。 2021 年 7 月 19 日，天职国际会计师事务所（特殊普通合伙）出具《验资报告》 （天职业字[2021]36397 号） ，经审验，截至2021 年 7 月 18 日，公司已收到定向发行 对象芭薇有限合伙缴纳的股权认购款 3,855,957.00 元，其中计入注册资本（股本）合 计人民币 1,285,319.00 元，计入资本公积合计人民币 2,570,638.00 元。此次变更后，公 司注册资本为 66,645,319.00 元，实收资本为 66,645,319.00 元。 2021 年 8 月 9 日，芭薇股份披露《股票定向发行情况报告书》及《股票定向发行 新增股份在全国股份转让系统挂牌并公开转让的公告》 ，公司2021 年第一次股票定向 发行对象为芭薇有限合伙 1 名，实际认购数量 1,285,319 股，发行价格为 3.00 元/股， 本次定向发行新增股份于 2021 年 8 月 12 日起在全国中小企业股份转让系统挂牌并公 开转让。 3、2022 年 1 月，向 3 名特定对象发行股票并增资至",https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-004,920123,芭薇股份,capital_increase,增资认缴,37,认购,14,2021 年 11 月 19 日,"2,652.4155 万元",,,0,中,保留为Auto候选,,"日，芭薇股份与联明投资、锦盛新材、冷群英、刘瑞学签署了 《广东芭薇生物科技股份有限公司之投资协议》 ，同日，联明投资、锦盛新材与冷群 英、刘瑞学签署了《<广东芭薇生物科技股份有限公司之投资协议 >之补充协议》 。 《广 东芭薇生物科技股份有限公司之投资协议》约定联明投资以 2,652.4155 万元认购芭薇 股份新增人民币 252.6110 万元注册资本、锦盛新材以人民币 300 万元认购芭薇股份新 增人民币 28.5714 万元注册资本，并约定了本次增资的先决条件、增资完成日、税费 承担、融资用途、过渡期安排等事项，协议自本次增资事宜获得公司董事会及股东大 会批准、取得全国中小企业股份转让系统关于本次增资发行股票的无异议函及取得中 国证监会核准批复文件等全部条件满足后生效。 《<广东芭薇生物科技股份有限公司之 投资协议>之补充协议》约定了项目退出、优先购买权和共同出售权、差额补偿承诺、 现金补偿承诺、股权转让限制、首次公开发行股票之便利等事项，补充协议自各方签 章后成立，与《广东芭薇生物科技股份有限公司之投资协议》同时生效。 2021 年 11 月 19 日，芭薇股份收到了全国股转公司出具的《关于广东芭薇生物科 技股份有限公司定向发行自律监管意见的函》 （股转系统函〔2021〕3798 号），全国股 转公司对芭薇股份本次股票定向发行无异议。 2021 年 12 月 22 日，芭薇股份收到中国证监会核发的《关于核准广东芭薇生物科 技股份有限公司定向发行股票的批复》（证监许可〔2021〕4022 号），核准公司定向发",https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-005,920123,芭薇股份,capital_increase,增资认缴,35,认购,7,2021 年 6 月 7 日,"1,248.00 万元",416 万股,,1,高,保留为Auto候选,,"股价格授予陈彪 416 万股限制性股票，协议书约定了限售及解除 限售安排、考核安排等事项。 2021 年 6 月 7 日，天职国际会计师事务所（特殊普通合伙）出具《验资报告》 （天职业字[2021]32771 号） ，经审验，截至2021 年 6 月 1 日，公司已收到激励对象陈 彪缴纳的股权激励认购款 1,248.00 万元，其中计入注册资本（股本）合计人民币 416.00 万元，计入资本公积合计人民币 832.00 万元。此次变更后，公司注册资本为 6,536.00 万元，实收资本为 6,536.00 万元。 2021 年 7 月 12 日，芭薇股份披露《股权激励计划限制性股票授予结果公告》 ，公 司 2021 年股权激励计划限制性股票实际授予陈彪 1 人，实际授予 416 万股限制性股 票，授予价格为 3.00 元/股，授予日为 2021 年 5 月 10 日，登记日为 2021 年 7 月 9 日，新增股份挂牌日为 2021 年 7 月 9 日。 2、2021 年 8 月，向 1 名特定对象发行股票并增资至 6,664.5319 万元 2021 年 4 月 19 日，芭薇股份与芭薇有限合伙签署了《附生效条件的股票发行认 购协议书》 ，约定芭薇有限合伙以 3 元/股价格现金认购芭薇股份本次发行的不超过 1,285,319 股股票，协议书约定了认购方式、本次发行的备案与登记、股东权利等事 项。 芭薇有限合伙系员工持股计划的持股平台，有 13名合伙人，均为已与公司签订劳 动合同的员工。 2021 年 5",https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-006,920123,芭薇股份,capital_increase,增资认缴,59,增资,6,,,,8%,0,低,保留为Auto候选,,出现“清算事件”）、转移核心资产或控制 权变更，在股东可分配财产或转让价款总额中，乙方保证甲方获得 其累计实际投资款以及交割日后已累积的红利、已宣布但尚未支付 的红利，如公司分配给甲方的剩余资产不足投资款和投资款实际投 资期年化 8%的收益之和，差额部分由乙方进行补偿。 第四条现金补偿承诺 本次增资完成后，在首次公开发行股票并上市前，若公司发行任何 新股（或可转换为股权的证券票据）或进行任何形式的增资，且该 等新股或增资的单价（新股价格）低于甲方本次投资的单价，则作 为一项反稀释保护措施，甲方有权要求乙方承担反稀释义务，对甲 方进行现金差额补偿，按照本次增资甲方的认购价格与后续增资或 者转让的投资单价差额乘以甲方持有的公司股份。 第五条股权转让限制 未经甲方书面同意，乙方不得向除甲方以外的其他股东及任何公司 股东以外的第三方转让所持有的公司股份，包括但不限于赠与信托 或其它任何方式，对其所持有的公司股份进行处置或在其上设置第 三人权利等。 第六条首次公开发行股票 之便利 为便利未来公司首次公开发行股票并上市，在公司向中国证监会或 证券交易所申报资料之日起，甲方同意根据届时公司上市申报时审 查的要求签署相关补充协议，终止本补充协议项下不满足上市明确 审查要求的相应特殊股东权利条款。并且按届时公司相关中介机构 的合法要求签署申报（首次公开发行股票）所需相关文件及承诺、 说明。如果公司首次公开发行股票并上市的申请被撤回或主动撤 回、不予受理、中止或终止审查、失效或否决的，届时被解除的特 殊条款则重新自动生效，其重,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-007,920123,芭薇股份,capital_increase,增资认缴,61,增资,6,,,,8%,0,低,保留为Auto候选,,出现“清算事件”）、转移核心资产或控制 权变更，在股东可分配财产或转让价款总额中，乙方保证甲方获得 其累计实际投资款以及交割日后已累积的红利、已宣布但尚未支付 的红利，如公司分配给甲方的剩余资产不足投资款和投资款实际投 资期年化 8%的收益之和，差额部分由乙方进行补偿。 第四条现金补偿承诺 本次增资完成后，在首次公开发行股票并上市前，若公司发行任何 新股（或可转换为股权的证券票据）或进行任何形式的增资，且该 等新股或增资的单价（新股价格）低于甲方本次投资的单价，则作 为一项反稀释保护措施，甲方有权要求乙方承担反稀释义务，对甲 方进行现金差额补偿，按照本次增资甲方的认购价格与后续增资或 者转让的投资单价差额乘以甲方持有的标的公司股份。 第五条股权转让限制 未经甲方书面同意，乙方不得向除甲方以外的其他股东及任何公司 股东以外的第三方转让所持有的公司股份，包括但不限于赠与信托 或其它任何方式，对其所持有的公司股份进行处置或在其上设置第 三人权利等。 第六条首次公开发行股票 之便利 为便利未来公司首次公开发行股票并上市，在公司向中国证监会或 证券交易所申报资料之日起，甲方同意根据届时公司上市申报时审 查的要求签署相关补充协议，终止本补充协议项下不满足上市明确 审查要求的相应特殊股东权利条款。并且按届时公司相关中介机构 的合法要求签署申报（首次公开发行股票）所需相关文件及承诺、 说明。如果公司首次公开发行股票并上市的申请被撤回或主动撤 回、不予受理、中止或终止审查、失效或否决的，届时被解除的特 殊条款则重新自动生效，,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-008,920123,芭薇股份,capital_increase,增资认缴,33,定向发行,1,2023 年 8 月 10 日,,,,0,中,保留为Auto候选,,"有的部分公司股 份进行质押的事项，对芭薇股份、实际控制人冷群英、董事会秘书单楠采取口头警示 的自律监管措施。 2023 年 8 月 10 日，全国股转公司下达《关于对广东芭薇生物科技股份有限公司 相关责任主体采取自律监管措施的决定》 （股转融资并购函[2023]7 号）,因公司 2018 年第一次定向发行时，对股份回购等特殊投资条款未履行相关信息披露的义务，对实 际控制人冷群英、实际控制人刘瑞学、董事冷智刚采取警示函的自律监管措施。 公司及相关责任主体被全国股转公司采取的自律监管措施不属于行政处罚，不构 成重大违法违规，不会导致发行人不满足北交所发行上市的条件。 （四） 终止挂牌情况 □适用 √不适用 （五） 主办券商及其变动情况 2016 年 5 月 13 日，经华创证券有限责任公司推荐，公司获准在全国股转系统挂 牌，华创证券有限责任公司担任公司主办券商并履行持续督导义务。 2022 年 2 月 28 日，全国股转公司出具《关于对主办券商和挂牌公司协商一致解 除持续督导协议无异议的函》 ，公司主办券商由华创证券有限责任公司变更为万联证券 股份有限公司。 截至本招股说明书签署日，公司的主办券商为万联证券。 （六） 报告期内年报审计机构及其变动情况 报告期内，公司的年报审计机构均为天职国际会计师事务所（特殊普通合伙） ，未 发生变动。",https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-009,920123,芭薇股份,equity_transfer,股权转让,57,股份回购,6,2018 年 1 月 9 日,,,8%,0,中,保留为Auto候选,,8 年第一次股票定向发行中涉及的特殊投资条款 （1）特殊投资条款情况 2018 年 1 月 9 日，冷群英、刘瑞学、冷智刚（合称为“乙方”/“回购方”）与杭 州叩问、南海同赢、卢跃华（合称为“甲方”）签署了《广东芭薇生物科技股份有限公 司股票认购协议之补充协议》（以下简称“《补充协议》”），涉及股份回购等特殊投资条 款的主要内容如下： 条款编号 条款具体内容 4.1 上市承诺 若公司未能在 2022 年 12 月 31 日前在中国境内完成首次公开发行股票并上 市，甲方有权行使售股权。 4.3 回购安排 甲方行使售股权而应收取的回购价=甲方缴付的增资价款×（1+8%× T）-M。 T 为交割日始至甲方收妥全部回购价款项之日止的连续期间的具体公历日天数 除以固定数额 365 所得出之累计年份数，不足一年的按时间比例计算。 M 为自交割日始至甲方收妥全部回购价款之日止的连续期间内，甲方实际收到 的因本次增资拥有的股份而收到的任何现金收益。 （2）特殊投资条款的执行及解除情况 因公司 2022 年 12 月 31 日前未实现公开发行上市，触发了上市回购义务，杭州叩 问、南海同赢向乙方主张回购（卢跃华未曾主张回购方对其所持有的公司股份进行回 购，并已自行根据全国中小企业股份转让系统股票交易规则将其所持公司股份全部对 外转让，卢跃华及其此前所持股份的受让方不存在再与回购方签署含有特殊投资条款 的其他协议的情况，卢跃华及其此前所持股份所享有的特殊投资条款权利已随其股东 资格灭失） 。 杭州叩问、南海同赢主张回购,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
W13-920123-010,920123,芭薇股份,equity_transfer,股权转让,58,股份回购,13,2021 年 10 月 25 日,,,8%,0,中,保留为Auto候选,,向发行中涉及的特殊投资条款 （1）与云美产投签订的补充协议涉及的特殊投资条款 1）特殊投资条款情况 2021 年 10 月 25 日，冷群英、刘瑞学（合称为“乙方”）与云美产投（简称“甲 方”）签署了《关于 <广东芭薇生物科技股份有限公司 >之补充协议》 （以下简称 “《补充协议》”） ，涉及股份回购等特殊投资条款的主要内容如下： 条款编号 条款具体内容 第一条项目退出 乙方承诺公司在 2025 年 12 月 31 日前完成 IPO 合格上市，如未在 前述时间实现合格 IPO 或出现其他回购情形，甲方有权要求乙方回 购甲方持有公司的股份并支付完毕所有回购款项，回购价格按照甲 方实际投资总额与年化 8%（单利）的投资收益率计算之和扣除甲 方投资期间甲方所得的分红收益计算。 第二条优先购买权和共同 出售权 2.1 若甲方同意乙方向第三方出售其持有的全部或部分公司股份， 则应首先由甲方自行选择采取以和拟受让方同等的条件，优先购买 乙方拟出售的全部或部分该等股份；或以同等条件优先向拟受让人 出售甲方持有的全部或部分股份；或按照《补充协议》第一条约定 将其所持的全部或部分公司股份转让给拟受让方或者乙方。 2.2 乙方应尽一切努力确保甲方实现第 2.1 条所约定的权利，否则， 乙方不得向前述拟受让方转让股份。若甲方要求向拟受让方转让持 有目标公司的股份，但第三方拒绝受让的，则甲方有权要求乙方按 其向第三方的转让条件与第一条约定的回购价格孰高原则购买甲方 本次拟转让的股份。如果乙方在出售其股份后，丧失对目标公司的,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,data/source_texts/920123_W3-2024-BSE008_920123.txt,,待人工回原文页确认
