stock_code,company_short,chapter_group,located,first_page,top_pages,matched_terms,hit_pages_count
920123,芭薇股份,历史沿革与股本形成,是,29,29、116,设立以来,2
920123,芭薇股份,股东与股权结构,是,5,50、5、39、49、70、73,股东情况、主要股东、前十名股东、持股比例、股权结构,11
920123,芭薇股份,特殊投资条款,是,33,57、58、60、61、59、62,特殊投资条款、特殊投资约定、对赌、回购安排、反稀释,7
920123,芭薇股份,基金与备案,是,11,47、44、45、48、11、68,私募投资基金、基金备案、创业投资、股权投资基金,6
920575,*ST康乐,历史沿革与股本形成,是,9,9、49、61、64、95,设立以来、历史沿革,5
920575,*ST康乐,股东与股权结构,是,10,59、71、56、60、66、67,股东情况、股权结构、主要股东、持股比例,18
920575,*ST康乐,特殊投资条款,是,109,109,特殊投资条款、特殊投资约定,1
920575,*ST康乐,基金与备案,是,13,114、122、13、92、118、123,创业投资、股权投资基金,6
920719,宁新新材,历史沿革与股本形成,是,16,97、16、24、96、98、171,设立以来,6
920719,宁新新材,股东与股权结构,是,5,63、89、53、62、64、176,股东情况、主要股东、前十名股东、持股比例、股权结构,11
920719,宁新新材,特殊投资条款,是,64,64,特殊投资约定,1
920719,宁新新材,基金与备案,是,11,40、41、57、59、11、58,创业投资、基金业协会、股权投资基金、私募投资基金、基金备案,12
920522,纳科诺尔,历史沿革与股本形成,是,58,58、109、110,设立以来,3
920522,纳科诺尔,股东与股权结构,是,8,41、34、42、39、113、40,股权结构、持股比例、股东情况、主要股东、前十名股东,12
920522,纳科诺尔,特殊投资条款,是,44,44,对赌、回购安排、反稀释,1
920522,纳科诺尔,基金与备案,是,35,35、36、49,基金业协会、创业投资、股权投资基金,3
920099,瑞华技术,历史沿革与股本形成,是,105,105、148,设立以来,2
920099,瑞华技术,股东与股权结构,是,5,41、37、36、45、70、5,股东情况、主要股东、前十名股东、持股比例、股权结构,13
920099,瑞华技术,特殊投资条款,是,42,44、42、45,对赌,3
920099,瑞华技术,基金与备案,是,12,38、40、39、37、12、50,基金备案、基金业协会、创业投资、股权投资基金,7
920118,太湖远大,历史沿革与股本形成,是,83,83、145、146、147,设立以来,4
920118,太湖远大,股东与股权结构,是,5,37、36、39、41、42、35,股权结构、持股比例、主要股东、股东情况、前十名股东,12
920118,太湖远大,特殊投资条款,是,42,42、43,特殊投资条款,2
920118,太湖远大,基金与备案,是,11,150、37、11、151、38、49,创业投资、基金业协会,11
920249,利尔达,历史沿革与股本形成,是,72,134、72、86、163,历史沿革、设立以来,4
920249,利尔达,股东与股权结构,是,5,68、71、61、66、67、70,股权结构、持股比例、股东情况、前十名股东,19
920249,利尔达,特殊投资条款,是,85,85、88、86、87、89,特殊投资约定、对赌,5
920249,利尔达,基金与备案,是,101,101,创业投资,1
920438,戈碧迦,历史沿革与股本形成,是,108,108,设立以来,1
920438,戈碧迦,股东与股权结构,是,41,48、56、41、43、49、50,股权结构、持股比例、主要股东,16
920438,戈碧迦,特殊投资条款,是,57,57,特殊投资约定,1
920438,戈碧迦,基金与备案,是,13,45、13、55、66、71、43,创业投资、股权投资基金,10
920016,中草香料,历史沿革与股本形成,是,19,107、80、19、20、76、84,设立以来,9
920016,中草香料,股东与股权结构,是,5,35、33、38、5、34、37,股东情况、主要股东、前十名股东、持股比例、股权结构,12
920016,中草香料,特殊投资条款,是,38,38、46,特殊投资条款、特殊投资约定、对赌,2
920016,中草香料,基金与备案,是,10,49、16、42、10、36、46,股权投资基金、创业投资,6
920304,迪尔化工,历史沿革与股本形成,是,59,59、112,历史沿革、设立以来,2
920304,迪尔化工,股东与股权结构,是,12,28、31、29、35、126、12,股东情况、股权结构、持股比例、主要股东,18
920304,迪尔化工,特殊投资条款,是,46,46、47,对赌,2
920304,迪尔化工,基金与备案,否,,,,0
920008,成电光信,历史沿革与股本形成,是,6,6、20、23、73、74、84,设立以来,7
920008,成电光信,股东与股权结构,是,5,40、37、33、35、137、146,股权结构、主要股东、持股比例、股东情况、前十名股东,16
920008,成电光信,特殊投资条款,是,40,40、41,特殊投资约定、对赌、反稀释,2
920008,成电光信,基金与备案,是,12,12、40、45、70,创业投资,4
920950,迅安科技,历史沿革与股本形成,是,107,107,设立以来,1
920950,迅安科技,股东与股权结构,是,5,42、38、15、39、43、46,股东情况、前十名股东、持股比例、股权结构、主要股东,15
920950,迅安科技,特殊投资条款,是,43,43、44,特殊投资约定,2
920950,迅安科技,基金与备案,是,19,19、41,创业投资、股权投资基金、私募投资基金、基金备案,2
