stock_code,company_short,page_count,chapter_groups_located,retained_auto_candidates,excluded_transfer_boilerplate,investor_name_candidates,high_confidence_candidates,processing_status
920123,芭薇股份,180,4,28,2,14,5,Auto定位完成，进入人工Gold复核队列
920575,*ST康乐,180,4,26,2,4,1,Auto定位完成，进入人工Gold复核队列
920719,宁新新材,180,4,22,4,7,4,Auto定位完成，进入人工Gold复核队列
920522,纳科诺尔,180,4,25,1,7,3,Auto定位完成，进入人工Gold复核队列
920099,瑞华技术,180,4,19,2,19,3,Auto定位完成，进入人工Gold复核队列
920118,太湖远大,180,4,21,3,19,4,Auto定位完成，进入人工Gold复核队列
920249,利尔达,180,4,30,0,4,1,Auto定位完成，进入人工Gold复核队列
920438,戈碧迦,180,4,17,2,11,2,Auto定位完成，进入人工Gold复核队列
920016,中草香料,180,4,28,2,23,7,Auto定位完成，进入人工Gold复核队列
920304,迪尔化工,180,3,23,3,9,1,Auto定位完成，进入人工Gold复核队列
920008,成电光信,180,4,17,1,6,2,Auto定位完成，进入人工Gold复核队列
920950,迅安科技,180,4,19,4,2,0,Auto定位完成，进入人工Gold复核队列
