entity_id,candidate_id,stock_code,company_short,investor_name_candidate,investor_type_candidate,is_pevc_candidate,classification_basis,source_page,final_investor_type,manual_review_status
W13-920123-003-I001,W13-920123-003,920123,芭薇股份,芭薇有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,,待人工确认
W13-920123-005-I002,W13-920123-005,920123,芭薇股份,芭薇有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,35,,待人工确认
W13-920123-011-I003,W13-920123-011,920123,芭薇股份,芭薇有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,,待人工确认
W13-920123-020-I004,W13-920123-020,920123,芭薇股份,股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,47,,待人工确认
W13-920123-020-I005,W13-920123-020,920123,芭薇股份,深圳南海成长同盛股权投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,47,,待人工确认
W13-920123-020-I006,W13-920123-020,920123,芭薇股份,工银（深圳）股权投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,47,,待人工确认
W13-920123-021-I007,W13-920123-021,920123,芭薇股份,广州市白云投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,44,,待人工确认
W13-920123-021-I008,W13-920123-021,920123,芭薇股份,股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,44,,待人工确认
W13-920123-021-I009,W13-920123-021,920123,芭薇股份,杭州叩问股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,44,,待人工确认
W13-920123-022-I010,W13-920123-022,920123,芭薇股份,股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,45,,待人工确认
W13-920123-022-I011,W13-920123-022,920123,芭薇股份,安义同创宏图创业投资,VC,yes,名称或上下文明确出现创业投资/创投,45,,待人工确认
W13-920123-022-I012,W13-920123-022,920123,芭薇股份,共青城黑石投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,45,,待人工确认
W13-920123-022-I013,W13-920123-022,920123,芭薇股份,浙江余杭转型升级产业投资,CVC候选,uncertain,产业投资名称只能形成CVC候选，仍需核验出资人与主营关系,45,,待人工确认
W13-920123-022-I014,W13-920123-022,920123,芭薇股份,新余同创佳华投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,45,,待人工确认
W13-920575-002-I001,W13-920575-002,920575,*ST康乐,深创投,VC,yes,名称或上下文明确出现创业投资/创投,93,,待人工确认
W13-920575-010-I002,W13-920575-010,920575,*ST康乐,深创投,VC,yes,名称或上下文明确出现创业投资/创投,93,,待人工确认
W13-920575-014-I003,W13-920575-014,920575,*ST康乐,深创投,VC,yes,名称或上下文明确出现创业投资/创投,95,,待人工确认
W13-920575-024-I004,W13-920575-024,920575,*ST康乐,北京江林威华生物技术合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,117,,待人工确认
W13-920719-003-I001,W13-920719-003,920719,宁新新材,厦门冠亚肆号投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,21,,待人工确认
W13-920719-003-I002,W13-920719-003,920719,宁新新材,嘉兴金长川贰号股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,21,,待人工确认
W13-920719-006-I003,W13-920719-006,920719,宁新新材,霍尔果斯市易道创业投资,VC,yes,名称或上下文明确出现创业投资/创投,179,,待人工确认
W13-920719-014-I004,W13-920719-014,920719,宁新新材,霍尔果斯市易道创业投资,VC,yes,名称或上下文明确出现创业投资/创投,179,,待人工确认
W13-920719-020-I005,W13-920719-020,920719,宁新新材,北京简道创投,VC,yes,名称或上下文明确出现创业投资/创投,41,,待人工确认
W13-920719-020-I006,W13-920719-020,920719,宁新新材,北京华清坤德投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,41,,待人工确认
W13-920719-021-I007,W13-920719-021,920719,宁新新材,简道众创投,VC,yes,名称或上下文明确出现创业投资/创投,59,,待人工确认
W13-920522-021-I001,W13-920522-021,920522,纳科诺尔,京津冀产业协同发展投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,34,,待人工确认
W13-920522-022-I002,W13-920522-022,920522,纳科诺尔,广州产融协同投资发展合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,,待人工确认
W13-920522-022-I003,W13-920522-022,920522,纳科诺尔,广州硕昊投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,,待人工确认
W13-920522-023-I004,W13-920522-023,920522,纳科诺尔,京津冀产业协同发展投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,39,,待人工确认
W13-920522-024-I005,W13-920522-024,920522,纳科诺尔,国投招商投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,35,,待人工确认
W13-920522-025-I006,W13-920522-025,920522,纳科诺尔,北京水木华研投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,,待人工确认
W13-920522-025-I007,W13-920522-025,920522,纳科诺尔,国投招商投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,,待人工确认
W13-920099-002-I001,W13-920099-002,920099,瑞华技术,中小企业发展基金（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,35,,待人工确认
W13-920099-006-I002,W13-920099-006,920099,瑞华技术,南京毅达资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,42,,待人工确认
W13-920099-007-I003,W13-920099-007,920099,瑞华技术,现代创投,VC,yes,名称或上下文明确出现创业投资/创投,62,,待人工确认
W13-920099-007-I004,W13-920099-007,920099,瑞华技术,毅达创投,VC,yes,名称或上下文明确出现创业投资/创投,62,,待人工确认
W13-920099-011-I005,W13-920099-011,920099,瑞华技术,江苏毅达成果创新创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920099-011-I006,W13-920099-011,920099,瑞华技术,江苏中小企业发展基金（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,,待人工确认
W13-920099-011-I007,W13-920099-011,920099,瑞华技术,江苏省现代服务业发展创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920099-011-I008,W13-920099-011,920099,瑞华技术,毅达创投,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920099-011-I009,W13-920099-011,920099,瑞华技术,现代创投,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920099-011-I010,W13-920099-011,920099,瑞华技术,理人由南京毅达资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,,待人工确认
W13-920099-012-I011,W13-920099-012,920099,瑞华技术,毅达创投,VC,yes,名称或上下文明确出现创业投资/创投,41,,待人工确认
W13-920099-012-I012,W13-920099-012,920099,瑞华技术,现代创投,VC,yes,名称或上下文明确出现创业投资/创投,41,,待人工确认
W13-920099-016-I013,W13-920099-016,920099,瑞华技术,毅达创投,VC,yes,名称或上下文明确出现创业投资/创投,38,,待人工确认
W13-920099-016-I014,W13-920099-016,920099,瑞华技术,江苏省现代服务业发展创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,38,,待人工确认
W13-920099-017-I015,W13-920099-017,920099,瑞华技术,江苏省政府投资基金,政府基金/国资,yes,名称或上下文出现政府基金、引导基金或国资线索,40,,待人工确认
W13-920099-018-I016,W13-920099-018,920099,瑞华技术,现代创投,VC,yes,名称或上下文明确出现创业投资/创投,39,,待人工确认
W13-920099-020-I017,W13-920099-020,920099,瑞华技术,毅达创投,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920099-020-I018,W13-920099-020,920099,瑞华技术,现代创投,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920099-020-I019,W13-920099-020,920099,瑞华技术,南京毅达资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,42,,待人工确认
W13-920118-001-I001,W13-920118-001,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920118-006-I002,W13-920118-006,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920118-007-I003,W13-920118-007,920118,太湖远大,创业投资合伙企业（有限合伙,VC,yes,名称或上下文明确出现创业投资/创投,11,,待人工确认
W13-920118-009-I004,W13-920118-009,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,43,,待人工确认
W13-920118-014-I005,W13-920118-014,920118,太湖远大,南京成贤一期创业投资,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920118-014-I006,W13-920118-014,920118,太湖远大,英豪（海南）创业投资,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920118-015-I007,W13-920118-015,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,38,,待人工确认
W13-920118-016-I008,W13-920118-016,920118,太湖远大,南京凯路一期股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,36,,待人工确认
W13-920118-016-I009,W13-920118-016,920118,太湖远大,江苏鑫泽创业投资,VC,yes,名称或上下文明确出现创业投资/创投,36,,待人工确认
W13-920118-016-I010,W13-920118-016,920118,太湖远大,以私募基金从事股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,36,,待人工确认
W13-920118-018-I011,W13-920118-018,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,39,,待人工确认
W13-920118-018-I012,W13-920118-018,920118,太湖远大,湖州博创投,VC,yes,名称或上下文明确出现创业投资/创投,39,,待人工确认
W13-920118-018-I013,W13-920118-018,920118,太湖远大,资管理中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,39,,待人工确认
W13-920118-018-I014,W13-920118-018,920118,太湖远大,认缴资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,39,,待人工确认
W13-920118-018-I015,W13-920118-018,920118,太湖远大,实缴资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,39,,待人工确认
W13-920118-022-I016,W13-920118-022,920118,太湖远大,认缴资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,,待人工确认
W13-920118-022-I017,W13-920118-022,920118,太湖远大,实缴资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,,待人工确认
W13-920118-022-I018,W13-920118-022,920118,太湖远大,江苏鑫泽创业投资,VC,yes,名称或上下文明确出现创业投资/创投,37,,待人工确认
W13-920118-023-I019,W13-920118-023,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920249-006-I001,W13-920249-006,920249,利尔达,而设立的有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,84,,待人工确认
W13-920249-006-I002,W13-920249-006,920249,利尔达,实施员工持股计划而设立的有限合伙,员工持股平台,no,名称或上下文明确出现员工持股/持股平台,84,,待人工确认
W13-920249-008-I003,W13-920249-008,920249,利尔达,而设立的有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,70,,待人工确认
W13-920249-019-I004,W13-920249-019,920249,利尔达,应充分了解资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,5,,待人工确认
W13-920438-010-I001,W13-920438-010,920438,戈碧迦,设立创业投资,VC,yes,名称或上下文明确出现创业投资/创投,45,,待人工确认
W13-920438-010-I002,W13-920438-010,920438,戈碧迦,企业投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,45,,待人工确认
W13-920438-010-I003,W13-920438-010,920438,戈碧迦,武汉潜龙创业投资,VC,yes,名称或上下文明确出现创业投资/创投,45,,待人工确认
W13-920438-011-I004,W13-920438-011,920438,戈碧迦,武汉潜龙创业投资,VC,yes,名称或上下文明确出现创业投资/创投,55,,待人工确认
W13-920438-011-I005,W13-920438-011,920438,戈碧迦,深圳市西博光学材料创投,VC,yes,名称或上下文明确出现创业投资/创投,55,,待人工确认
W13-920438-011-I006,W13-920438-011,920438,戈碧迦,上海怀德投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,55,,待人工确认
W13-920438-012-I007,W13-920438-012,920438,戈碧迦,秭归桐碧迦企业管理咨询中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,43,,待人工确认
W13-920438-012-I008,W13-920438-012,920438,戈碧迦,武汉潜龙创业投资,VC,yes,名称或上下文明确出现创业投资/创投,43,,待人工确认
W13-920438-013-I009,W13-920438-013,920438,戈碧迦,秭归桐碧迦企业管理咨询中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,44,,待人工确认
W13-920438-014-I010,W13-920438-014,920438,戈碧迦,秭归弘毅企业管理咨询中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,47,,待人工确认
W13-920438-015-I011,W13-920438-015,920438,戈碧迦,秭归弘毅企业管理咨询中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,48,,待人工确认
W13-920016-001-I001,W13-920016-001,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,38,,待人工确认
W13-920016-003-I002,W13-920016-003,920016,中草香料,铜陵高投毅达专精特新创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920016-006-I003,W13-920016-006,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,46,,待人工确认
W13-920016-006-I004,W13-920016-006,920016,中草香料,铜陵高投毅达专精特新创业投资,VC,yes,名称或上下文明确出现创业投资/创投,46,,待人工确认
W13-920016-007-I005,W13-920016-007,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920016-010-I006,W13-920016-010,920016,中草香料,甲方有权优于乙方获得其全部投资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,42,,待人工确认
W13-920016-010-I007,W13-920016-010,920016,中草香料,在甲方获得投资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,42,,待人工确认
W13-920016-010-I008,W13-920016-010,920016,中草香料,铜陵高投毅达专精特新创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920016-012-I009,W13-920016-012,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,46,,待人工确认
W13-920016-012-I010,W13-920016-012,920016,中草香料,铜陵高投毅达专精特新创业投资,VC,yes,名称或上下文明确出现创业投资/创投,46,,待人工确认
W13-920016-014-I011,W13-920016-014,920016,中草香料,甲方有权优于乙方获得其全部投资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,40,,待人工确认
W13-920016-014-I012,W13-920016-014,920016,中草香料,在甲方获得投资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,40,,待人工确认
W13-920016-014-I013,W13-920016-014,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920016-018-I014,W13-920016-018,920016,中草香料,安徽省创业投资,VC,yes,名称或上下文明确出现创业投资/创投,36,,待人工确认
W13-920016-018-I015,W13-920016-018,920016,中草香料,怀远亿达康企业管理咨询合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,,待人工确认
W13-920016-025-I016,W13-920016-025,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,38,,待人工确认
W13-920016-025-I017,W13-920016-025,920016,中草香料,资基金合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,38,,待人工确认
W13-920016-026-I018,W13-920016-026,920016,中草香料,在甲方获得投资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,42,,待人工确认
W13-920016-026-I019,W13-920016-026,920016,中草香料,铜陵高投毅达专精特新创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,42,,待人工确认
W13-920016-027-I020,W13-920016-027,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,46,,待人工确认
W13-920016-027-I021,W13-920016-027,920016,中草香料,铜陵高投毅达专精特新创业投资,VC,yes,名称或上下文明确出现创业投资/创投,46,,待人工确认
W13-920016-028-I022,W13-920016-028,920016,中草香料,在甲方获得投资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,40,,待人工确认
W13-920016-028-I023,W13-920016-028,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920304-004-I001,W13-920304-004,920304,迪尔化工,盈余公积转增资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,147,,待人工确认
W13-920304-005-I002,W13-920304-005,920304,迪尔化工,盈余公积转增资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,148,,待人工确认
W13-920304-006-I003,W13-920304-006,920304,迪尔化工,盈余公积转增资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,150,,待人工确认
W13-920304-007-I004,W13-920304-007,920304,迪尔化工,盈余公积转增资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,151,,待人工确认
W13-920304-008-I005,W13-920304-008,920304,迪尔化工,盈余公积转增资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,152,,待人工确认
W13-920304-020-I006,W13-920304-020,920304,迪尔化工,泰安市道和投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,31,,待人工确认
W13-920304-020-I007,W13-920304-020,920304,迪尔化工,济南泽惠股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,31,,待人工确认
W13-920304-020-I008,W13-920304-020,920304,迪尔化工,泰安市众城企业管理咨询合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,31,,待人工确认
W13-920304-023-I009,W13-920304-023,920304,迪尔化工,泰安市华懋投资合伙企业,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,41,,待人工确认
W13-920008-009-I001,W13-920008-009,920008,成电光信,成都高投创业投资,VC,yes,名称或上下文明确出现创业投资/创投,40,,待人工确认
W13-920008-009-I002,W13-920008-009,920008,成电光信,关于成都成电光信科技股份有限公司之股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920008-009-I003,W13-920008-009,920008,成电光信,成都成电光信科技股份有限公司股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920008-017-I004,W13-920008-017,920008,成电光信,成都高投创业投资,VC,yes,名称或上下文明确出现创业投资/创投,40,,待人工确认
W13-920008-017-I005,W13-920008-017,920008,成电光信,关于成都成电光信科技股份有限公司之股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920008-017-I006,W13-920008-017,920008,成电光信,成都成电光信科技股份有限公司股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,40,,待人工确认
W13-920950-019-I001,W13-920950-019,920950,迅安科技,管理私募投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,41,,待人工确认
W13-920950-019-I002,W13-920950-019,920950,迅安科技,中规定的私募投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,41,,待人工确认
