profile_id,stock_code,company_short,investor_name_candidate,investor_type_candidate,is_pevc_candidate,classification_basis,evidence_pages,occurrence_count,manual_review_status,amac_filing_code,gp_name,lp_structure,deep_field_rule
W13IP001,920008,成电光信,成都高投创业投资,VC,yes,名称或上下文明确出现创业投资/创投,40,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP002,920016,中草香料,安徽省创业投资,VC,yes,名称或上下文明确出现创业投资/创投,36,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP003,920016,中草香料,怀远亿达康企业管理咨询合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP004,920016,中草香料,蚌埠市天使投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,38、40、46,8,待人工确认,,,,原文或权威来源未披露时留空
W13IP005,920016,中草香料,铜陵高投毅达专精特新创业投资,VC,yes,名称或上下文明确出现创业投资/创投,46,3,待人工确认,,,,原文或权威来源未披露时留空
W13IP006,920016,中草香料,铜陵高投毅达专精特新创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,42,3,待人工确认,,,,原文或权威来源未披露时留空
W13IP007,920099,瑞华技术,中小企业发展基金（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,35,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP008,920099,瑞华技术,南京毅达资本,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,42,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP009,920099,瑞华技术,毅达创投,VC,yes,名称或上下文明确出现创业投资/创投,37、38、41、42、62,5,待人工确认,,,,原文或权威来源未披露时留空
W13IP010,920099,瑞华技术,江苏中小企业发展基金（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP011,920099,瑞华技术,江苏毅达成果创新创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,37,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP012,920099,瑞华技术,江苏省政府投资基金,政府基金/国资,yes,名称或上下文出现政府基金、引导基金或国资线索,40,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP013,920099,瑞华技术,江苏省现代服务业发展创业投资基金,VC,yes,名称或上下文明确出现创业投资/创投,37、38,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP014,920099,瑞华技术,现代创投,VC,yes,名称或上下文明确出现创业投资/创投,37、39、41、42、62,5,待人工确认,,,,原文或权威来源未披露时留空
W13IP015,920118,太湖远大,南京凯路一期股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,36,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP016,920118,太湖远大,南京成贤一期创业投资,VC,yes,名称或上下文明确出现创业投资/创投,37,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP017,920118,太湖远大,博创投,VC,yes,名称或上下文明确出现创业投资/创投,38、39、42、43,6,待人工确认,,,,原文或权威来源未披露时留空
W13IP018,920118,太湖远大,江苏鑫泽创业投资,VC,yes,名称或上下文明确出现创业投资/创投,36、37,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP019,920118,太湖远大,湖州博创投,VC,yes,名称或上下文明确出现创业投资/创投,39,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP020,920118,太湖远大,英豪（海南）创业投资,VC,yes,名称或上下文明确出现创业投资/创投,37,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP021,920118,太湖远大,资管理中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,39,1,待人工确认,,,,原文或权威来源未披露时留空
