review_id,priority,candidate_id,stock_code,company_short,event_type,source_page,confidence,review_reason,human_decision,corrected_value,reviewer,review_date,evidence_excerpt
W13R001,P1,W13-920008-005,920008,成电光信,股权转让,39,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,1-1-38 电光信有限股权代持解除。 2、挂牌期间的股份代持及清理 公司股票在全国股份转让系统挂牌期间，由于部分被代持人不具备新三板开户资格及出于交易 便利性等原因考虑，被代持人范勤、冯军、黄本川、李莉、刘兴利、瓢莉蓉、乔玉萍、饶茜、王满 霞委托代持人在二级市场购买公司股份。上述股份代持的形成及清理过程如下： 代持人 被代持人 代持形成 时间 代持股数 （万股） 规范日期 规范方式 付丽 饶茜 2021.7.29 7 2023.3.13 付丽通过新三板交易平台将 相 应股份转让给饶茜、 冯军， 并向 饶茜、冯军退还相应资金。 冯军 2021.7.29 4 2023.3.13 李莉 2021.7.29 4 2023.8.7 付丽按指定价格在新三板交易 平台公开对外转让， 相应股份实 际由被代持人自己买入。付丽向 相关人员返还本金及收益。 刘兴利 2021.7.29 8 2023.8.7 瓢莉蓉 2021.7.29 4 2023.8.7 王满霞 2021.7.29 6 2023.8.7 黄本川 2021.7.29 6 2023.8.7 范勤 2021.7.29 5 2023.8.7 付丽按指定价格在新三板交易 平台公开对外转让， 向范勤、 乔 玉萍返还本金及收益。 乔玉萍 2021.7.
W13R002,P1,W13-920008-006,920008,成电光信,股权转让,53,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,持有的发行人全部股份在锁定期满后 24 个月内减持的，减持价格不低于 发行价（如果因派发现金红利、送股、转增股本、增发新股等原因进行除权、除息的，减持底价作 相应调整） 。 六、本人于本次向不特定合格投资者公开发行股票前所持有的公司股票，在股票锁定期满后， 将通过包括但不限于二级市场集中竞价交易、大宗交易方式、协议转让等北京证券交易所认可的合 法方式按照届时的二级市场价格和交易方式确定的价格进行减持。本人如减持发行人股份，将严格 遵守中国证券监督管理委员会、北京证券交易所届时所适用的规则及时、准确地履行报告、预先披 露及信息披露义务。 具有下列情形之一的，本人不减持所持有的发行人股份： （一）发行人或持股 5%以上的股东、实际控制人因涉嫌证券期货违法犯罪，在被中国证监会 立案调查或者被司法机关立案侦查期间，以及在行政处罚决定、刑事判决作出之后未满 6 个月的。 （二）持股 5%以上的股东、实际控制人因违反北京证券交易所规则，被公开谴责未满 3 个月 的。 （三）中国证券监督管理委员会及北京证券交易所规定的其他情形。 七、 本人将严格遵守我国法律、 法规及规范性文件关于上市公司实际控制人、 控股股东、 董事、 监事及高级管理人员持股及股份变动的有关规定，规范、诚信履行相关义务；如我国法律、法规及 规范性文件修订上市公司实际控制人、控股股东、董事、监事及高级管理人员持股及股份变动的有 关规定，本人将及时根据法律、法规及规范性文件规定对上述承诺予以调整。 八、本人因未履行上述承诺而获得收入的，所得收入归发行人所
W13R003,P1,W13-920008-007,920008,成电光信,股权转让,54,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,锁定期满后 2 年内减持的，减持价格不低于发行 价（如果因派发现金红利、送股、转增股本、增发新股等原因进行除权、除息的，须按照北京证券 交易所的有关规定作相应价格调整） 。 五、本人于本次向不特定合格投资者公开发行股票前所持有的公司股票，在股票锁定期满后， 将通过包括但不限于二级市场集中竞价交易、大宗交易方式、协议转让等北京证券交易所认可的合 法方式按照届时的二级市场价格和交易方式确定的价格进行减持。本人如减持发行人股份，将严格 遵守中国证券监督管理委员会、北京证券交易所届时所适用的规则及时、准确地履行报告、预先披 露及信息披露义务。 具有下列情形之一的，本人不减持所持有的发行人股份： （一）因涉嫌证券期货违法犯罪，在被中国证监会及其派出机构立案调查或者被司法机关立案 侦查期间，以及在行政处罚决定、刑事判决作出之后未满 6 个月的； （二）因违反北京证券交易所规则，被北京证券交易所公开谴责未满 3 个月的； （三）中国证监会及本所规定的其他情形。
W13R004,P1,W13-920008-008,920008,成电光信,股权转让,55,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,满后，如本人担任发行人董事、监事或高级管理人员职务，则在任职期间每 年转让的股份不超过本人持有的发行人股份总数的 25%；离职后 6 个月内，不转让本人持有的发行 人股份。 三、本人于本次向不特定合格投资者公开发行股票前所持有的公司股票，在股票锁定期满后， 将通过包括但不限于二级市场集中竞价交易、大宗交易方式、协议转让等北京证券交易所认可的合 法方式按照届时的二级市场价格和交易方式确定的价格进行减持。本人如减持发行人股份，将严格 遵守中国证券监督管理委员会、北京证券交易所届时所适用的规则及时、准确地履行报告、预先披 露及信息披露义务。 具有下列情形之一的，本人不减持所持有的发行人股份： （一）因涉嫌证券期货违法犯罪，在被中国证监会及其派出机构立案调查或者被司法机关立案 侦查期间，以及在行政处罚决定、刑事判决作出之后未满 6 个月的； （二）因违反北京证券交易所规则，被北京证券交易所公开谴责未满 3 个月的； （三）中国证监会及本所规定的其他情形。 四、本人将严格遵守我国法律、法规及规范性文件关于上市公司监事持股及股份变动的有关规 定，规范、诚信履行相关义务；如我国法律、法规及规范性文件修订上市公司监事持股及股份变动 的有关规定，本人将及时根据法律、法规及规范性文件规定对上述承诺予以调整。 五、本人因未履行上述承诺而获得收入的，所得收入归发行人所有，本人将在获得收入的五日 内将前述收入支付至发行人指定账户。如果因本人未履行上述承诺事项给发行人或者其他投资者造
W13R005,P1,W13-920016-015,920016,中草香料,股权转让,41,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,II）公司实际控制人发生转移。 （Ⅳ） 公司、 公司原股东或公司管理层出现重大诚信问题， 如： 公司出现投资方不知情 的财产转移、高管同业兼职、未经审批的重大关联交易等。 3.1.2 在达到回购的条件后，甲方有权要求乙方在收到“股权回购”的书面通知当日起 120 日内付清全部回购款项，配合相关的股权转让事宜并及时以现金形式支付股权回购款 项，按如下方式计算乙方应向甲方支付的股权回购款金额： 回购价款=投资款金额× （1+8%×投资款到账日至回购价款支付日的天数/365）-现金分 红 若乙方未能在 120 日内向甲方支付全部回购价款， 从该120 日届满之日起乙方应按甲方 投资款本金的 0.5%/日计算的金额向甲方支付资金占用费，直至乙方支付完全部回购价款。 3.2 共同出售权及优先出售权 3.2.1 乙方（简称“股份出售方”）拟向第三方出售其所直接或间接持有的公司股份时 （除员工股权激励外）必须首先提前 30 个工作日书面通知甲方。甲方有权按照相同的出售 条件（指每股单价和支付方式），根据届时其和“股份出售方”对公司的持股比例同比例向 该第三方出售其持有的公司股份。 3.2.2“股份出售方”向第三方转让公司股份的行为将导致公司的控制权发生变更时， 甲 方有权优先于“股份出售方”以相同的条件 （指每股单价和支付方式） 向该第三方出售甲方 持有的全部或部分公司股份，但向下列受让人转让的除外： （1）合格的股权激励计划的激励对象；或 （2）经投资人事先书面同意的、且经董事会或股东会表决通过的重组行为中向公司
W13R006,P1,W13-920099-008,920099,瑞华技术,股权转让,63,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,4 个月内若减持公司股票， 本人将严格遵守中国证监会、 证券交易所关于股东减 持的相关规定，每年减持数量不超过本人直接或间接持有公司股票总数的 25%，减持价格不低于发行价（若公司股份在该期间内发生派息、送股、资本 公积转增股本等除权除息事项的，发行价应相应调整） ； 3、 本人将采用集中竞价、 大宗交易、 协议转让等法律、 法规允许的方式转 让公司股票，在锁定期满后 24 个月内，本人计划通过证券交易所集中竞价交 易减持股份的， 应当及时通知发行人， 并按照下列规定履行信息披露义务： （1） 在首次卖出股份的 15 个交易日前预先披露减持计划，每次披露的减持时间区 间不得超过 6 个月； （2） 拟在3 个月内卖出股份总数超过公司股份总数 1%的， 除按照本条 （1） 之规定履行披露义务外， 还应当在首次卖出的30 个交易日前 预先披露减持计划； （3） 在减持时间区间内， 减持数量过半或减持时间过半时， 披露减持进展情况； （4） 在股份减持计划实施完毕或者披露的减持时间区间届 满后及时公告具体减持情况。若本人违反锁定期满后 24 个月内股票减持意向 的承诺，本人同意将实际减持股票所获收益归公司所有； 4、本承诺出具后，如有新的法律法规和规范性文件及北京证券交易所规
W13R007,P1,W13-920099-010,920099,瑞华技术,股权转让,72,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,1-1-71 能构成竞争的业务； （2）将相竞争的业务纳入到发行人来经营； （3）将相竞争 的业务转让给无关联的第三方； 4、本人如从任何第三方获得的商业机会与发行人及其子公司经营的业务 有竞争或可能竞争， 本人将立即通知发行人， 并将该商业机会让予发行人或其 子公司； 5、 本人承诺不利用任何方式从事影响或可能影响发行人及其子公司经营、 发展的业务或活动。” 5、减少及规范关联交易的承诺 （1）控股股东、实际控制人徐志刚承诺 “1、 本人将严格按照 《公司法》 等法律法规以及 《公司章程》 等有关规定 行使股东权利， 不利用股东的地位谋取不当的利益， 不损害公司及其中小股东 的合法权益； 2、在股东大会对有关涉及本人事项的关联交易进行表决时，履行回避表 决的义务； 3、在任何情况下，不要求公司向本人提供任何形式的担保 ，不占用公司 资源、资金； 4、在本人作为发行人控股股东、实际控制人期间，本人及附属企业尽量 避免与发行人之间不必要的关联交易发生； 5、对于无法避免或者有合理原因而发生的关联交易，将遵循市场公正、 公平、 公开的原则， 并依法签订协议， 履行合法程序， 按照 《公司章程》 、 有关 法律法规和证券交易所的有关规定履行信息披露义务， 保证不通过关联交易损 害公司及其他股东的合法权益；
W13R008,P1,W13-920118-011,920118,太湖远大,股权转让,59,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,际控制人承诺如下： “1、 在本人所持发行人股份的锁定期届满后， 如本人计划减持， 本人将严格遵守 《中华人民 共和国公司法》《中华人民共和国证券法》《北京证券交易所股票上市规则（试行）》等规范性 文件中关于股份减持的规定，具体方式如下： （1） 减持方式： 包括但不限于二级市场竞价交易方式、 大宗交易方式、 协议转让等监管机构 认可的方式； （2） 减持价格： 本人减持所持有的发行人股份的价格将结合当时的二级市场价格和交易方式 等确定；若本人持有的发行人股份在锁定期届满后2 年内减持的，本人承诺减持价格不低于本次 发行并上市的股票发行价格（如发生派息、送股、资本公积转增股本等除权除息事项的，则减持 价格应不低于经相应调整后的发行价格）； （3） 减持期限： 本人将根据届时证券市场情况、 本人资金需求、 投资安排等各方面因素确定 减持计划，择机进行减持； （4） 减持信息披露： 本人如减持发行人股份， 将严格遵守中国证券监督管理委员会、 北京证 券交易所的规则及时、准确地履行报告、预先披露及信息披露义务。 2、具有下列情形之一的，本人不减持所持有的发行人股份： （1） 发行人或本人因涉嫌证券期货违法犯罪， 在被中国证监会及其派出机构立案调查或者被 司法机关立案侦查期间，以及在行政处罚决定、刑事判决作出之后未满6 个月的； （2）本人因违反北京证券交易所业务规则，被公开谴责未满3 个月的； （3）中国证券监督管理委员会及北京证券交易所规定的其他情形。 本人通过北京证券交易所和全国股转系统的竞价或做市交
W13R009,P1,W13-920118-012,920118,太湖远大,股权转让,60,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,司股东俞华杰、于丽敏承诺如下： “1、 在公司本次发行并上市后， 如本人计划减持， 本人将严格遵守 《中华人民共和国公司法》 《中华人民共和国证券法》《北京证券交易所股票上市规则（试行）》等规范性文件中关于股份 减持的规定，具体方式如下： （1） 减持方式： 包括但不限于二级市场竞价交易方式、 大宗交易方式、 协议转让等监管机构 认可的方式； （2） 减持价格： 本人减持所持有的发行人股份的价格将结合当时的二级市场价格和交易方式 等确定； （3） 减持期限： 本人将根据届时证券市场情况、 本人资金需求、 投资安排等各方面因素确定 减持计划，择机进行减持； （4） 减持信息披露： 本人如减持发行人股份， 将严格遵守中国证券监督管理委员会、 北京证 券交易所的规则及时、准确地履行报告、预先披露及信息披露义务。 2、具有下列情形之一的，本人不减持所持有的发行人股份： （1） 发行人或本人因涉嫌证券期货违法犯罪， 在被中国证监会及其派出机构立案调查或者被 司法机关立案侦查期间，以及在行政处罚决定、刑事判决作出之后未满6 个月的； （2）本人因违反北京证券交易所业务规则，被公开谴责未满3 月的； （3）中国证券监督管理委员会及北京证券交易所规定的其他情形。 本人通过北京证券交易所和全国股转系统的竞价或做市交易买入发行人股份，不适用前款承 诺。 3、 本承诺出具后， 如有新的法律法规和规范性文件及北京证券交易所规则的要求与本承诺内 容不一致的，本人将按新的要求执行本承诺事项。”
W13R010,P1,W13-920118-013,920118,太湖远大,股权转让,61,低,核对是否为真实股权转让，排除全国股转系统语境,,,,,创投资、成贤投资承诺如下： “1、 在公司本次发行并上市后， 如本企业计划减持， 本企业将严格遵守 《中华人民共和国公 司法》《中华人民共和国证券法》《北京证券交易所股票上市规则（试行）》等规范性文件中关 于股份减持的规定，具体方式如下： （1） 减持方式： 包括但不限于二级市场竞价交易方式、 大宗交易方式、 协议转让等监管机构 认可的方式； （2） 减持价格： 本企业减持所持有的发行人股份的价格将结合当时的二级市场价格和交易方 式等确定； （3） 减持期限： 本企业将根据届时证券市场情况、 本企业资金需求、 投资安排等各方面因素 确定减持计划，择机进行减持； （4） 减持信息披露： 本企业如减持发行人股份， 将严格遵守中国证券监督管理委员会、 北京 证券交易所的规则及时、准确地履行报告、预先披露及信息披露义务。 2、具有下列情形之一的，本企业不减持所持有的发行人股份： （1） 发行人或本企业因涉嫌证券期货违法犯罪， 在被中国证监会及其派出机构立案调查或者 被司法机关立案侦查期间，以及在行政处罚决定、刑事判决作出之后未满6 个月的； （2）本企业因违反北京证券交易所业务规则，被公开谴责未满3 月的； （3）中国证券监督管理委员会及北京证券交易所规定的其他情形。 本企业通过北京证券交易所和全国股转系统的竞价或做市交易买入发行人股份，不适用前款 承诺。 3、 本承诺出具后， 如有新的法律法规和规范性文件及北京证券交易所规则的要求与本承诺内 容不一致的，本企业将按新的要求执行本承诺事项。” （4）公司
