stock_code,company_short,old_candidate_record_count,old_unique_pages,week13_retained_records,week13_unique_pages,overlap_pages,old_page_recovery_rate,newly_located_pages,comparison_scope
920123,芭薇股份,8,8,28,15,7,0.875,8,定位结果一致性，不等同于Gold准确率
920575,*ST康乐,8,8,26,21,7,0.875,14,定位结果一致性，不等同于Gold准确率
920719,宁新新材,8,8,22,19,7,0.875,12,定位结果一致性，不等同于Gold准确率
920522,纳科诺尔,8,8,25,19,8,1.0,11,定位结果一致性，不等同于Gold准确率
920099,瑞华技术,8,8,19,17,6,0.75,11,定位结果一致性，不等同于Gold准确率
920118,太湖远大,8,8,21,17,4,0.5,13,定位结果一致性，不等同于Gold准确率
920249,利尔达,8,8,30,20,8,1.0,12,定位结果一致性，不等同于Gold准确率
920438,戈碧迦,8,8,17,17,4,0.5,13,定位结果一致性，不等同于Gold准确率
920016,中草香料,8,8,28,17,8,1.0,9,定位结果一致性，不等同于Gold准确率
920304,迪尔化工,8,8,23,23,4,0.5,19,定位结果一致性，不等同于Gold准确率
920008,成电光信,8,8,17,14,5,0.625,9,定位结果一致性，不等同于Gold准确率
920950,迅安科技,8,8,19,19,6,0.75,13,定位结果一致性，不等同于Gold准确率
