batch_order,queue_id,stock_code,company_short,board,source_platform,source_url,original_text_path,package_text_file,page_count,week12_keyword_hits,selection_reason,missing_policy
1,W12Q026,920123,芭薇股份,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE008_920123.txt,data/source_texts/920123_W3-2024-BSE008_920123.txt,180,101,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
2,W12Q011,920575,*ST康乐,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2023/2023-02-28/1677578647_721315.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE003_920575.txt,data/source_texts/920575_W3-2023-BSE003_920575.txt,180,78,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
3,W12Q013,920719,宁新新材,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2023/2023-05-08/1683539772_634679.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE005_920719.txt,data/source_texts/920719_W3-2023-BSE005_920719.txt,180,54,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
4,W12Q017,920522,纳科诺尔,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2023/2023-10-30/1698659303_685783.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE009_920522.txt,data/source_texts/920522_W3-2023-BSE009_920522.txt,180,42,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
5,W12Q032,920099,瑞华技术,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2024/2024-09-06/1725619244_825140.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE014_920099.txt,data/source_texts/920099_W3-2024-BSE014_920099.txt,180,39,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
6,W12Q029,920118,太湖远大,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2024/2024-08-09/1723199304_455800.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE011_920118.txt,data/source_texts/920118_W3-2024-BSE011_920118.txt,180,39,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
7,W12Q010,920249,利尔达,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2023/2023-01-30/1675066930_267828.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE002_920249.txt,data/source_texts/920249_W3-2023-BSE002_920249.txt,180,34,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
8,W12Q025,920438,戈碧迦,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2024/2024-03-11/1710153861_037009.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE007_920438.txt,data/source_texts/920438_W3-2024-BSE007_920438.txt,180,34,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
9,W12Q031,920016,中草香料,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2024/2024-08-30/1725017664_266165.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE013_920016.txt,data/source_texts/920016_W3-2024-BSE013_920016.txt,180,32,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
10,W12Q012,920304,迪尔化工,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2023/2023-03-30/1680171127_157748.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE004_920304.txt,data/source_texts/920304_W3-2023-BSE004_920304.txt,180,27,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
11,W12Q030,920008,成电光信,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2024/2024-08-16/1723796660_838279.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2024-BSE012_920008.txt,data/source_texts/920008_W3-2024-BSE012_920008.txt,180,26,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
12,W12Q009,920950,迅安科技,北交所,北京证券交易所股票列表/相关公告,https://www.bse.cn/disclosure/2022/2022-12-22/1671694441_779022.pdf,team-star/outputs/week3_sample_outputs/parsed_texts/W3-2023-BSE001_920950.txt,data/source_texts/920950_W3-2023-BSE001_920950.txt,180,26,第十二周P1队列中关键词命中数排名前12，且本地页码化文本完整,招股书未披露字段留空，不根据机构名称补写备案编码、GP或LP
