sample_id,stock_code,company_name,event_count,investor_count,extract_status,json_path
W2-STAR001,688411,北京海博思创科技股份有限公司,5,11,success,outputs\week2_sample_outputs\sample_json\W2-STAR001_688411.json
W2-STAR002,688545,湖北兴福电子材料股份有限公司,5,33,success,outputs\week2_sample_outputs\sample_json\W2-STAR002_688545.json
W2-STAR003,688583,思看科技(杭州)股份有限公司,4,10,success,outputs\week2_sample_outputs\sample_json\W2-STAR003_688583.json
W2-STAR004,688727,厦门恒坤新材料科技股份有限公司,5,10,success,outputs\week2_sample_outputs\sample_json\W2-STAR004_688727.json
W2-STAR005,688729,北京屹唐半导体科技股份有限公司,5,12,success,outputs\week2_sample_outputs\sample_json\W2-STAR005_688729.json
W2-STAR006,688755,江苏汉邦科技股份有限公司,5,10,success,outputs\week2_sample_outputs\sample_json\W2-STAR006_688755.json
W2-STAR007,688757,胜科纳米(苏州)股份有限公司,5,11,success,outputs\week2_sample_outputs\sample_json\W2-STAR007_688757.json
W2-STAR008,688758,苏州赛分科技股份有限公司,5,7,success,outputs\week2_sample_outputs\sample_json\W2-STAR008_688758.json
W2-STAR009,688759,广州必贝特医药股份有限公司,5,11,success,outputs\week2_sample_outputs\sample_json\W2-STAR009_688759.json
W2-STAR010,688765,武汉禾元生物科技股份有限公司,5,0,success,outputs\week2_sample_outputs\sample_json\W2-STAR010_688765.json
W2-STAR011,688775,影石创新科技股份有限公司,5,28,success,outputs\week2_sample_outputs\sample_json\W2-STAR011_688775.json
W2-STAR012,688783,西安奕斯伟材料科技股份有限公司,5,32,success,outputs\week2_sample_outputs\sample_json\W2-STAR012_688783.json
W2-STAR013,688790,北京昂瑞微电子技术股份有限公司,5,8,success,outputs\week2_sample_outputs\sample_json\W2-STAR013_688790.json
W2-STAR014,688795,摩尔线程智能科技(北京)股份有限公司,5,37,success,outputs\week2_sample_outputs\sample_json\W2-STAR014_688795.json
W2-STAR015,688796,百奥赛图(北京)医药科技股份有限公司,5,21,success,outputs\week2_sample_outputs\sample_json\W2-STAR015_688796.json
W2-STAR016,688802,沐曦集成电路(上海)股份有限公司,5,14,success,outputs\week2_sample_outputs\sample_json\W2-STAR016_688802.json
W2-STAR017,688805,宁波健信超导科技股份有限公司,5,14,success,outputs\week2_sample_outputs\sample_json\W2-STAR017_688805.json
W2-STAR018,688807,厦门优迅芯片股份有限公司,5,3,success,outputs\week2_sample_outputs\sample_json\W2-STAR018_688807.json
W2-STAR019,688809,强一半导体(苏州)股份有限公司,5,6,success,outputs\week2_sample_outputs\sample_json\W2-STAR019_688809.json
