company_name,stock_code,file_name,parser,parse_time,page_count,markdown_path,status,error_message
北京海博思创科技股份有限公司,688411,W2-STAR001_688411.pdf,pypdf,2026-06-14T00:16:34,579,outputs\week2_sample_outputs\parsed_texts\W2-STAR001_688411.txt,success,text_scope=first_180_pages_of_579
湖北兴福电子材料股份有限公司,688545,W2-STAR002_688545.pdf,pypdf,2026-06-14T00:16:39,503,outputs\week2_sample_outputs\parsed_texts\W2-STAR002_688545.txt,success,text_scope=first_180_pages_of_503
思看科技(杭州)股份有限公司,688583,W2-STAR003_688583.pdf,pypdf,2026-06-14T00:16:42,520,outputs\week2_sample_outputs\parsed_texts\W2-STAR003_688583.txt,success,text_scope=first_180_pages_of_520
厦门恒坤新材料科技股份有限公司,688727,W2-STAR004_688727.pdf,pypdf,2026-06-14T00:16:46,403,outputs\week2_sample_outputs\parsed_texts\W2-STAR004_688727.txt,success,text_scope=first_180_pages_of_403
北京屹唐半导体科技股份有限公司,688729,W2-STAR005_688729.pdf,pypdf,2026-06-14T00:16:51,343,outputs\week2_sample_outputs\parsed_texts\W2-STAR005_688729.txt,success,text_scope=first_180_pages_of_343
江苏汉邦科技股份有限公司,688755,W2-STAR006_688755.pdf,pypdf,2026-06-14T00:16:55,411,outputs\week2_sample_outputs\parsed_texts\W2-STAR006_688755.txt,success,text_scope=first_180_pages_of_411
胜科纳米(苏州)股份有限公司,688757,W2-STAR007_688757.pdf,pypdf,2026-06-14T00:16:59,465,outputs\week2_sample_outputs\parsed_texts\W2-STAR007_688757.txt,success,text_scope=first_180_pages_of_465
苏州赛分科技股份有限公司,688758,W2-STAR008_688758.pdf,pypdf,2026-06-14T00:17:02,468,outputs\week2_sample_outputs\parsed_texts\W2-STAR008_688758.txt,success,text_scope=first_180_pages_of_468
广州必贝特医药股份有限公司,688759,W2-STAR009_688759.pdf,pypdf,2026-06-14T00:17:07,471,outputs\week2_sample_outputs\parsed_texts\W2-STAR009_688759.txt,success,text_scope=first_180_pages_of_471
武汉禾元生物科技股份有限公司,688765,W2-STAR010_688765.pdf,pypdf,2026-06-14T00:17:11,451,outputs\week2_sample_outputs\parsed_texts\W2-STAR010_688765.txt,success,text_scope=first_180_pages_of_451
影石创新科技股份有限公司,688775,W2-STAR011_688775.pdf,pypdf,2026-06-14T00:17:15,555,outputs\week2_sample_outputs\parsed_texts\W2-STAR011_688775.txt,success,text_scope=first_180_pages_of_555
西安奕斯伟材料科技股份有限公司,688783,W2-STAR012_688783.pdf,pypdf,2026-06-14T00:17:18,459,outputs\week2_sample_outputs\parsed_texts\W2-STAR012_688783.txt,success,text_scope=first_180_pages_of_459
北京昂瑞微电子技术股份有限公司,688790,W2-STAR013_688790.pdf,pypdf,2026-06-14T00:17:22,496,outputs\week2_sample_outputs\parsed_texts\W2-STAR013_688790.txt,success,text_scope=first_180_pages_of_496
摩尔线程智能科技(北京)股份有限公司,688795,W2-STAR014_688795.pdf,pypdf,2026-06-14T00:17:26,466,outputs\week2_sample_outputs\parsed_texts\W2-STAR014_688795.txt,success,text_scope=first_180_pages_of_466
百奥赛图(北京)医药科技股份有限公司,688796,W2-STAR015_688796.pdf,pypdf,2026-06-14T00:17:30,600,outputs\week2_sample_outputs\parsed_texts\W2-STAR015_688796.txt,success,text_scope=first_180_pages_of_600
沐曦集成电路(上海)股份有限公司,688802,W2-STAR016_688802.pdf,pypdf,2026-06-14T00:17:35,523,outputs\week2_sample_outputs\parsed_texts\W2-STAR016_688802.txt,success,text_scope=first_180_pages_of_523
宁波健信超导科技股份有限公司,688805,W2-STAR017_688805.pdf,pypdf,2026-06-14T00:17:38,310,outputs\week2_sample_outputs\parsed_texts\W2-STAR017_688805.txt,success,text_scope=first_180_pages_of_310
厦门优迅芯片股份有限公司,688807,W2-STAR018_688807.pdf,pypdf,2026-06-14T00:17:41,383,outputs\week2_sample_outputs\parsed_texts\W2-STAR018_688807.txt,success,text_scope=first_180_pages_of_383
强一半导体(苏州)股份有限公司,688809,W2-STAR019_688809.pdf,pypdf,2026-06-14T00:17:45,385,outputs\week2_sample_outputs\parsed_texts\W2-STAR019_688809.txt,success,text_scope=first_180_pages_of_385
