company_name,stock_code,candidate_text_path,model_name,prompt_version,json_path,status,error_message
捷众科技,920690,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE001_920690.json,success,
云星宇,920806,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE002_920806.json,success,
康农种业,920403,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE003_920403.json,success,
许昌智能,920496,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE004_920496.json,success,
海昇药业,920656,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE005_920656.json,success,
铁拓机械,920706,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE006_920706.json,success,
戈碧迦,920438,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE007_920438.json,success,
芭薇股份,920123,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE008_920123.json,success,
无锡鼎邦,920931,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE009_920931_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE009_920931.json,success,
万达轴承,920002,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE010_920002_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE010_920002.json,success,
太湖远大,920118,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE011_920118_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE011_920118.json,success,
成电光信,920008,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE012_920008_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE012_920008.json,success,
中草香料,920016,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE013_920016_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE013_920016.json,success,
瑞华技术,920099,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE014_920099_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE014_920099.json,success,
铜冠矿建,920019,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE015_920019_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE015_920019.json,success,
科力股份,920088,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE016_920088_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE016_920088.json,success,
科拜尔,920066,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE017_920066_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE017_920066.json,success,
聚星科技,920111,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE018_920111_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE018_920111.json,success,
万源通,920060,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE019_920060_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE019_920060.json,success,
XD胜业电,920128,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE020_920128_candidates.txt,rule_based_week3,week3_rule_v1,outputs\week3_sample_outputs\sample_json\W3-2024-BSE020_920128.json,success,
