company_name,stock_code,matched_keyword,source_section,start_position,end_position,candidate_text_path,status,error_message
捷众科技,920690,股东情况,,25538,26455,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,增资、认购,,164974,166173,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,认购,,2669,3975,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,创业投资,,5727,6895,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,股份锁定,,32737,33810,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,股份锁定,,35311,36438,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,股份锁定,,36438,37687,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
捷众科技,920690,股份锁定,,40256,41455,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE001_920690_candidates.txt,success,
云星宇,920806,股权转让,,3869,5221,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,股权转让,,27029,28325,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,股权转让,,91887,92748,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,股权转让,,96818,98016,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,股权转让,,190763,192157,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,股东情况,,34189,34695,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,股东情况,,42040,43048,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
云星宇,920806,增资,,9223,10469,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE002_920806_candidates.txt,success,
康农种业,920403,股权转让,,172889,174023,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
康农种业,920403,股东情况,,54754,55619,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
康农种业,920403,创业投资,,11707,12682,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
康农种业,920403,创业投资,,52768,53861,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
康农种业,920403,创业投资,,53861,54754,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
康农种业,920403,创业投资,,59782,61005,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
康农种业,920403,创业投资,,64977,65895,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE003_920403_candidates.txt,success,
许昌智能,920496,股权转让,,169008,170261,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
许昌智能,920496,股权转让,,171532,172550,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
许昌智能,920496,股东情况、创业投资,,33401,34610,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
许昌智能,920496,认购,,13237,14568,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
许昌智能,920496,认购,,23590,23992,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
许昌智能,920496,认购,,28694,29871,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
许昌智能,920496,认购,,116295,117439,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE004_920496_candidates.txt,success,
海昇药业,920656,股东情况,,34254,35252,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,私募基金、创业投资,,14832,16067,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,增资、认购,,29636,30652,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,认购,,16067,17557,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,增资,,30652,31554,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,股份锁定,,42211,43259,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,股份锁定,,43259,44174,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
海昇药业,920656,股份锁定,,57012,57855,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE005_920656_candidates.txt,success,
铁拓机械,920706,股权转让、增资,,34579,35654,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,股东情况,,33422,34579,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,增资,,2583,3881,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,认购,,23263,23355,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,认购,,24252,25163,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,创业投资,,38003,39355,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,股份锁定,,46816,48044,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
铁拓机械,920706,股份锁定,,48044,49241,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE006_920706_candidates.txt,success,
戈碧迦,920438,股东情况、创业投资,,48283,49385,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,创业投资、股份锁定,,64885,65877,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,创业投资,,10344,11543,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,认购,,34419,35314,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,创业投资,,37952,38915,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,创业投资,,39881,40804,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,创业投资,,58794,59913,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
戈碧迦,920438,创业投资,,59913,60908,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE007_920438_candidates.txt,success,
芭薇股份,920123,股权转让、投资协议、增资、认购,,31289,32432,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,股权转让、投资协议、增资、认购,,32432,33624,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,股权转让、投资协议、增资、认购,,52666,53989,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,股权转让、投资协议、增资、认购,,55247,56586,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,投资协议、特殊投资条款,,53989,55247,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,投资协议、特殊投资条款,,56586,57553,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,特殊投资条款、增资、认购,,50349,51417,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
芭薇股份,920123,特殊投资条款、认购,,51417,52666,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE008_920123_candidates.txt,success,
无锡鼎邦,920931,历史沿革,,33313,34390,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE009_920931_candidates.txt,success,
无锡鼎邦,920931,股东情况,,25934,26724,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE009_920931_candidates.txt,success,
万达轴承,920002,股东情况,,40121,41115,outputs\week3_sample_outputs\candidate_texts\W3-2024-BSE010_920002_candidates.txt,success,
