sample_id,stock_code,company_name,ipo_year,event_count,investor_count,extract_status,json_path
W3-2024-BSE001,920690,捷众科技,2024,4,13,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE001_920690.json
W3-2024-BSE002,920806,云星宇,2024,5,4,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE002_920806.json
W3-2024-BSE003,920403,康农种业,2024,5,27,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE003_920403.json
W3-2024-BSE004,920496,许昌智能,2024,5,19,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE004_920496.json
W3-2024-BSE005,920656,海昇药业,2024,4,13,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE005_920656.json
W3-2024-BSE006,920706,铁拓机械,2024,5,7,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE006_920706.json
W3-2024-BSE007,920438,戈碧迦,2024,5,23,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE007_920438.json
W3-2024-BSE008,920123,芭薇股份,2024,5,27,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE008_920123.json
W3-2024-BSE009,920931,无锡鼎邦,2024,2,0,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE009_920931.json
W3-2024-BSE010,920002,万达轴承,2024,3,1,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE010_920002.json
W3-2024-BSE011,920118,太湖远大,2024,5,25,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE011_920118.json
W3-2024-BSE012,920008,成电光信,2024,5,15,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE012_920008.json
W3-2024-BSE013,920016,中草香料,2024,5,24,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE013_920016.json
W3-2024-BSE014,920099,瑞华技术,2024,5,37,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE014_920099.json
W3-2024-BSE015,920019,铜冠矿建,2024,2,5,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE015_920019.json
W3-2024-BSE016,920088,科力股份,2024,5,0,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE016_920088.json
W3-2024-BSE017,920066,科拜尔,2024,5,16,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE017_920066.json
W3-2024-BSE018,920111,聚星科技,2024,3,6,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE018_920111.json
W3-2024-BSE019,920060,万源通,2024,3,19,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE019_920060.json
W3-2024-BSE020,920128,XD胜业电,2024,5,14,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE020_920128.json
W3-2024-BSE021,920098,科隆新材,2024,5,22,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE021_920098.json
W3-2024-BSE022,920106,林泰新材,2024,5,42,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE022_920106.json
W3-2024-BSE023,920082,方正阀门,2024,5,3,success,outputs\week3_sample_outputs\sample_json\W3-2024-BSE023_920082.json
W3-2023-BSE001,920950,迅安科技,2023,5,25,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE001_920950.json
W3-2023-BSE002,920249,利尔达,2023,5,4,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE002_920249.json
W3-2023-BSE003,920575,*ST康乐,2023,5,9,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE003_920575.json
W3-2023-BSE004,920304,迪尔化工,2023,3,20,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE004_920304.json
W3-2023-BSE005,920719,宁新新材,2023,5,28,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE005_920719.json
W3-2023-BSE006,920717,瑞星股份,2023,1,1,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE006_920717.json
W3-2023-BSE007,920504,博迅生物,2023,3,9,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE007_920504.json
W3-2023-BSE008,920978,开特股份,2023,5,31,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE008_920978.json
W3-2023-BSE009,920522,纳科诺尔,2023,5,6,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE009_920522.json
W3-2023-BSE010,920363,莱赛激光,2023,1,1,success,outputs\week3_sample_outputs\sample_json\W3-2023-BSE010_920363.json
