sample_id,company_name,stock_code,exchange,board,listing_date,ipo_year,source_platform,source_page_url,prospectus_title,prospectus_url,prospectus_version,prospectus_date,download_status,parse_status,locate_status,extract_status,review_status,notes
W3-2024-BSE001,捷众科技,920690,BSE,北交所,2024-01-05,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920690,捷众科技:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-12-22/1703230612_357298.pdf,正式稿,2023-12-22,success,success,success,success,revise,北交所Week3样本；证券简称=捷众科技；地区=浙江省；行业=汽车制造业；保荐机构=浙商证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE002,云星宇,920806,BSE,北交所,2024-01-11,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920806,云星宇:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2023/2023-12-28/1703750060_680484.pdf,正式稿,2023-12-28,success,success,success,success,revise,北交所Week3样本；证券简称=云星宇；地区=北京市；行业=软件和信息技术服务业；保荐机构=第一创业证券承销保荐有限责任公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE003,康农种业,920403,BSE,北交所,2024-01-18,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920403,康农种业:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-01-04/1704358458_753829.pdf,正式稿,2024-01-04,success,success,success,success,revise,北交所Week3样本；证券简称=康农种业；地区=湖北省；行业=农业；保荐机构=第一创业证券承销保荐有限责任公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE004,许昌智能,920496,BSE,北交所,2024-01-26,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920496,许昌智能:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-01-15/1705306344_537463.pdf,正式稿,2024-01-15,success,success,success,success,revise,北交所Week3样本；证券简称=许昌智能；地区=河南省；行业=电气机械和器材制造业；保荐机构=民生证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE005,海昇药业,920656,BSE,北交所,2024-02-02,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920656,海昇药业:招股说明书,https://www.bse.cn/disclosure/2024/2024-01-22/1705908668_541758.pdf,正式稿,2024-01-22,success,success,success,success,revise,北交所Week3样本；证券简称=海昇药业；地区=浙江省；行业=医药制造业；保荐机构=长江证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE006,铁拓机械,920706,BSE,北交所,2024-03-08,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920706,铁拓机械:招股说明书,https://www.bse.cn/disclosure/2024/2024-02-26/1708939688_889260.pdf,正式稿,2024-02-26,success,success,success,success,revise,北交所Week3样本；证券简称=铁拓机械；地区=福建省；行业=专用设备制造业；保荐机构=中泰证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE007,戈碧迦,920438,BSE,北交所,2024-03-25,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920438,戈碧迦:招股说明书,https://www.bse.cn/disclosure/2024/2024-03-11/1710153861_037009.pdf,正式稿,2024-03-11,success,success,success,success,revise,北交所Week3样本；证券简称=戈碧迦；地区=湖北省；行业=非金属矿物制品业；保荐机构=中信建投证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE008,芭薇股份,920123,BSE,北交所,2024-03-29,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920123,芭薇股份:向不特定合格投资者公开发行股票并在北京证券交易所上市招股说明书,https://www.bse.cn/disclosure/2024/2024-03-18/1710747067_403240.pdf,正式稿,2024-03-18,success,success,success,success,revise,北交所Week3样本；证券简称=芭薇股份；地区=广东省；行业=化学原料和化学制品制造业；保荐机构=万联证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE009,无锡鼎邦,920931,BSE,北交所,2024-04-08,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920931,无锡鼎邦:招股说明书,https://www.bse.cn/disclosure/2024/2024-03-25/1711358661_224661.pdf,正式稿,2024-03-25,success,success,success,success,revise,北交所Week3样本；证券简称=无锡鼎邦；地区=江苏省；行业=专用设备制造业；保荐机构=东吴证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE010,万达轴承,920002,BSE,北交所,2024-05-30,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920002,万达轴承:招股说明书,https://www.bse.cn/disclosure/2024/2024-05-17/1715934142_513244.pdf,正式稿,2024-05-17,success,success,success,success,revise,北交所Week3样本；证券简称=万达轴承；地区=江苏省；行业=通用设备制造业；保荐机构=中信建投证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE011,太湖远大,920118,BSE,北交所,2024-08-22,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920118,太湖远大:招股说明书,https://www.bse.cn/disclosure/2024/2024-08-09/1723199304_455800.pdf,正式稿,2024-08-09,success,success,success,success,revise,北交所Week3样本；证券简称=太湖远大；地区=浙江省；行业=橡胶和塑料制品业；保荐机构=招商证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
W3-2024-BSE012,成电光信,920008,BSE,北交所,2024-08-29,2024,北京证券交易所股票列表/相关公告,https://www.bse.cn/products/neeq_listed_companies/related_announcement.html?companyCode=920008,成电光信:招股说明书,https://www.bse.cn/disclosure/2024/2024-08-16/1723796660_838279.pdf,正式稿,2024-08-16,success,success,success,success,revise,北交所Week3样本；证券简称=成电光信；地区=四川省；行业=计算机、通信和其他电子设备制造业；保荐机构=广发证券股份有限公司；2024年全量处理，2023年按上市日期等距抽样10家；GitHub=https://github.com/HHK-boop/-?open_in_browser=true
